
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 26, 2007 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	277	835	1,842	10,709	11,899	25	72	295	823	793	202	268	749	4,326	3,904						
NEW ENGLAND	1	39	121	561	1,142	-	4	22	50	114	-	4	21	74	191						
Conn.	-	0	107	107	503	-	0	9	9	75	-	0	11	11	67						
Maine	-	2	14	35	33	-	1	8	12	4	-	0	5	8	2						
Mass.	-	24	87	335	548	-	2	13	21	30	-	3	18	50	115						
N.H.	1	4	26	37	18	-	0	4	4	2	-	0	2	3	-						
R.I.	-	2	15	28	29	-	0	2	1	1	-	0	3	1	5						
Vt.	-	1	6	19	11	-	0	4	3	2	-	0	2	1	2						
MID. ATLANTIC	11	96	189	1,383	1,412	-	8	61	82	99	1	13	48	173	335						
N.J.	-	19	50	54	278	-	1	16	1	28	-	2	34	13	115						
N.Y. (Upstate)	-	28	93	431	301	-	3	14	36	33	-	3	43	39	87						
N.Y. City	1	23	45	368	387	-	0	4	8	14	1	5	12	94	97						
Pa.	10	31	66	530	446	-	3	47	37	24	-	1	6	27	36						
E.N. CENTRAL	39	97	203	1,428	1,711	2	9	63	99	118	17	25	75	275	400						
Ill.	-	29	65	290	486	-	1	8	12	14	-	9	53	35	135						
Ind.	5	15	55	195	195	1	1	8	10	14	-	2	17	24	53						
Mich.	7	18	35	274	301	-	1	6	19	25	-	2	5	14	77						
Ohio	27	23	56	397	420	1	3	18	42	34	17	4	23	145	57						
Wis.	-	17	32	272	309	-	2	41	16	31	-	4	14	57	78						
W.N. CENTRAL	28	49	109	873	761	1	12	45	120	116	39	44	85	892	472						
Iowa	-	8	26	125	132	-	2	38	19	22	-	2	14	20	16						
Kans.	10	7	20	144	114	1	0	4	12	4	-	1	11	13	32						
Minn.	-	12	60	209	176	-	3	26	51	38	-	5	24	93	30						
Mo.	18	16	35	279	213	-	3	13	23	37	39	14	78	742	321						
Nebr.	-	3	10	58	73	-	1	11	14	11	-	1	14	7	32						
N. Dak.	-	0	5	11	6	-	0	0	-	-	-	0	18	4	4						
S. Dak.	-	2	11	47	47	-	0	5	1	4	-	6	24	13	37						
S. ATLANTIC	93	227	403	2,906	2,786	4	13	32	186	136	113	74	150	1,529	921						
Del.	-	2	10	29	27	-	0	3	6	1	-	0	2	4	-						
D.C.	-	1	4	14	23	-	0	1	-	-	-	0	5	4	3						
Fla.	68	95	176	1,297	1,227	4	2	8	56	29	62	37	76	1,006	403						
Ga.	19	29	76	423	403	-	2	7	20	23	51	25	62	413	327						
Md.	-	14	32	201	132	-	3	9	34	12	-	1	10	25	19						
N.C.	6	29	130	444	453	-	2	11	25	28	-	1	14	25	82						
S.C.	-	18	47	231	243	-	0	3	4	3	-	0	4	23	65						
Va.	-	20	58	229	245	-	3	11	40	40	-	2	9	28	22						
W. Va.	-	1	31	38	33	-	0	5	1	-	-	0	2	1	-						
E.S. CENTRAL	5	51	139	672	669	-	4	21	37	55	3	12	84	323	265						
Ala.	-	11	70	199	224	-	0	5	8	6	-	6	66	141	67						
Ky.	5	9	23	153	119	-	1	12	12	13	3	2	15	41	130						
Miss.	-	12	86	86	139	-	0	3	-	1	-	1	71	71	31						
Tenn.	-	17	32	234	187	-	2	9	17	35	-	3	14	70	37						
W.S. CENTRAL	13	84	186	410	1,038	3	4	53	49	41	8	38	245	399	489						
Ark.	8	13	45	134	276	-	1	7	10	8	2	2	10	41	29						
La.	-	14	42	120	138	-	0	1	-	-	-	3	24	68	9						
Okla.	5	10	103	120	86	3	0	17	11	4	6	2	60	28	32						
Tex.	-	44	107	36	538	-	2	48	28	29	-	30	174	262	419						
MOUNTAIN	33	50	88	843	835	4	8	34	104	89	5	22	84	260	301						
Ariz.	8	17	44	300	244	4	2	9	42	24	2	10	37	129	161						
Colo.	10	12	30	233	246	-	1	8	19	23	-	3	15	45	45						
Idaho	-	3	9	38	48	-	1	8	6	13	-	0	3	4	6						
Mont.	-	2	10	31	40	-	0	0	-	-	-	0	13	11	2						
Nev.	7	4	20	69	54	-	0	5	8	11	1	1	20	13	29						
N. Mex.	-	4	15	56	73	-	1	5	11	7	-	2	15	33	37						
Utah	8	4	14	93	105	-	2	14	18	10	2	1	4	8	18						
Wyo.	-	1	4	23	25	-	0	3	-	1	-	0	19	17	3						
PACIFIC	54	105	890	1,633	1,545	11	3	164	96	25	16	33	256	401	530						
Alaska	3	1	5	32	33	N	0	0	N	N	-	0	2	6	4						
Calif.	44	89	260	1,254	1,272	4	0	8	56	N	15	28	84	321	449						
Hawaii	-	5	16	75	87	1	0	3	6	4	-	1	3	13	17						
Oreg.	-	7	17	90	153	-	1	9	12	21	-	1	6	19	60						
Wash.	7	0	625	182	-	6	0	162	22	-	1	0	170	42	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	N	-	-	N	N	-	-	-	-	-						
P.R.	-	15	66	250	127	-	0	0	-	-	-	0	6	11	9						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes E. coli O157:H7; Shiga toxin positive, serogroup non-O157; and Shiga toxin positive, not serogrouped.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


