
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2013 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2013
Legionellosis cummulative for 2012
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2013
Lyme disease cummulative for 2012
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2013
Malaria cummulative for 2012

tab delimited data:
test
UNITED STATES	22	62	153	296	368	61	453	1,453	929	2,344	6	23	42	126	145						
NEW ENGLAND	-	5	19	17	19	-	114	607	50	731	-	1	5	7	9						
Conn.	-	1	7	2	3	-	39	182	3	246	-	0	2	-	-						
Maine	-	0	3	2	1	-	16	69	23	69	-	0	2	-	-						
Mass.	-	3	11	8	10	-	47	343	2	295	-	1	4	5	8						
N.H.	-	0	2	-	1	-	8	53	2	87	-	0	2	2	-						
R.I.	-	0	5	3	4	-	0	34	2	6	-	0	1	-	-						
Vt.	-	0	2	2	-	-	8	29	18	28	-	0	1	-	1						
MID. ATLANTIC	4	12	44	57	92	25	196	655	562	1,121	2	6	14	27	21						
N.J.	-	2	12	4	17	-	51	166	140	405	-	0	2	4	-						
N.Y. (Upstate)	3	6	15	14	21	11	41	243	75	118	1	1	4	10	2						
N.Y. City	-	2	13	13	22	-	1	12	-	3	1	3	11	11	15						
Pa.	1	4	19	26	32	14	96	403	347	595	-	1	4	2	4						
E.N. CENTRAL	4	13	54	62	79	2	21	168	29	128	1	2	8	14	19						
Ill.	-	2	23	3	15	-	2	18	2	7	-	0	6	3	5						
Ind.	1	2	6	24	13	-	1	6	-	4	-	0	2	2	5						
Mich.	-	2	9	-	12	-	2	9	5	4	-	0	5	3	2						
Ohio	3	5	17	35	36	2	1	6	8	6	1	1	3	5	5						
Wis.	-	1	7	-	3	-	17	138	14	107	-	0	2	1	2						
W.N. CENTRAL	-	3	10	8	22	-	2	18	2	4	-	0	5	5	7						
Iowa	-	0	2	-	-	-	1	16	1	3	-	0	1	1	1						
Kans.	-	0	2	1	1	-	0	2	-	-	-	0	1	1	3						
Minn.	-	1	4	-	6	-	0	0	-	-	-	0	0	-	-						
Mo.	-	1	8	2	14	-	0	2	1	-	-	0	2	1	3						
Nebr.	-	0	2	4	-	-	0	2	-	-	-	0	1	1	-						
N. Dak.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
S. Dak.	-	0	1	1	-	-	0	1	-	1	-	0	2	1	-						
S. ATLANTIC	5	11	25	70	77	34	63	180	268	322	3	7	16	59	51						
Del.	-	0	2	-	4	3	10	30	44	82	-	0	1	-	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	0	0	-	2						
Fla.	3	4	11	35	32	1	2	6	15	18	1	1	3	14	15						
Ga.	-	1	3	3	10	-	0	5	6	2	-	1	5	10	3						
Md.	-	2	6	10	12	13	28	98	156	135	2	2	8	29	12						
N.C.	-	1	8	11	5	-	0	29	6	1	-	0	8	-	2						
S.C.	-	0	3	1	4	-	1	3	-	5	-	0	2	-	3						
Va.	2	1	4	9	8	16	16	103	35	69	-	1	4	6	13						
W. Va.	-	1	3	1	2	1	1	10	6	10	-	0	1	-	-						
