
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 25, 1998 (WEEK 29)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1998
Legionellosis cummulative for 1997
Lyme Disease cummulative for 1998
Lyme Disease cummulative for 1997
Malaria cummulative for 1998
Malaria cummulative for 1997
Syphilis (Primary and Secondary) cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1997
Tuberculosis cummulative for 1998
Tuberculosis cummulative for 1997
Rabies, Animal cummulative for 1998
Rabies, Animal cummulative for 1997

tab delimited data:
test
UNITED STATES	611	471	4,563	3,318	638	885	3,909	4,669	7,016	8,836	3,861										
NEW ENGLAND	35	33	1,675	734	41	44	40	95	232	244	730										
Maine	1	1	6	7	4	1	1	-	4	16	120										
N.H.	3	4	26	7	3	2	1	-	6	9	35										
Vt.	3	4	6	3	-	2	4	-	1	3	31										
Mass.	12	10	307	172	14	21	24	45	123	134	238										
R.I.	8	5	165	53	2	4	-	2	31	17	42										
Conn.	8	9	1,165	492	18	14	10	48	67	65	264										
MID. ATLANTIC	135	82	2,324	2,022	149	270	139	228	1,293	1,684	887										
Upstate N.Y.	39	21	1,402	744	43	39	18	24	166	220	616										
N.Y. City	19	7	10	106	68	171	29	48	810	867	U										
N.J.	7	14	412	562	22	45	49	97	317	335	109										
Pa.	70	40	500	610	16	15	43	59	U	262	162										
E.N. CENTRAL	194	164	48	48	55	87	515	406	544	985	74										
Ohio	82	71	40	15	3	11	76	120	U	169	40										
Ind.	36	28	7	11	6	8	112	89	76	82	4										
Ill.	14	7	-	7	18	37	188	51	296	509	5										
Mich.	41	37	1	15	27	20	104	72	172	164	19										
Wis.	21	21	U	U	1	11	35	74	U	61	6										
W.N. CENTRAL	41	32	42	42	48	28	82	98	203	296	444										
Minn.	3	1	23	20	24	10	5	14	74	77	78										
Iowa	4	8	13	2	5	6	-	4	U	34	97										
Mo.	14	4	1	15	10	6	64	56	86	115	19										
N. Dak.	-	2	-	-	2	2	-	-	3	6	89										
S. Dak.	2	2	-	-	-	-	1	-	14	7	90										
Nebr.	15	12	3	2	1	1	4	1	8	12	3										
Kans.	3	3	2	3	6	3	8	23	18	45	68										
S. ATLANTIC	74	63	338	318	146	138	1,720	1,860	1,089	1,772	1,171										
Del.	8	7	8	73	1	2	15	15	U	18	17										
Md.	17	13	237	198	45	44	394	515	162	165	291										
D.C.	5	3	4	7	12	10	43	71	62	57	-										
Va.	8	13	31	11	26	38	92	148	144	165	357										
W. Va.	N	N	6	1	-	-	2	3	24	29	49										
N.C.	6	8	20	15	12	8	425	404	216	219	136										
S.C.	5	3	3	1	4	9	170	222	181	194	92										
Ga.	2	-	2	1	15	15	455	308	230	323	106										
Fla.	23	16	27	11	31	12	124	174	70	602	123										
E.S. CENTRAL	30	31	43	46	16	19	606	1,014	362	700	138										
Ky.	15	7	10	8	2	5	67	85	-	103	21										
Tenn.	11	17	22	20	10	4	315	430	200	258	85										
Ala.	4	2	11	4	4	7	145	258	162	221	32										
Miss.	U	5	U	14	U	3	79	241	U	118	U										
W.S. CENTRAL	20	8	10	36	18	10	511	681	64	1,402	109										
Ark.	-	1	5	11	1	2	67	106	64	118	21										
La.	2	2	-	2	4	5	191	212	U	102	-										
Okla.	8	1	-	5	2	3	32	67	U	122	88										
Tex.	10	4	5	18	11	-	221	296	U	1,060	-										
MOUNTAIN	35	29	7	6	29	45	123	91	231	321	94										
Mont.	1	1	-	-	-	2	-	-	12	6	32										
Idaho	-	2	1	2	3	-	-	-	8	8	-										
Wyo.	1	1	-	1	-	2	1	-	2	2	43										
Colo.	7	9	3	-	9	23	8	5	U	56	1										
N. Mex.	2	1	2	-	11	6	12	4	33	27	3										
Ariz.	7	7	-	1	5	5	97	72	114	145	9										
Utah	16	5	-	-	1	3	3	3	33	13	6										
Nev.	1	3	1	2	-	4	2	7	29	64	-										
PACIFIC	47	29	76	66	136	244	173	196	2,998	1,432	214										
Wash.	7	6	2	2	9	9	12	7	144	169	-										
Oreg.	-	-	8	10	11	13	3	5	66	94	1										
Calif.	39	22	65	54	114	214	158	182	2,672	1,014	193										
Alaska	-	-	1	-	1	3	-	1	27	47	20										
Hawaii	1	1	-	-	1	5	-	1	89	108	-										
Guam	-	-	-	-	-	-	-	3	-	13	-										
P.R.	-	-	-	-	-	3	118	134	46	129	30										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	98	9	54	2	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


