
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending November 29, 2003 (WEEK 48)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	37,751	40,368	20,142	19,848	4,844	4,200	1,885	2,232	407	342											
NEW ENGLAND	1,927	2,086	302	324	349	302	40	106	8	3											
Maine	126	138	6	8	26	20	-	-	-	-											
N.H.	100	129	5	11	21	35	-	-	N	N											
Vt.	67	73	7	1	19	10	6	5	4	2											
Mass.	1,139	1,165	199	197	166	100	N	N	N	N											
R.I.	125	163	20	17	15	15	10	13	4	1											
Conn.	370	418	65	90	102	122	24	88	U	U											
MID. ATLANTIC	4,199	5,444	2,091	1,686	841	663	119	108	89	79											
Upstate N.Y.	1,068	1,447	519	302	338	260	67	82	70	65											
N.Y. City	1,196	1,311	361	466	120	149	U	U	U	U											
N.J.	483	1,000	240	587	134	141	N	N	N	N											
Pa.	1,452	1,686	971	331	249	113	52	26	19	14											
E.N. CENTRAL	4,945	5,213	1,586	2,057	980	906	395	221	166	141											
Ohio	1,268	1,298	281	595	277	195	254	70	91	23											
Ind.	554	519	174	104	101	48	141	149	47	60											
Ill.	1,575	1,712	794	1,002	182	264	-	2	-	-											
Mich.	716	826	225	177	336	282	N	N	N	N											
Wis.	832	858	112	179	84	117	N	N	28	58											
W.N. CENTRAL	2,379	2,438	764	1,003	311	232	149	425	57	57											
Minn.	528	521	100	207	155	114	-	292	47	53											
Iowa	364	472	83	119	N	N	N	N	N	N											
Mo.	933	781	357	177	68	42	13	5	3	1											
N. Dak.	37	41	5	18	14	3	3	1	7	3											
S. Dak.	115	109	16	157	21	13	1	1	-	-											
Nebr.	135	177	101	235	25	23	-	26	N	N											
Kans.	267	337	102	90	28	37	132	100	N	N											
S. ATLANTIC	10,314	10,626	6,715	6,659	839	681	967	1,024	18	33											
Del.	89	99	154	344	6	2	1	3	N	N											
Md.	803	881	549	1,121	251	113	-	-	-	23											
D.C.	50	75	71	60	14	8	2	-	7	3											
Va.	1,020	1,159	408	922	94	73	N	N	N	N											
W. Va.	118	146	-	12	33	19	67	43	11	7											
N.C.	1,263	1,452	927	419	100	112	N	N	U	U											
S.C.	770	797	477	122	36	37	132	182	N	N											
Ga.	2,067	1,845	1,549	1,616	111	123	225	256	N	N											
Fla.	4,134	4,172	2,580	2,043	194	194	540	540	N	N											
E.S. CENTRAL	2,508	3,091	870	1,416	194	110	130	124	-	-											
Ky.	368	365	124	185	43	19	17	17	N	N											
Tenn.	704	784	340	134	151	91	113	107	N	N											
Ala.	498	814	242	763	-	-	-	-	N	N											
Miss.	938	1,128	164	334	-	-	-	-	-	-											
W.S. CENTRAL	4,541	4,447	4,293	3,043	325	273	58	177	64	25											
Ark.	750	1,020	95	191	5	7	8	9	-	-											
La.	507	771	294	468	1	1	50	168	8	9											
Okla.	445	479	799	550	82	42	N	N	36	4											
Tex.	2,839	2,177	3,105	1,834	237	223	N	N	20	12											
MOUNTAIN	2,113	2,089	1,155	863	428	517	24	47	5	4											
Mont.	108	86	2	4	2	-	-	-	-	-											
Idaho	162	141	29	13	18	9	N	N	N	N											
Wyo.	73	104	8	8	2	7	7	13	-	-											
Colo.	443	571	277	194	126	114	-	-	-	-											
N. Mex.	254	293	232	212	104	101	17	33	-	-											
Ariz.	696	515	497	352	163	256	-	-	N	N											
Utah	209	174	48	32	11	30	-	-	5	4											
Nev.	168	205	62	48	2	-	-	1	-	-											
PACIFIC	4,825	4,934	2,366	2,797	577	516	3	-	-	-											
Wash.	513	483	148	167	70	60	-	-	N	N											
Oreg.	390	323	207	103	N	N	N	N	N	N											
Calif.	3,614	3,798	1,959	2,455	384	370	N	N	N	N											
Alaska	95	79	10	5	-	-	-	-	N	N											
Hawaii	213	251	42	67	123	86	3	-	-	-											
Guam	-	40	-	35	-	-	-	4	-	-											
P.R.	325	518	8	30	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


