
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending July 29, 2006 (WEEK 30)*

column labels in same order that data fields appears in each record below:
Reporting Area
West Nile virus disease † Neuroinvasive current week
West Nile virus disease † Neuroinvasive previous 52 weeks median 
West Nile virus disease † Neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Neuroinvasive cummulative for 2006
West Nile virus disease † Neuroinvasive cummulative for 2005
West Nile virus disease † Non-neuroinvasive current week
West Nile virus disease † Non-neuroinvasive previous 52 weeks median 
West Nile virus disease † Non-neuroinvasive previous 52 weeks maximum 
West Nile virus disease † Non-neuroinvasive cummulative for 2006
West Nile virus disease † Non-neuroinvasive cummulative for 2005

tab delimited data:
test
UNITED STATES	-	0	155	9	197	-	0	203	6	333											
NEW ENGLAND	-	0	3	-	-	-	0	2	-	-											
Conn.	-	0	2	-	-	-	0	1	-	-											
Maine	-	0	0	-	-	-	0	0	-	-											
Mass.	-	0	3	-	-	-	0	1	-	-											
N.H.	-	0	0	-	-	-	0	0	-	-											
R.I.	-	0	1	-	-	-	0	0	-	-											
Vt.	-	0	0	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	10	-	2	-	0	4	-	4											
N.J.	-	0	1	-	-	-	0	2	-	-											
N.Y. (Upstate)	-	0	7	-	-	-	0	2	-	-											
N.Y. City	-	0	2	-	-	-	0	2	-	-											
Pa.	-	0	3	-	2	-	0	2	-	4											
E.N. CENTRAL	-	0	39	-	17	-	0	18	-	9											
Ill.	-	0	25	-	9	-	0	16	-	8											
Ind.	-	0	2	-	1	-	0	1	-	-											
Mich.	-	0	14	-	-	-	0	3	-	-											
Ohio	-	0	9	-	5	-	0	4	-	-											
Wis.	-	0	3	-	2	-	0	2	-	1											
W.N. CENTRAL	-	0	26	3	23	-	0	80	5	78											
Iowa	-	0	3	-	-	-	0	5	1	2											
Kans.	-	0	3	-	1	-	0	1	1	N											
Minn.	-	0	5	-	3	-	0	5	-	5											
Mo.	-	0	4	1	2	-	0	3	-	1											
Nebr.	-	0	9	1	6	-	0	24	1	12											
N. Dak.	-	0	4	-	3	-	0	15	-	15											
S. Dak.	-	0	7	1	8	-	0	33	2	43											
S. ATLANTIC	-	0	6	-	5	-	0	4	-	8											
Del.	-	0	1	-	-	-	0	0	-	-											
D.C.	-	0	1	-	-	-	0	1	-	-											
Fla.	-	0	2	-	4	-	0	4	-	7											
Ga.	-	0	3	-	-	-	0	3	-	1											
Md.	-	0	2	-	-	-	0	1	-	-											
N.C.	-	0	1	-	1	-	0	1	-	-											
S.C.	-	0	1	-	-	-	0	0	-	-											
Va.	-	0	0	-	-	-	0	1	-	-											
W. Va.	-	0	0	-	-	N	0	0	N	N											
E.S. CENTRAL	-	0	10	2	6	-	0	5	-	4											
Ala.	-	0	1	-	1	-	0	2	-	-											
Ky.	-	0	1	-	-	-	0	0	-	-											
Miss.	-	0	9	2	5	-	0	5	-	4											
Tenn.	-	0	3	-	-	-	0	1	-	-											
W.S. CENTRAL	-	0	32	2	54	-	0	22	-	32											
Ark.	-	0	3	-	-	-	0	2	-	4											
La.	-	0	20	-	26	-	0	9	-	15											
Okla.	-	0	6	-	1	-	0	3	-	-											
Tex.	-	0	16	2	27	-	0	13	-	13											
MOUNTAIN	-	0	16	1	12	-	0	39	1	36											
Ariz.	-	0	8	-	6	-	0	8	-	11											
Colo.	-	0	5	1	2	-	0	13	-	19											
Idaho	-	0	2	-	-	-	0	3	1	1											
Mont.	-	0	3	-	-	-	0	9	-	-											
Nev.	-	0	3	-	2	-	0	8	-	2											
N. Mex.	-	0	3	-	2	-	0	4	-	2											
Utah	-	0	6	-	-	-	0	8	-	1											
Wyo.	-	0	2	-	-	-	0	1	-	-											
PACIFIC	-	0	50	1	78	-	0	90	-	162											
Alaska	-	0	0	-	-	-	0	0	-	-											
Calif.	-	0	50	1	78	-	0	89	-	159											
Hawaii	-	0	0	-	-	-	0	0	-	-											
Oreg.	-	0	1	-	-	-	0	2	-	3											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	-	0	0	-	-	-	0	0	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Updated weekly from reports to the Division of Vector-Borne Infectious Diseases, National Center for Infectious 
Diseases (ArboNet Surveillance).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


