
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2009 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	45	85	181	111	199	11	32	55	28	86											
NEW ENGLAND	1	4	31	1	15	-	1	11	-	7											
Conn.	-	0	26	-	-	-	0	11	-	-											
Maine	-	0	3	-	1	-	0	1	-	-											
Mass.	-	2	8	-	12	-	0	4	-	6											
N.H.	1	0	2	1	2	-	0	1	-	1											
R.I.	-	0	9	-	-	-	0	2	-	-											
Vt.	-	0	3	-	-	-	0	1	-	-											
MID. ATLANTIC	3	18	43	7	42	2	3	13	3	13											
N.J.	-	2	11	-	10	-	1	4	-	4											
N.Y. (Upstate)	3	6	17	4	8	2	2	13	3	3											
N.Y. City	-	4	10	-	10	-	0	6	-	6											
Pa.	-	7	16	3	14	N	0	0	N	N											
E.N. CENTRAL	11	14	42	21	32	4	5	15	9	19											
Ill.	-	4	16	-	10	-	1	5	-	5											
Ind.	-	2	9	-	1	-	0	5	-	-											
Mich.	1	3	10	2	10	1	1	5	2	7											
Ohio	10	5	14	19	9	3	1	4	7	5											
Wis.	-	1	10	-	2	-	0	4	-	2											
W.N. CENTRAL	4	5	39	9	6	1	2	11	3	6											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	1	-	-	0	3	1	1											
Minn.	-	0	35	-	-	-	0	9	-	-											
Mo.	1	2	10	3	5	1	1	2	2	3											
Nebr.	2	1	3	4	-	-	0	1	-	2											
N. Dak.	-	0	3	-	-	-	0	2	-	-											
S. Dak.	1	0	2	1	1	-	0	1	-	-											
S. ATLANTIC	13	21	37	44	48	3	6	16	11	17											
Del.	1	0	2	1	-	-	0	0	-	-											
D.C.	-	0	4	-	2	-	0	1	-	-											
Fla.	4	5	10	13	14	-	1	4	2	3											
Ga.	4	4	14	14	9	1	1	4	3	1											
Md.	3	4	8	9	13	2	1	5	5	6											
N.C.	-	2	10	3	-	N	0	0	N	N											
S.C.	1	1	4	3	5	-	1	5	1	4											
Va.	-	3	9	1	4	-	0	6	-	3											
W. Va.	-	0	3	-	1	-	0	1	-	-											
E.S. CENTRAL	4	3	9	6	4	-	2	6	-	1											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	-	1	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	-	1											
Tenn.	4	3	6	6	3	-	1	5	-	-											
W.S. CENTRAL	8	9	27	16	4	1	5	15	2	3											
Ark.	-	0	2	-	-	-	0	2	1	-											
La.	-	0	2	-	1	-	0	2	-	1											
Okla.	5	2	8	12	2	-	1	3	-	-											
Tex.	3	6	20	4	1	1	3	13	1	2											
MOUNTAIN	-	10	20	2	40	-	4	11	-	20											
Ariz.	-	3	9	2	11	-	2	7	-	12											
Colo.	-	2	8	-	11	-	1	4	-	5											
Idaho	-	0	2	-	1	-	0	1	-	-											
Mont.	N	0	0	N	N	-	0	1	-	-											
Nev.	-	0	1	-	2	N	0	0	N	N											
N. Mex.	-	1	8	-	11	-	0	3	-	1											
Utah	-	1	4	-	4	-	0	4	-	2											
Wyo.	-	0	2	-	-	-	0	1	-	-											
PACIFIC	1	3	8	5	8	-	0	2	-	-											
Alaska	1	1	4	1	1	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	-	2	8	4	7	-	0	2	-	-											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	-	-	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


