
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending July 8, 2006 (WEEK 27)*

column labels in same order that data fields appears in each record below:
Reporting Area
Giardiasis current week
Giardiasis previous 52 weeks median 
Giardiasis previous 52 weeks maximum 
Giardiasis cummulative for 2006
Giardiasis cummulative for 2005
Gonorrhea current week
Gonorrhea previous 52 weeks median 
Gonorrhea previous 52 weeks maximum 
Gonorrhea cummulative for 2006
Gonorrhea cummulative for 2005
Haemophilus influenzae, invasive, All ages, all serotypes current week
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks median 
Haemophilus influenzae, invasive, All ages, all serotypes previous 52 weeks maximum 
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2006
Haemophilus influenzae, invasive, All ages, all serotypes cummulative for 2005

tab delimited data:
test
UNITED STATES	136	320	1,029	7,048	8,297	2,480	6,462	14,136	156,620	165,130	28	37	142	1,030	1,328						
NEW ENGLAND	3	25	75	510	726	55	100	288	2,616	3,092	1	2	19	76	94						
Conn.	-	0	37	119	158	34	40	241	927	1,286	-	0	9	21	28						
Maine	-	3	11	48	85	-	2	6	58	69	-	0	2	8	6						
Mass.	3	10	34	232	315	12	46	75	1,241	1,373	1	1	4	35	45						
N.H.	-	0	3	10	39	3	4	9	114	79	-	0	1	2	4						
R.I.	-	0	25	42	53	6	8	19	250	258	-	0	7	2	7						
Vt.	-	3	9	59	76	-	1	4	26	27	-	0	2	8	4						
MID. ATLANTIC	39	63	254	1,238	1,545	172	647	1,014	15,131	16,654	4	7	30	193	248						
N.J.	-	7	18	97	203	4	107	150	2,399	2,860	-	2	4	26	46						
N.Y. (Upstate)	35	23	227	520	516	81	125	455	3,077	3,219	4	2	27	68	74						
N.Y. City	-	15	32	312	436	25	177	402	4,215	5,075	-	1	4	15	44						
Pa.	4	16	29	309	390	62	212	391	5,440	5,500	-	3	8	84	84						
E.N. CENTRAL	11	52	110	1,060	1,447	340	1,292	7,047	29,987	32,389	4	5	14	146	233						
Ill.	-	12	32	195	368	208	380	567	9,139	9,941	-	1	6	32	72						
Ind.	N	0	0	N	N	-	155	228	3,471	4,062	2	1	7	37	41						
Mich.	1	14	29	301	349	125	235	5,880	6,625	5,065	-	0	3	14	13						
Ohio	10	16	34	351	312	4	395	681	7,639	10,505	2	1	6	48	80						
Wis.	-	13	40	213	418	3	123	172	3,113	2,816	-	0	4	15	27						
W.N. CENTRAL	8	35	260	841	932	137	359	461	8,814	9,423	-	2	15	61	57						
Iowa	1	5	14	109	121	8	32	54	823	785	-	0	0	-	-						
Kans.	2	4	9	78	93	11	48	124	1,124	1,294	-	0	3	11	6						
Minn.	-	4	238	344	420	-	62	94	1,331	1,766	-	0	9	27	21						
Mo.	4	10	32	230	189	84	180	240	4,666	4,717	-	0	7	17	20						
Nebr.	1	2	6	43	58	28	21	56	636	619	-	0	2	5	9						
N. Dak.	-	0	7	5	3	-	2	7	44	46	-	0	3	1	1						
S. Dak.	-	1	7	32	48	6	6	13	190	196	-	0	0	-	-						
S. ATLANTIC	24	50	95	1,058	1,260	1,054	1,479	2,334	37,744	39,300	13	9	24	277	318						
Del.	-	1	3	13	29	26	24	44	755	408	-	0	1	1	-						
D.C.	1	1	5	36	22	-	36	66	779	1,035	-	0	1	2	4						
Fla.	16	19	39	459	433	286	418	520	11,334	9,906	3	3	9	96	79						
Ga.	4	12	26	202	347	9	291	1,014	5,660	7,217	2	2	6	48	71						
Md.	1	4	10	83	89	83	129	231	3,473	3,441	2	1	5	35	41						
N.C.	N	0	0	N	N	540	274	766	8,187	8,100	6	0	9	29	52						
S.C.	1	1	7	53	70	54	128	748	3,855	4,620	-	1	3	22	21						
Va.	1	10	50	201	254	51	139	288	3,260	4,222	-	1	8	33	31						
W. Va.	-	0	6	11	16	5	16	42	441	351	-	0	4	11	19						
E.S. CENTRAL	3	8	18	190	177	341	547	723	14,604	13,737	-	2	6	61	75						
Ala.	-	4	14	94	79	52	180	327	4,796	4,174	-	0	4	16	15						
Ky.	N	0	0	N	N	132	55	116	1,701	1,668	-	0	1	2	9						
Miss.	-	0	0	-	-	-	137	203	3,287	3,630	-	0	1	3	-						
Tenn.	3	4	12	96	98	157	182	279	4,820	4,265	-	1	4	40	51						
W.S. CENTRAL	4	6	31	123	117	39	891	1,430	22,172	23,123	1	1	15	46	79						
Ark.	2	2	6	37	38	-	80	186	2,049	2,337	-	0	2	4	7						
La.	-	2	6	35	21	-	163	461	4,528	5,288	-	0	2	9	30						
Okla.	2	2	24	51	58	39	86	764	2,203	2,232	1	1	14	33	40						
Tex.	N	0	0	N	N	-	531	734	13,392	13,266	-	0	1	-	2						
MOUNTAIN	10	30	57	614	611	48	223	552	5,218	6,937	-	3	8	109	149						
Ariz.	-	2	36	33	72	30	90	201	2,151	2,553	-	1	7	42	77						
Colo.	-	9	33	220	213	-	52	90	879	1,609	-	1	4	34	31						
Idaho	2	3	11	73	62	-	3	10	91	55	-	0	1	3	3						
Mont.	2	1	7	33	20	3	2	14	75	73	-	0	0	-	-						
Nev.	-	2	6	28	44	-	36	194	634	1,476	-	0	1	-	13						
N. Mex.	-	1	6	23	33	3	30	64	901	793	-	0	4	16	16						
Utah	3	7	19	194	154	12	17	23	419	348	-	0	4	13	5						
Wyo.	3	0	2	10	13	-	2	6	68	30	-	0	2	1	4						
PACIFIC	34	61	202	1,414	1,482	294	806	959	20,334	20,475	5	2	20	61	75						
Alaska	1	1	7	21	43	6	11	23	278	285	-	0	19	5	5						
Calif.	25	43	105	1,043	1,122	221	662	828	16,668	17,054	5	0	9	15	30						
Hawaii	1	1	3	28	35	5	19	36	484	515	-	0	1	9	6						
Oreg.	-	8	21	165	164	-	28	58	693	792	-	0	6	30	34						
Wash.	7	8	90	157	118	62	74	142	2,211	1,829	-	0	4	2	-						
Amer. Samoa	U	0	0	U	U	U	0	2	U	U	U	0	0	U	U						
C.N.M.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
Guam	-	0	3	-	3	-	1	15	-	56	-	0	2	-	2						
P.R.	-	3	20	20	93	-	5	16	127	210	-	0	1	-	2						
V.I.	-	0	0	-	-	-	0	2	4	51	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


