
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 22, 2003 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	-	4,664	91,254	115,269	480	521	140	313	-	-											
NEW ENGLAND	-	114	3,337	3,974	-	-	14	10	-	-											
Maine	-	1	138	206	N	N	1	-	-	-											
N.H.	-	4	219	245	-	-	-	2	-	-											
Vt.	-	4	166	114	-	-	1	-	-	-											
Mass.	-	76	1,118	1,511	-	-	7	4	-	-											
R.I.	-	5	413	401	-	-	3	3	-	-											
Conn.	-	24	1,283	1,497	N	N	2	1	-	-											
MID. ATLANTIC	-	1,189	5,682	12,465	-	-	11	26	-	-											
Upstate N.Y.	-	50	1,794	1,268	N	N	7	5	-	-											
N.Y. City	-	741	688	4,505	-	-	2	13	-	-											
N.J.	-	218	1,187	2,106	-	-	1	3	-	-											
Pa.	-	180	2,013	4,586	N	N	1	5	-	-											
E.N. CENTRAL	-	414	18,188	20,830	1	2	28	105	-	-											
Ohio	-	103	5,848	5,286	-	-	7	26	-	-											
Ind.	-	52	2,610	2,492	N	N	3	9	-	-											
Ill.	-	178	3,298	6,053	-	-	4	21	-	-											
Mich.	-	65	4,389	4,426	1	2	10	18	-	-											
Wis.	-	16	2,043	2,573	-	-	4	31	-	-											
W.N. CENTRAL	-	49	5,123	6,143	-	-	15	21	-	-											
Minn.	-	9	1,085	1,598	N	N	6	8	-	-											
Iowa	-	15	308	475	N	N	3	2	-	-											
Mo.	-	22	1,954	2,106	-	-	2	6	-	-											
N. Dak.	-	-	41	164	N	N	-	-	-	-											
S. Dak.	-	1	378	320	-	-	4	-	-	-											
Nebr.	-	-	310	465	-	-	-	3	-	-											
Kans.	-	2	1,047	1,015	N	N	-	2	-	-											
S. ATLANTIC	-	1,606	20,911	20,988	-	-	34	67	-	-											
Del.	-	21	466	394	N	N	1	-	-	-											
Md.	-	245	2,400	2,180	-	-	6	1	-	-											
D.C.	-	19	445	522	-	-	-	1	-	-											
Va.	-	107	2,134	2,198	-	-	-	1	-	-											
W. Va.	-	6	360	373	N	N	-	-	-	-											
N.C.	-	134	3,802	3,104	N	N	3	9	-	-											
S.C.	-	136	1,771	2,074	-	-	1	-	-	-											
Ga.	-	377	3,958	4,209	-	-	16	40	-	-											
Fla.	-	561	5,575	5,934	N	N	7	15	-	-											
E.S. CENTRAL	-	222	7,965	7,891	-	-	11	14	-	-											
Ky.	-	16	1,306	1,315	N	N	-	1	-	-											
Tenn.	-	95	2,432	2,570	N	N	4	2	-	-											
Ala.	-	56	2,123	2,528	-	-	6	10	-	-											
Miss.	-	55	2,104	1,478	N	N	1	1	-	-											
W.S. CENTRAL	-	607	12,652	16,274	-	-	2	8	-	-											
Ark.	-	35	732	1,004	-	-	1	2	-	-											
La.	-	65	2,413	2,736	N	N	-	1	-	-											
Okla.	-	33	1,055	1,354	N	N	1	1	-	-											
Tex.	-	474	8,452	11,180	-	-	-	4	-	-											
MOUNTAIN	-	130	5,087	7,123	406	367	13	9	-	-											
Mont.	-	3	272	397	N	N	1	-	-	-											
Idaho	-	2	387	357	N	N	5	2	-	-											
Wyo.	-	1	182	127	-	-	-	-	-	-											
Colo.	-	21	1,237	2,057	N	N	2	3	-	-											
N. Mex.	-	7	250	1,178	N	N	-	-	-	-											
Ariz.	-	39	2,129	2,060	404	360	2	1	-	-											
Utah	-	7	310	56	1	2	3	2	-	-											
Nev.	-	50	320	891	1	4	-	1	-	-											
PACIFIC	-	333	12,309	19,581	73	152	12	53	-	-											
Wash.	-	39	2,272	2,098	N	N	-	10	-	-											
Oreg.	-	75	879	843	-	-	3	7	-	-											
Calif.	-	216	8,081	15,542	73	152	9	36	-	-											
Alaska	-	-	514	492	-	-	-	-	-	-											
Hawaii	-	3	563	606	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	68	-	-	N	N	N	N	-	-											
V.I.	-	33	-	31	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


