
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending June 17, 2000 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 2000
H. influenzae, Invasive cummulative for 1999
Hepatitis (Viral), Type A cummulative for 2000
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type B cummulative for 2000
Hepatitis (Viral), Type B cummulative for 1999
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 2000
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 2000
Measles (Rubeola), Total cummulative for 2000
Measles (Rubeola), Total cummulative for 1999

tab delimited data:
test
UNITED STATES	576	571	4,950	8,835	2,796	3,081	2	17	3	9	26	55									
NEW ENGLAND	39	37	115	101	32	72	-	-	2	2	2	9									
Maine	1	-	7	2	5	-	-	-	-	-	-	-									
N.H.	8	8	13	7	9	7	-	-	-	-	-	1									
Vt.	2	4	3	1	4	1	-	-	2	2	2	-									
Mass.	21	17	51	35	5	27	-	-	-	-	-	6									
R.I.	1	-	7	9	9	15	-	-	-	-	-	-									
Conn.	6	8	34	47	-	22	-	-	-	-	-	2									
MID. ATLANTIC	86	95	217	559	269	446	-	-	1	1	1	5									
Upstate N.Y.	41	38	102	110	59	92	-	-	-	-	-	2									
N.Y. City	18	32	115	145	179	137	-	-	-	-	-	3									
N.J.	20	23	-	71	31	66	-	-	-	-	-	-									
Pa.	7	2	-	233	-	151	-	-	1	1	1	-									
E.N. CENTRAL	73	91	612	1,519	308	295	1	5	-	-	5	1									
Ohio	31	32	135	349	58	45	-	2	-	-	2	-									
Ind.	10	13	26	54	26	23	-	-	-	-	-	1									
Ill.	27	38	217	303	46	-	1	2	-	-	2	-									
Mich.	5	8	221	771	177	206	-	1	-	-	1	-									
Wis.	-	-	13	42	1	21	-	-	-	-	-	-									
W.N. CENTRAL	32	24	558	350	346	134	-	2	-	1	3	-									
Minn.	16	12	120	33	16	19	-	-	-	1	1	-									
Iowa	-	1	47	71	20	22	-	1	-	-	1	-									
Mo.	5	3	269	204	267	78	-	-	-	-	-	-									
N. Dak.	1	-	-	1	2	-	-	-	-	-	-	-									
S. Dak.	-	2	-	8	-	1	-	-	-	-	-	-									
Nebr.	4	3	18	25	18	11	-	-	-	-	-	-									
Kans.	6	3	104	8	23	3	-	1	-	-	1	-									
S. ATLANTIC	158	127	603	813	537	462	-	-	-	-	-	4									
Del.	-	-	-	2	-	-	-	-	-	-	-	-									
Md.	42	30	77	153	62	86	-	-	-	-	-	-									
D.C.	-	4	11	33	16	11	-	-	-	-	-	-									
Va.	28	12	66	68	73	45	-	-	-	-	-	3									
W. Va.	5	4	39	15	6	11	-	-	-	-	-	-									
N.C.	13	21	87	57	123	100	-	-	-	-	-	-									
S.C.	7	2	23	17	4	37	-	-	-	-	-	-									
Ga.	42	35	80	237	84	54	U	-	U	-	-	-									
Fla.	21	19	220	231	169	118	-	-	-	-	-	1									
E.S. CENTRAL	30	41	213	215	200	207	-	-	-	-	-	2									
Ky.	11	6	24	41	41	16	-	-	-	-	-	2									
Tenn.	14	20	80	88	85	92	-	-	-	-	-	-									
Ala.	4	13	29	35	25	50	-	-	-	-	-	-									
Miss.	1	2	80	51	49	49	U	-	U	-	-	-									
W.S. CENTRAL	31	39	849	2,599	332	523	1	1	-	-	1	3									
Ark.	-	1	83	23	46	40	1	1	-	-	1	-									
La.	7	10	29	75	50	104	-	-	-	-	-	-									
Okla.	22	26	141	277	69	62	-	-	-	-	-	-									
Tex.	2	2	596	2,224	167	317	-	-	-	-	-	3									
MOUNTAIN	65	52	424	678	217	286	-	8	-	1	9	1									
Mont.	-	1	2	12	3	15	-	-	-	-	-	-									
Idaho	2	1	15	27	5	15	-	-	-	-	-	-									
Wyo.	1	1	6	4	2	6	-	-	-	-	-	-									
Colo.	11	7	89	122	48	42	-	1	-	1	2	-									
N. Mex.	13	11	39	26	53	92	-	-	-	-	-	-									
Ariz.	33	27	209	401	77	74	-	-	-	-	-	1									
Utah	4	2	33	25	12	14	-	3	-	-	3	-									
Nev.	1	2	31	61	17	28	U	4	U	-	4	-									
PACIFIC	62	65	1,359	2,001	555	656	-	1	-	4	5	30									
Wash.	3	1	135	141	29	31	-	-	-	-	-	5									
Oreg.	18	23	106	133	44	57	-	-	-	-	-	10									
Calif.	24	34	1,112	1,711	473	551	-	-	-	3	3	15									
Alaska	2	5	6	4	4	10	U	1	U	-	1	-									
Hawaii	15	2	-	12	5	7	-	-	-	1	1	-									
Guam	-	-	-	2	-	2	U	-	U	-	-	1									
P.R.	1	1	53	138	45	126	-	-	-	-	-	-									
V.I.	-	U	-	U	-	U	U	-	U	-	-	U									
Amer. Samoa	-	U	-	U	-	U	U	-	U	-	-	U									
C.N.M.I.	-	U	-	U	-	U	U	-	U	-	-	U									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


