
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending December 27, 2008 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007

tab delimited data:
test
UNITED STATES	60	89	259	5,066	5,294	20	33	166	1,629	2,032											
NEW ENGLAND	1	6	31	324	409	-	1	14	71	141											
Conn.	-	0	26	101	132	-	0	11	11	24											
Maine	1	0	3	28	28	-	0	1	2	4											
Mass.	-	2	8	138	190	-	0	5	39	89											
N.H.	-	0	2	27	27	-	0	1	11	13											
R.I.	-	0	9	18	14	-	0	2	7	9											
Vt.	-	0	2	12	18	-	0	1	1	2											
MID. ATLANTIC	13	18	43	1,002	946	5	3	17	210	350											
N.J.	-	2	11	153	173	-	1	4	63	75											
N.Y. (Upstate)	4	6	17	325	295	5	2	14	106	123											
N.Y. City	-	3	10	185	226	-	0	6	41	152											
Pa.	9	7	16	339	252	N	0	0	N	N											
E.N. CENTRAL	7	16	42	909	987	4	5	23	262	334											
Ill.	-	4	16	243	293	-	0	5	48	84											
Ind.	-	2	11	130	128	-	0	14	35	37											
Mich.	3	3	10	171	201	-	1	5	77	84											
Ohio	4	5	14	258	239	4	1	5	65	69											
Wis.	-	1	10	107	126	-	1	4	37	60											
W.N. CENTRAL	2	5	39	377	351	-	2	16	154	116											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	36	32	-	0	3	19	3											
Minn.	-	0	35	172	173	-	0	13	71	66											
Mo.	-	2	10	89	85	-	1	2	37	27											
Nebr.	2	1	3	45	25	-	0	2	9	18											
N. Dak.	-	0	5	12	24	-	0	2	8	1											
S. Dak.	-	0	2	23	12	-	0	1	10	1											
S. ATLANTIC	16	21	37	1,091	1,264	3	5	16	296	349											
Del.	-	0	2	9	10	-	0	0	-	-											
D.C.	-	0	4	23	17	-	0	1	2	3											
Fla.	3	5	10	266	309	1	1	4	70	71											
Ga.	5	4	14	237	259	1	1	4	67	85											
Md.	8	4	8	183	212	1	1	5	59	72											
N.C.	-	2	10	136	167	N	0	0	N	N											
S.C.	-	1	5	73	101	-	1	4	51	58											
Va.	-	3	12	131	162	-	0	6	39	52											
W. Va.	-	0	3	33	27	-	0	1	8	8											
E.S. CENTRAL	1	3	9	174	213	1	2	11	102	119											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	-	1	3	41	41	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	3	20	13											
Tenn.	1	3	6	133	172	1	2	9	82	106											
W.S. CENTRAL	12	9	85	477	401	6	5	66	287	350											
Ark.	-	0	2	5	19	-	0	2	7	19											
La.	-	0	2	16	16	-	0	2	13	39											
Okla.	5	2	19	122	85	1	1	7	69	65											
Tex.	7	6	65	334	281	5	3	58	198	227											
MOUNTAIN	6	10	22	542	574	1	4	13	228	259											
Ariz.	1	3	9	192	208	1	2	8	113	128											
Colo.	5	3	8	150	145	-	1	4	58	52											
Idaho	-	0	2	15	18	-	0	1	5	2											
Mont.	N	0	0	N	N	-	0	1	4	1											
Nev.	-	0	1	12	2	N	0	0	N	N											
N. Mex.	-	1	8	98	107	-	0	3	18	44											
Utah	-	1	5	68	89	-	0	4	29	32											
Wyo.	-	0	2	7	5	-	0	1	1	-											
PACIFIC	2	3	8	170	149	-	0	2	19	14											
Alaska	-	1	4	40	25	N	0	0	N	N											
Calif.	-	0	0	-	-	N	0	0	N	N											
Hawaii	2	2	8	130	124	-	0	2	19	14											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	12	30	4	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	14	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2008 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


