
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 14, 2003 (WEEK 24)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	12,460	14,148	10,114	6,834	3,081	2,650	1,183	1,517	200	162											
NEW ENGLAND	597	760	117	113	165	204	13	65	1	1											
Maine	41	63	4	3	18	16	-	-	-	-											
N.H.	39	44	4	4	16	23	-	-	N	N											
Vt.	20	30	5	-	13	9	5	3	1	1											
Mass.	325	440	70	82	113	75	N	N	N	N											
R.I.	36	32	4	5	5	8	8	3	-	-											
Conn.	136	151	30	19	-	73	-	59	U	U											
MID. ATLANTIC	1,363	1,993	877	526	466	453	75	72	53	46											
Upstate N.Y.	337	472	135	68	218	189	36	65	41	40											
N.Y. City	397	536	154	193	62	106	U	U	U	U											
N.J.	116	455	122	163	29	93	N	N	N	N											
Pa.	513	530	466	102	157	65	39	7	12	6											
E.N. CENTRAL	1,659	2,259	728	733	685	574	263	110	87	58											
Ohio	526	560	128	313	199	128	177	4	62	-											
Ind.	198	164	54	35	61	29	86	104	20	23											
Ill.	465	818	370	257	168	180	-	2	-	-											
Mich.	280	358	123	66	240	168	N	N	N	N											
Wis.	190	359	53	62	17	69	N	N	5	35											
W.N. CENTRAL	744	930	336	544	199	152	109	317	29	27											
Minn.	215	208	41	99	97	74	-	220	25	25											
Iowa	136	142	22	48	N	N	N	N	N	N											
Mo.	189	336	146	59	42	33	7	5	2	1											
N. Dak.	17	21	1	16	6	-	3	1	2	1											
S. Dak.	29	30	8	148	16	9	-	1	-	-											
Nebr.	63	61	85	120	19	14	-	25	N	N											
Kans.	95	132	33	54	19	22	99	65	N	N											
S. ATLANTIC	3,060	3,169	3,287	2,227	531	410	596	704	4	15											
Del.	27	22	125	6	6	1	1	3	N	N											
Md.	320	289	239	371	175	58	-	-	-	12											
D.C.	15	34	29	27	9	5	2	-	-	1											
Va.	325	323	163	410	62	44	N	N	N	N											
W. Va.	32	42	-	2	26	8	38	34	4	2											
N.C.	420	443	355	132	59	80	N	N	U	U											
S.C.	161	186	204	41	23	27	66	118	N	N											
Ga.	581	522	980	553	63	87	168	185	N	N											
Fla.	1,179	1,308	1,192	685	108	100	321	364	N	N											
E.S. CENTRAL	763	806	436	572	110	61	80	84	-	-											
Ky.	134	124	53	61	27	10	11	10	N	N											
Tenn.	257	204	148	26	83	51	69	74	N	N											
Ala.	220	227	154	261	-	-	-	-	N	N											
Miss.	152	251	81	224	-	-	-	-	-	-											
W.S. CENTRAL	1,604	1,357	3,040	1,021	342	165	29	135	24	13											
Ark.	177	208	39	89	3	4	7	5	-	-											
La.	76	287	83	214	1	1	22	130	9	4											
Okla.	123	132	396	157	49	25	N	N	15	-											
Tex.	1,228	730	2,522	561	289	135	N	N	-	9											
MOUNTAIN	844	876	396	253	298	332	17	30	2	2											
Mont.	45	40	2	1	1	-	-	-	-	-											
Idaho	85	56	10	2	11	5	N	N	N	N											
Wyo.	46	24	1	3	1	6	4	10	-	-											
Colo.	216	222	61	48	104	69	-	-	-	-											
N. Mex.	63	117	77	50	67	64	13	20	-	-											
Ariz.	240	260	207	121	104	170	-	-	N	N											
Utah	88	55	22	13	9	18	-	-	2	2											
Nev.	61	102	16	15	1	-	-	-	-	-											
PACIFIC	1,826	1,998	897	845	285	299	1	-	-	-											
Wash.	196	179	71	51	26	18	-	-	N	N											
Oreg.	168	162	41	38	N	N	N	N	N	N											
Calif.	1,381	1,513	779	732	231	254	N	N	N	N											
Alaska	39	32	4	2	-	-	-	-	N	N											
Hawaii	42	112	2	22	28	27	1	-	-	-											
Guam	-	22	-	17	-	-	-	3	-	-											
P.R.	47	153	1	11	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


