
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 5, 2004 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2004
Salmonellosis cummulative for 2003
Shigellosis cummulative for 2004
Shigellosis cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2004
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2004
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003

tab delimited data:
test
UNITED STATES	10,451	11,595	4,074	8,985	2,224	3,158	1,191	1,197	255	276											
NEW ENGLAND	530	573	94	112	108	304	13	59	4	1											
Maine	32	36	1	4	4	17	1	-	-	-											
N.H.	34	39	4	4	12	18	-	-	N	N											
Vt.	18	18	2	4	5	14	6	5	1	1											
Mass.	285	330	58	72	71	137	N	N	N	N											
R.I.	41	31	6	3	16	5	6	7	3	-											
Conn.	120	119	23	25	-	113	-	47	U	U											
MID. ATLANTIC	1,376	1,470	489	870	377	543	85	71	54	51											
Upstate N.Y.	350	295	237	128	128	196	40	33	40	38											
N.Y. City	372	425	135	161	53	82	U	U	U	U											
N.J.	210	234	68	168	66	112	N	N	N	N											
Pa.	444	516	49	413	130	153	45	38	14	13											
E.N. CENTRAL	1,375	1,623	289	764	395	784	259	247	83	95											
Ohio	369	455	71	114	135	171	192	165	51	53											
Ind.	149	182	54	51	50	64	67	82	17	13											
Ill.	321	521	87	430	35	214	-	-	-	-											
Mich.	280	244	41	107	157	231	N	N	N	N											
Wis.	256	221	36	62	18	104	N	N	15	29											
W.N. CENTRAL	768	651	148	289	171	194	125	96	27	26											
Minn.	181	170	19	37	79	93	-	-	23	23											
Iowa	157	123	30	22	N	N	N	N	N	N											
Mo.	215	167	59	130	40	42	6	6	4	1											
N. Dak.	14	14	1	3	7	8	-	3	-	2											
S. Dak.	28	30	6	8	8	15	3	-	-	-											
Nebr.	55	60	7	59	9	19	-	-	N	N											
Kans.	118	87	26	30	28	17	116	87	N	N											
S. ATLANTIC	2,308	2,670	1,140	2,753	462	497	553	580	7	6											
Del.	16	36	3	127	2	5	3	1	N	N											
Md.	205	283	47	223	98	138	-	4	-	-											
D.C.	14	12	20	24	5	4	3	-	3	-											
Va.	273	274	41	127	41	62	N	N	N	N											
W. Va.	49	25	-	-	14	22	63	35	4	6											
N.C.	285	399	136	274	65	36	N	N	U	U											
S.C.	139	140	183	172	35	21	51	87	N	N											
Ga.	335	393	234	610	97	106	121	143	N	N											
Fla.	992	1,108	476	1,196	105	103	312	310	N	N											
E.S. CENTRAL	609	712	231	422	125	103	74	77	-	-											
Ky.	111	121	33	49	41	25	19	6	N	N											
Tenn.	180	235	93	143	84	78	55	71	N	N											
Ala.	175	185	81	142	-	-	-	-	N	N											
Miss.	143	171	24	88	-	-	-	-	-	-											
W.S. CENTRAL	903	1,282	866	2,489	114	155	30	49	52	63											
Ark.	132	151	19	33	6	4	5	17	7	4											
La.	135	214	94	203	1	1	25	32	8	14											
Okla.	105	101	208	348	31	48	N	N	24	26											
Tex.	531	816	545	1,905	76	102	N	N	13	19											
MOUNTAIN	832	762	304	367	275	274	16	16	28	34											
Mont.	53	42	3	2	-	1	-	-	-	-											
Idaho	57	76	5	9	4	11	N	N	N	N											
Wyo.	20	45	1	1	5	1	4	2	-	-											
Colo.	187	198	52	56	73	78	-	-	26	32											
N. Mex.	75	64	42	79	50	69	5	13	-	-											
Ariz.	282	206	165	182	118	95	N	N	N	N											
Utah	87	68	16	21	24	18	5	1	2	2											
Nev.	71	63	20	17	1	1	2	-	-	-											
PACIFIC	1,750	1,852	513	919	197	304	36	2	-	-											
Wash.	157	214	36	81	24	29	-	-	N	N											
Oreg.	136	168	28	37	N	N	N	N	N	N											
Calif.	1,295	1,358	428	785	135	225	N	N	N	N											
Alaska	32	36	3	4	-	-	-	-	N	N											
Hawaii	130	76	18	12	38	50	36	2	-	-											
Guam	-	19	-	20	-	-	-	-	-	-											
P.R.	55	260	1	4	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	3	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


