
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2000 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	410	470	3	64	71	73	597	789	-	5	3										
NEW ENGLAND	25	25	-	-	3	9	135	100	-	1	1										
Maine	2	3	-	-	-	-	7	-	-	-	-										
N.H.	-	3	-	-	1	5	34	17	-	1	-										
Vt.	1	2	-	-	-	1	42	9	-	-	-										
Mass.	16	16	-	-	2	-	44	72	-	-	1										
R.I.	-	1	-	-	-	2	6	-	-	-	-										
Conn.	6	-	-	-	-	1	2	2	-	-	-										
MID. ATLANTIC	32	52	-	3	9	19	53	90	-	-	-										
Upstate N.Y.	8	8	-	1	2	8	32	55	-	-	-										
N.Y. City	8	20	-	-	3	-	-	10	-	-	-										
N.J.	8	13	-	-	-	-	-	2	-	-	-										
Pa.	8	11	-	2	4	11	21	23	-	-	-										
E.N. CENTRAL	49	72	1	6	7	9	122	94	-	-	-										
Ohio	13	26	-	3	2	6	108	56	-	-	-										
Ind.	14	6	-	-	-	2	5	4	-	-	-										
Ill.	4	26	-	1	2	-	5	10	-	-	-										
Mich.	14	8	1	2	3	1	4	12	-	-	-										
Wis.	4	6	-	-	-	-	-	12	-	-	-										
W.N. CENTRAL	43	58	-	10	2	1	21	28	-	3	-										
Minn.	1	11	-	-	-	-	7	-	-	-	-										
Iowa	8	9	-	3	2	-	6	5	-	-	-										
Mo.	29	21	-	1	-	-	2	6	-	-	-										
N. Dak.	1	-	-	-	-	1	1	-	-	-	-										
S. Dak.	2	4	-	-	-	-	1	1	-	-	-										
Nebr.	1	3	-	4	-	-	-	1	-	-	-										
Kans.	1	10	-	2	-	-	4	15	-	3	-										
S. ATLANTIC	75	60	1	8	9	5	43	50	-	-	-										
Del.	-	1	-	-	-	1	1	-	-	-	-										
Md.	5	12	1	2	2	-	13	21	-	-	-										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	12	5	-	1	2	2	3	7	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	14	8	-	2	1	-	15	18	-	-	-										
S.C.	6	11	-	3	2	-	9	4	-	-	-										
Ga.	17	14	-	-	-	2	2	-	-	-	-										
Fla.	20	7	U	-	1	U	-	-	U	-	-										
E.S. CENTRAL	19	39	-	1	1	-	12	20	-	-	-										
Ky.	4	8	-	-	-	-	7	4	-	-	-										
Tenn.	7	13	-	-	-	-	1	9	-	-	-										
Ala.	7	11	-	1	1	-	4	6	-	-	-										
Miss.	1	7	-	-	-	-	-	1	-	-	-										
W.S. CENTRAL	21	44	-	-	12	-	3	25	-	-	2										
Ark.	2	8	-	-	-	-	3	2	-	-	-										
La.	12	23	-	-	2	-	-	2	-	-	-										
Okla.	7	11	-	-	1	-	-	3	-	-	-										
Tex.	-	2	-	-	9	-	-	18	-	-	2										
MOUNTAIN	22	49	-	3	5	16	153	160	-	1	-										
Mont.	-	-	-	-	-	-	1	-	-	-	-										
Idaho	2	6	-	-	-	1	24	71	-	-	-										
Wyo.	-	2	-	-	-	-	-	1	-	-	-										
Colo.	7	14	-	-	2	13	82	27	-	-	-										
N. Mex.	4	7	-	1	N	2	27	7	-	-	-										
Ariz.	6	15	-	-	-	-	14	34	-	-	-										
Utah	3	3	-	-	2	-	4	18	-	1	-										
Nev.	-	2	-	2	1	-	1	2	-	-	-										
PACIFIC	124	71	1	33	23	14	55	222	-	-	-										
Wash.	6	10	1	1	-	6	19	22	-	-	-										
Oreg.	13	17	N	N	N	-	13	3	-	-	-										
Calif.	102	37	-	31	18	7	20	188	-	-	-										
Alaska	1	3	-	-	1	-	2	1	-	-	-										
Hawaii	2	4	-	1	4	1	1	8	-	-	-										
Guam	-	-	-	-	1	-	-	-	-	-	-										
P.R.	-	2	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


