
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 8, 2000 (WEEK 01)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	1,525	6,894	6	36	3	10	-	26													
NEW ENGLAND	58	130	-	-	-	-	-	6													
Maine	-	-	-	-	-	-	-	-													
N.H.	1	-	-	-	-	-	-	-													
Vt.	-	3	-	-	-	-	-	-													
Mass.	57	68	-	-	-	-	-	6													
R.I.	-	11	-	-	-	-	-	-													
Conn.	-	48	-	-	-	-	-	-													
MID. ATLANTIC	12	874	-	-	-	2	-	12													
Upstate N.Y.	8	-	-	-	-	-	-	-													
N.Y. City	-	493	-	-	-	-	-	3													
N.J.	4	145	-	-	-	1	-	6													
Pa.	-	236	-	-	-	1	-	3													
E.N. CENTRAL	421	1,058	4	19	1	7	-	3													
Ohio	51	325	-	-	1	2	-	3													
Ind.	52	95	-	-	-	-	-	-													
Ill.	168	405	-	1	-	-	-	-													
Mich.	-	81	4	18	-	4	-	-													
Wis.	150	152	-	-	-	1	U	U													
W.N. CENTRAL	41	207	1	3	-	-	-	-													
Minn.	3	69	-	-	-	-	-	-													
Iowa	4	-	-	-	-	-	-	-													
Mo.	31	106	1	3	-	-	-	-													
N. Dak.	-	-	-	-	-	-	-	-													
S. Dak.	3	2	-	-	-	-	-	-													
Nebr.	-	14	-	-	-	-	-	-													
Kans.	-	16	-	-	-	-	-	-													
S. ATLANTIC	626	2,381	-	3	2	-	-	4													
Del.	27	37	-	-	-	-	-	-													
Md.	30	384	-	2	1	-	-	4													
D.C.	-	86	-	-	-	-	-	-													
Va.	212	355	-	-	-	-	-	-													
W. Va.	-	16	-	-	N	N	-	-													
N.C.	353	348	-	1	1	-	-	-													
S.C.	-	363	-	-	-	-	-	-													
Ga.	4	334	-	-	-	-	-	-													
Fla.	-	458	-	-	-	-	-	-													
E.S. CENTRAL	154	574	-	-	-	-	-	-													
Ky.	62	32	-	-	-	-	-	-													
Tenn.	-	68	-	-	-	-	-	-													
Ala.	92	254	-	-	-	-	-	-													
Miss.	-	220	-	-	-	-	-	-													
W.S. CENTRAL	69	1,143	-	-	-	-	-	-													
Ark.	-	60	-	-	-	-	-	-													
La.	-	350	-	-	-	-	-	-													
Okla.	69	86	-	-	-	-	-	-													
Tex.	-	647	-	-	-	-	-	-													
MOUNTAIN	111	216	1	5	-	-	-	-													
Mont.	-	-	-	-	-	-	-	-													
Idaho	-	2	-	1	-	-	-	-													
Wyo.	1	1	1	2	-	-	-	-													
Colo.	102	45	-	1	-	-	-	-													
N. Mex.	-	10	-	1	-	-	-	-													
Ariz.	-	122	-	-	-	-	-	-													
Utah	8	7	-	-	-	-	-	-													
Nev.	-	29	-	-	-	-	-	-													
PACIFIC	33	311	-	6	-	1	-	1													
Wash.	31	43	-	-	-	-	-	-													
Oreg.	-	9	-	-	N	N	-	-													
Calif.	-	248	-	6	-	1	-	1													
Alaska	2	3	-	-	-	-	-	-													
Hawaii	-	8	-	-	-	-	N	N													
Guam	-	1	-	-	-	-	-	-													
P.R.	-	-	-	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


