
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 27, 2010 (WEEK 08)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2010
Legionellosis cummulative for 2009
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2010
Lyme disease cummulative for 2009
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2010
Malaria cummulative for 2009

tab delimited data:
test
UNITED STATES	17	56	163	239	264	51	366	2,004	765	1,184	10	21	48	146	150						
NEW ENGLAND	-	2	18	6	10	6	72	493	30	197	-	1	4	-	9						
Conn.	-	1	5	3	4	-	0	0	-	-	-	0	3	-	-						
Maine	-	0	3	-	-	6	11	76	22	12	-	0	1	-	-						
Mass.	-	1	9	-	5	-	29	328	-	114	-	0	3	-	8						
N.H.	-	0	2	1	-	-	19	93	3	54	-	0	1	-	-						
R.I.	-	0	4	1	-	-	1	28	-	1	-	0	1	-	-						
Vt.	-	0	1	1	1	-	5	42	5	16	-	0	1	-	1						
MID. ATLANTIC	2	16	69	48	67	35	190	1,102	426	531	1	6	13	39	28						
N.J.	-	2	13	-	9	-	37	378	17	203	-	0	1	-	-						
N.Y. (Upstate)	1	5	29	20	20	26	52	331	108	99	1	1	4	12	7						
N.Y. City	-	3	20	8	3	-	2	25	-	11	-	4	11	21	16						
Pa.	1	6	25	20	35	9	101	642	301	218	-	1	4	6	5						
E.N. CENTRAL	5	10	38	43	62	1	23	223	50	68	4	2	11	12	20						
Ill.	-	1	10	1	4	-	1	11	-	1	-	1	5	4	7						
Ind.	-	1	4	2	8	-	1	7	4	2	-	0	4	1	5						
Mich.	-	2	11	7	12	-	1	10	2	1	-	0	3	2	2						
Ohio	5	4	17	31	32	1	1	5	3	2	4	0	6	5	6						
Wis.	-	1	5	2	6	-	20	205	41	62	-	0	1	-	-						
W.N. CENTRAL	-	2	12	5	4	-	5	150	1	13	-	1	8	9	7						
Iowa	-	0	2	-	2	-	0	14	-	4	-	0	1	1	2						
Kans.	-	0	1	-	2	-	0	2	-	4	-	0	1	3	1						
Minn.	-	0	11	1	-	-	0	150	-	4	-	0	8	-	1						
Mo.	-	1	5	2	-	-	0	1	-	-	-	0	2	2	3						
Nebr.	-	0	2	2	-	-	0	3	1	-	-	0	2	3	-						
N. Dak.	-	0	1	-	-	-	0	0	-	-	-	0	1	-	-						
S. Dak.	-	0	1	-	-	-	0	0	-	1	-	0	1	-	-						
