
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 31, 2003 (WEEK 22)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	10,615	12,506	8,501	6,026	2,725	2,388	1,103	1,406	177	143											
NEW ENGLAND	549	673	107	104	158	126	12	5	1	1											
Maine	37	58	4	3	16	16	-	-	-	-											
N.H.	33	38	4	4	14	22	-	-	N	N											
Vt.	17	26	4	-	13	7	5	3	1	1											
Mass.	310	388	67	75	110	73	N	N	N	N											
R.I.	33	28	3	4	5	8	7	2	-	-											
Conn.	119	135	25	18	-	-	-	-	-	-											
MID. ATLANTIC	1,093	1,782	522	453	375	421	58	64	49	42											
Upstate N.Y.	296	420	128	62	203	171	31	60	39	36											
N.Y. City	350	475	147	182	56	99	U	U	U	U											
N.J.	102	411	115	118	25	89	N	N	N	N											
Pa.	345	476	132	91	91	62	27	4	10	6											
E.N. CENTRAL	1,490	2,055	627	660	624	541	247	102	76	58											
Ohio	463	505	115	300	173	116	164	-	54	-											
Ind.	189	149	51	31	53	24	83	100	17	23											
Ill.	421	736	314	214	156	174	-	2	-	-											
Mich.	240	336	105	60	225	160	N	N	N	N											
Wis.	177	329	42	55	17	67	N	N	5	35											
W.N. CENTRAL	666	825	301	490	190	142	106	302	23	24											
Minn.	189	189	38	90	94	69	-	207	22	22											
Iowa	123	123	22	41	N	N	N	N	N	N											
Mo.	169	305	118	55	39	31	7	4	1	1											
N. Dak.	15	9	-	7	6	-	3	1	-	1											
S. Dak.	29	30	8	132	14	9	-	1	-	-											
Nebr.	63	54	84	113	19	13	-	25	N	N											
Kans.	78	115	31	52	18	20	96	64	N	N											
S. ATLANTIC	2,747	2,790	2,908	1,972	474	383	563	697	4	3											
Del.	22	18	118	6	5	1	1	3	N	N											
Md.	286	257	225	319	160	52	-	-	-	-											
D.C.	13	27	23	24	9	5	2	33	-	1											
Va.	281	289	132	374	62	42	N	N	N	N											
W. Va.	25	38	-	2	23	7	36	32	4	2											
N.C.	400	388	274	119	36	73	N	N	U	U											
S.C.	133	161	168	26	19	27	59	112	N	N											
Ga.	556	458	916	491	58	86	162	176	N	N											
Fla.	1,031	1,154	1,052	611	102	90	303	341	N	N											
E.S. CENTRAL	645	676	396	477	97	58	71	77	-	-											
Ky.	121	105	50	58	21	8	6	8	N	N											
Tenn.	210	184	123	24	76	50	65	69	N	N											
Ala.	192	188	146	194	-	-	-	-	N	N											
Miss.	122	199	77	201	-	-	-	-	-	-											
W.S. CENTRAL	941	1,174	2,424	886	242	148	29	131	23	13											
Ark.	130	168	26	82	2	4	7	5	-	-											
La.	69	251	77	178	1	1	22	126	9	4											
Okla.	102	101	325	124	48	19	N	N	14	-											
Tex.	640	654	1,996	502	191	124	N	N	-	9											
MOUNTAIN	736	764	351	221	289	308	16	28	1	2											
Mont.	42	33	2	1	1	-	-	-	-	-											
Idaho	77	51	9	2	11	5	N	N	N	N											
Wyo.	45	24	1	3	1	6	3	10	-	-											
Colo.	203	200	55	45	102	65	-	-	-	-											
N. Mex.	61	106	72	48	66	59	13	18	-	-											
Ariz.	186	214	173	95	99	158	-	-	N	N											
Utah	72	52	23	13	8	15	-	-	1	2											
Nev.	50	84	16	14	1	-	-	-	-	-											
PACIFIC	1,748	1,767	865	763	276	261	1	-	-	-											
Wash.	186	147	69	41	23	8	-	-	N	N											
Oreg.	161	143	38	36	N	N	N	N	N	N											
Calif.	1,321	1,352	752	664	225	227	N	N	N	N											
Alaska	38	26	4	2	-	-	-	-	N	N											
Hawaii	42	99	2	20	28	26	1	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	47	144	1	11	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


