
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending February 3, 2001 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2001
Malaria cummulative for 2000
Rabies, Animal cummulative for 2001
Rabies, Animal cummulative for 2000
Salmonellosis, NETSS cummulative for 2001
Salmonellosis, NETSS cummulative for 2000
Salmonellosis, PHLIS cummulative for 2001
Salmonellosis, PHLIS cummulative for 2000

tab delimited data:
test
UNITED STATES	54	71	270	337	1,261	2,155	766	1,988													
NEW ENGLAND	5	2	41	36	119	123	46	142													
Maine	-	-	4	7	7	9	5	9													
N.H.	-	-	1	-	11	10	4	8													
Vt.	-	-	9	2	6	2	7	3													
Mass.	-	2	12	16	67	84	1	84													
R.I.	-	-	4	1	6	1	11	9													
Conn.	5	-	11	10	22	17	18	29													
MID. ATLANTIC	3	10	59	54	90	303	125	327													
Upstate N.Y.	1	4	47	42	42	30	15	73													
N.Y. City	2	4	U	U	35	87	74	96													
N.J.	-	1	12	6	-	130	2	65													
Pa.	-	1	-	6	13	56	34	93													
E.N. CENTRAL	14	9	3	3	191	317	115	162													
Ohio	2	2	-	-	93	81	40	63													
Ind.	1	-	1	-	12	15	11	33													
Ill.	-	5	-	-	47	115	-	-													
Mich.	11	2	2	-	39	45	41	46													
Wis.	-	-	-	3	-	61	23	20													
W.N. CENTRAL	1	4	31	35	90	109	65	103													
Minn.	-	-	9	11	3	21	25	37													
Iowa	-	-	10	3	14	9	1	9													
Mo.	1	1	2	2	39	41	27	26													
N. Dak.	-	-	-	2	-	1	1	2													
S. Dak.	-	-	6	10	11	4	4	8													
Nebr.	-	-	-	-	8	11	-	7													
Kans.	-	3	4	7	15	22	7	14													
S. ATLANTIC	14	19	99	109	345	286	154	333													
Del.	-	-	-	5	8	8	5	9													
Md.	7	14	21	27	53	72	32	52													
D.C.	1	-	-	-	11	-	U	U													
Va.	4	3	28	31	31	28	18	38													
W. Va.	-	-	8	9	1	13	9	7													
N.C.	1	2	25	30	107	73	-	56													
S.C.	-	-	7	3	37	41	19	33													
Ga.	-	-	-	-	9	-	71	108													
Fla.	1	-	10	4	88	51	-	30													
E.S. CENTRAL	1	2	1	12	119	119	39	84													
Ky.	-	1	-	2	22	18	17	12													
Tenn.	1	-	1	10	15	19	19	43													
Ala.	-	1	-	-	68	43	-	23													
Miss.	-	-	-	-	14	39	3	6													
W.S. CENTRAL	1	1	7	60	29	192	97	232													
Ark.	-	-	-	-	20	13	13	15													
La.	1	1	-	-	2	32	28	46													
Okla.	-	-	7	6	7	11	3	18													
Tex.	-	-	-	54	-	136	53	153													
MOUNTAIN	2	5	9	14	81	197	77	155													
Mont.	1	-	3	5	6	5	-	-													
Idaho	1	-	-	-	4	13	4	11													
Wyo.	-	-	-	7	2	2	1	-													
Colo.	-	1	-	-	1	40	19	29													
N. Mex.	-	-	-	-	20	13	10	19													
Ariz.	-	2	6	2	31	67	30	64													
Utah	-	2	-	-	9	39	13	32													
Nev.	-	-	-	-	8	18	-	-													
PACIFIC	13	19	20	14	197	509	48	450													
Wash.	-	-	-	-	5	7	-	54													
Oreg.	3	2	-	-	22	34	18	41													
Calif.	10	16	10	14	166	433	22	327													
Alaska	-	-	10	-	4	7	-	8													
Hawaii	-	1	-	-	-	28	8	20													
Guam	-	-	-	-	-	-	U	U													
P.R.	-	2	7	2	5	17	U	U													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


