
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 5, 2005 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	821	983	451	503	110	142	991	1,213	25	82											
NEW ENGLAND	27	53	2	1	10	15	36	19	-	-											
Maine	1	1	N	N	-	-	1	-	-	-											
N.H.	2	5	-	-	-	N	3	1	-	-											
Vt.	4	-	2	-	-	-	-	-	-	-											
Mass.	20	45	-	-	10	14	31	8	-	-											
R.I.	-	2	-	1	-	1	-	1	-	-											
Conn.	-	-	-	-	U	U	1	9	-	-											
MID. ATLANTIC	150	162	51	31	26	14	113	159	4	14											
Upstate N.Y.	57	49	19	11	16	7	10	7	2	1											
N.Y. City	8	34	U	U	U	U	77	100	1	3											
N.J.	31	34	N	N	2	-	17	27	-	9											
Pa.	54	45	32	20	8	7	9	25	1	1											
E.N. CENTRAL	100	212	94	122	29	37	84	128	1	20											
Ohio	33	54	69	96	19	19	40	39	-	-											
Ind.	16	11	25	26	6	6	9	8	-	5											
Ill.	2	65	-	-	1	-	27	56	-	2											
Mich.	45	63	-	N	-	N	5	21	-	13											
Wis.	4	19	N	N	3	12	3	4	1	-											
W.N. CENTRAL	45	81	10	2	11	13	26	34	-	-											
Minn.	15	36	-	-	4	7	1	5	-	-											
Iowa	N	N	N	N	-	N	-	1	-	-											
Mo.	15	15	9	2	-	3	22	20	-	-											
N. Dak.	1	3	-	-	1	-	-	-	-	-											
S. Dak.	4	5	1	-	-	-	-	-	-	-											
Nebr.	7	6	-	-	2	2	1	5	-	-											
Kans.	3	16	N	N	4	1	2	3	-	-											
S. ATLANTIC	195	175	212	243	13	10	282	305	5	11											
Del.	-	-	-	1	-	N	2	1	-	-											
Md.	63	43	-	-	12	7	60	47	1	3											
D.C.	2	2	2	3	1	3	17	13	-	-											
Va.	7	9	N	N	-	N	14	3	2	1											
W. Va.	4	6	1	9	-	-	2	2	-	-											
N.C.	19	21	N	N	U	U	48	28	1	-											
S.C.	-	2	-	17	-	N	12	23	-	2											
Ga.	41	44	79	77	-	N	6	51	-	1											
Fla.	59	48	130	136	-	N	121	137	1	4											
E.S. CENTRAL	25	49	31	37	-	-	67	64	3	3											
Ky.	8	20	7	8	N	N	3	12	-	-											
Tenn.	17	29	24	29	-	N	23	28	1	1											
Ala.	-	-	-	-	-	N	37	15	2	1											
Miss.	-	-	-	-	-	-	4	9	-	1											
W.S. CENTRAL	29	84	21	23	12	38	180	182	10	20											
Ark.	6	2	6	3	-	1	11	11	-	2											
La.	3	1	15	20	4	9	12	34	-	-											
Okla.	20	13	N	N	8	14	8	5	1	2											
Tex.	-	68	N	N	-	14	149	132	9	16											
MOUNTAIN	170	62	16	10	9	15	46	66	2	1											
Mont.	-	-	-	-	-	-	3	-	-	-											
Idaho	1	1	N	N	-	N	6	5	-	-											
Wyo.	1	3	2	4	-	-	-	1	-	-											
Colo.	69	20	N	N	8	14	1	12	-	-											
N. Mex.	13	27	-	4	-	-	6	21	-	1											
Ariz.	73	3	N	N	-	N	22	23	2	-											
Utah	13	8	13	1	1	1	-	2	-	-											
Nev.	-	-	1	1	-	-	8	2	-	-											
PACIFIC	80	105	14	34	-	-	157	256	-	13											
Wash.	N	N	N	N	N	N	27	12	-	-											
Oreg.	N	N	N	N	-	N	1	9	-	-											
Calif.	60	80	N	N	-	N	127	232	-	13											
Alaska	-	-	-	-	-	N	-	-	-	-											
Hawaii	20	25	14	34	-	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	N	N	N	N	-	N	23	20	3	-											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


