
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending August 16, 1997 (WEEK 33)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 1997
Meningococcal Disease cummulative for 1996
Mumps current week
Mumps cummulative for 1997
Mumps cummulative for 1996
Pertussis current week
Pertussis cummulative for 1997
Pertussis cummulative for 1996
Rubella current week
Rubella cummulative for 1997
Rubella cummulative for 1996

tab delimited data:
test
UNITED STATES	2,230	2,194	4	370	457	51	3,031	2,818	3	125	206										
NEW ENGLAND	138	94	-	8	1	6	590	620	-	-	24										
Maine	15	10	-	-	-	-	6	22	-	-	-										
N.H.	13	3	-	-	-	-	67	47	-	-	-										
Vt.	3	3	-	-	-	1	182	26	-	-	2										
Mass.	69	36	-	2	1	3	309	509	-	-	20										
R.I.	12	10	-	5	-	-	12	-	-	-	-										
Conn.	26	32	-	1	-	2	14	16	-	-	2										
MID. ATLANTIC	207	237	-	35	56	2	203	192	2	27	10										
Upstate N.Y.	52	60	-	7	17	-	59	96	-	1	4										
N.Y. City	38	35	-	3	13	2	54	22	2	26	4										
N.J.	44	52	-	-	2	-	5	12	-	-	2										
Pa.	73	90	-	25	24	-	85	62	-	-	-										
E.N. CENTRAL	314	315	-	40	95	6	239	356	-	4	3										
Ohio	123	116	-	18	33	5	100	123	-	-	-										
Ind.	35	46	-	6	5	-	35	21	-	-	-										
Ill.	94	87	-	7	18	-	37	79	-	1	1										
Mich.	37	31	-	9	37	1	32	27	-	-	2										
Wis.	25	35	U	-	2	U	35	106	U	3	-										
W.N. CENTRAL	165	176	-	13	11	5	199	138	-	-	-										
Minn.	24	23	-	5	3	2	134	98	-	-	-										
Iowa	38	38	-	6	1	3	22	3	-	-	-										
Mo.	76	65	-	-	4	-	29	20	-	-	-										
N. Dak.	1	3	U	-	2	U	2	1	U	-	-										
S. Dak.	4	9	-	-	-	-	3	3	-	-	-										
Nebr.	6	16	U	2	-	U	4	5	U	-	-										
Kans.	16	22	-	-	1	-	5	8	-	-	-										
S. ATLANTIC	401	341	1	52	75	6	307	306	1	63	91										
Del.	5	2	-	-	-	-	-	17	-	-	-										
Md.	36	39	-	4	25	-	92	121	-	-	-										
D.C.	1	5	-	-	-	-	3	-	-	-	1										
Va.	37	36	-	9	10	-	34	31	-	1	2										
W. Va.	14	13	-	-	-	-	5	2	-	-	-										
N.C.	75	59	1	8	17	5	85	52	1	51	77										
S.C.	44	41	U	10	5	U	14	18	U	9	1										
Ga.	75	102	U	5	2	U	9	16	U	-	-										
Fla.	114	44	-	16	16	1	65	49	-	2	10										
E.S. CENTRAL	176	158	-	18	19	-	67	164	-	-	2										
Ky.	38	20	-	3	-	-	15	131	-	-	-										
Tenn.	70	47	-	3	1	-	27	15	-	-	-										
Ala.	52	52	U	6	3	U	16	11	U	-	2										
Miss.	16	39	U	6	15	U	9	7	U	-	N										
W.S. CENTRAL	219	240	-	34	32	6	82	81	-	3	7										
Ark.	26	27	-	1	1	2	16	3	-	-	-										
La.	45	46	-	11	11	-	13	6	-	-	1										
Okla.	24	23	-	-	-	-	14	8	-	-	-										
Tex.	124	144	-	22	20	4	39	64	-	3	6										
MOUNTAIN	133	132	1	50	19	11	838	271	-	5	6										
Mont.	8	6	-	-	-	-	16	13	-	-	-										
Idaho	8	20	-	2	-	7	534	83	-	1	2										
Wyo.	1	3	-	1	-	-	6	2	-	-	-										
Colo.	36	25	-	3	3	-	180	82	-	-	2										
N. Mex.	22	21	N	N	N	3	56	37	-	-	-										
Ariz.	37	30	-	31	1	1	24	16	-	4	1										
Utah	11	12	1	7	3	-	10	10	-	-	-										
Nev.	10	15	-	6	12	-	12	28	-	-	1										
PACIFIC	477	501	2	120	149	9	506	690	-	23	63										
Wash.	59	67	-	14	18	-	224	229	-	5	13										
Oreg.	95	88	N	N	N	-	17	39	-	-	1										
Calif.	318	338	1	87	108	-	241	401	-	10	46										
Alaska	1	5	1	3	2	9	13	1	-	-	-										
Hawaii	4	3	-	16	21	-	11	20	-	8	3										
Guam	-	4	U	1	4	U	-	-	U	-	-										
P.R.	9	10	-	5	1	-	-	2	-	-	-										
V.I.	-	-	U	-	1	U	-	-	U	-	-										
Amer. Samoa	-	-	U	-	-	U	-	-	U	-	-										
C.N.M.I.	-	-	U	4	-	U	-	-	U	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1996 and 1997 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


