
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2007 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2006
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2006
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2007
Syphillis, primary & secondary cummulative for 2006

tab delimited data:
test
UNITED STATES	23	47	256	1,424	1,557	2	8	35	250	239	119	198	310	5,080	4,845						
NEW ENGLAND	-	1	12	31	88	-	0	3	5	2	7	4	13	120	110						
Conn.	-	0	5	-	68	-	0	0	-	-	-	0	10	15	22						
Maine	-	0	2	7	5	-	0	2	1	1	-	0	1	2	7						
Mass.	-	0	0	-	-	-	0	0	-	-	6	2	8	77	66						
N.H.	-	0	0	-	-	-	0	0	-	-	1	0	2	13	6						
R.I.	-	0	4	13	6	-	0	1	2	-	-	0	5	12	7						
Vt.	-	0	2	11	9	-	0	1	2	1	-	0	1	1	2						
MID. ATLANTIC	2	3	9	86	95	-	0	5	21	12	30	26	45	855	607						
N.J.	-	0	0	-	-	-	0	0	-	-	3	3	8	93	89						
N.Y. (Upstate)	-	1	5	28	31	-	0	4	7	6	1	3	14	69	81						
N.Y. City	-	0	0	-	-	-	0	0	-	-	24	16	35	554	293						
Pa.	2	2	6	58	64	-	0	2	14	6	2	5	12	139	144						
E.N. CENTRAL	4	9	40	365	344	-	1	7	46	53	3	15	27	378	490						
Ill.	-	0	3	10	18	-	0	1	2	5	-	7	13	166	255						
Ind.	4	2	31	97	87	-	0	5	10	14	1	1	5	24	43						
Mich.	-	0	1	2	15	-	0	1	1	2	-	2	8	58	60						
Ohio	-	5	38	256	224	-	1	5	33	32	1	4	9	98	102						
Wis.	N	0	0	N	N	-	0	0	-	-	1	1	4	32	30						
W.N. CENTRAL	2	1	124	95	28	-	0	15	6	1	1	6	16	167	147						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	3	5	8						
Kans.	-	0	10	48	-	-	0	2	2	-	-	0	3	9	12						
Minn.	-	0	123	-	-	-	0	15	-	-	-	1	5	40	29						
Mo.	2	1	5	39	28	-	0	1	-	1	1	3	14	108	95						
Nebr.	-	0	1	2	-	-	0	0	-	-	-	0	2	1	2						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	1						
S. Dak.	-	0	3	6	-	-	0	1	4	-	-	0	3	4	-						
S. ATLANTIC	15	21	59	640	742	2	4	15	131	114	48	45	180	1,174	1,040						
Del.	-	0	1	5	-	-	0	1	1	-	-	0	3	6	14						
D.C.	-	0	2	5	18	-	0	0	-	2	-	2	12	93	57						
Fla.	10	12	29	371	385	-	2	8	72	74	19	15	25	415	381						
Ga.	5	7	17	216	253	2	1	10	50	38	-	7	153	146	140						
Md.	-	0	1	1	-	-	0	0	-	-	6	5	15	156	171						
N.C.	-	0	0	-	-	-	0	0	-	-	11	5	23	188	160						
S.C.	-	0	0	-	-	-	0	0	-	-	1	1	10	52	39						
Va.	N	0	0	N	N	-	0	0	-	-	11	4	17	114	76						
W. Va.	-	1	17	42	86	-	0	1	8	-	-	0	2	4	2						
E.S. CENTRAL	-	3	9	92	130	-	0	3	18	22	5	16	29	407	331						
Ala.	N	0	0	N	N	-	0	0	-	-	-	6	17	144	135						
Ky.	-	0	2	17	26	-	0	1	2	5	1	1	7	37	36						
Miss.	-	0	2	-	16	-	0	0	-	-	-	2	9	56	32						
Tenn.	-	2	8	75	88	-	0	3	16	17	4	6	14	170	128						
W.S. CENTRAL	-	1	9	76	62	-	0	2	11	6	15	32	55	869	756						
Ark.	-	0	1	1	9	-	0	0	-	2	5	1	7	59	38						
La.	-	1	3	31	53	-	0	1	3	4	8	7	29	196	124						
Okla.	-	0	8	44	-	-	0	2	8	-	2	1	5	40	38						
Tex.	-	0	0	-	-	-	0	0	-	-	-	21	35	574	556						
MOUNTAIN	-	1	5	39	68	-	0	3	12	29	-	7	27	138	261						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	2	16	48	99						
Colo.	-	0	0	-	-	-	0	0	-	-	-	1	5	15	43						
Idaho	N	0	0	N	N	-	0	0	-	-	-	0	1	1	2						
Mont.	-	0	0	-	-	-	0	0	-	-	-	0	1	1	1						
