
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending March 20, 1999 (WEEK 11)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	241	264	3,030	4,048	1,126	1,727	-	8	-	3	11	9									
NEW ENGLAND	18	19	31	83	18	30	-	-	-	1	1	1									
Maine	2	2	2	9	-	-	-	-	-	-	-	-									
N.H.	2	1	5	5	2	3	-	-	-	1	1	-									
Vt.	3	1	1	4	1	-	-	-	-	-	-	-									
Mass.	11	15	9	22	13	15	-	-	-	-	-	1									
R.I.	-	-	-	5	2	1	-	-	-	-	-	-									
Conn.	-	-	14	38	-	11	-	-	-	-	-	-									
MID. ATLANTIC	35	38	184	323	141	268	-	-	-	-	-	1									
Upstate N.Y.	21	13	57	73	33	65	-	-	-	-	-	-									
N.Y. City	2	12	25	128	27	69	-	-	-	-	-	-									
N.J.	12	12	33	56	24	47	-	-	-	-	-	1									
Pa.	-	1	69	66	57	87	-	-	-	-	-	-									
E.N. CENTRAL	23	40	760	697	101	405	-	-	-	-	-	1									
Ohio	15	18	172	85	21	19	-	-	-	-	-	-									
Ind.	1	5	29	84	4	196	-	-	-	-	-	-									
Ill.	6	16	85	187	-	54	-	-	-	-	-	-									
Mich.	1	-	472	292	76	114	-	-	-	-	-	1									
Wis.	-	1	2	49	-	22	-	-	-	-	-	-									
W.N. CENTRAL	17	6	96	366	36	91	-	-	-	-	-	-									
Minn.	4	-	6	9	5	5	-	-	-	-	-	-									
Iowa	5	1	28	143	12	11	-	-	-	-	-	-									
Mo.	4	1	39	171	11	64	-	-	-	-	-	-									
N. Dak.	-	-	-	1	-	1	-	-	-	-	-	-									
S. Dak.	1	-	2	1	-	1	-	-	-	-	-	-									
Nebr.	1	-	13	10	6	3	-	-	-	-	-	-									
Kans.	2	4	8	31	2	6	-	-	-	-	-	-									
S. ATLANTIC	61	54	358	316	207	171	-	-	-	-	-	5									
Del.	-	-	-	-	-	-	-	-	-	-	-	-									
Md.	20	14	84	86	38	35	-	-	-	-	-	1									
D.C.	2	-	15	12	6	3	-	-	-	-	-	-									
Va.	6	6	26	50	14	17	-	-	-	-	-	2									
W. Va.	1	2	2	-	-	1	-	-	-	-	-	-									
N.C.	9	8	36	20	44	48	-	-	-	-	-	-									
S.C.	2	1	4	8	24	-	-	-	-	-	-	-									
Ga.	12	17	74	94	27	45	-	-	-	-	-	1									
Fla.	9	6	117	46	54	22	-	-	-	-	-	1									
E.S. CENTRAL	23	19	92	110	73	109	-	-	-	-	-	-									
Ky.	2	5	6	3	7	6	U	-	U	-	-	-									
Tenn.	14	9	60	60	46	82	-	-	-	-	-	-									
Ala.	6	5	24	28	20	21	-	-	-	-	-	-									
Miss.	1	-	2	19	-	-	-	-	-	-	-	-									
W.S. CENTRAL	11	14	226	271	76	116	-	-	-	2	2	-									
Ark.	-	-	9	9	9	22	-	-	-	-	-	-									
La.	3	6	9	4	8	6	-	-	-	-	-	-									
Okla.	6	6	90	91	22	7	-	-	-	-	-	-									
Tex.	2	2	118	167	37	81	-	-	-	2	2	-									
MOUNTAIN	33	46	315	709	108	169	-	1	-	-	1	-									
Mont.	1	-	4	7	1	2	-	-	-	-	-	-									
Idaho	1	-	9	43	4	5	-	-	-	-	-	-									
Wyo.	1	-	1	10	-	2	-	-	-	-	-	-									
Colo.	1	8	68	56	26	21	-	1	-	-	1	-									
N. Mex.	9	-	7	41	40	66	-	-	-	-	-	-									
Ariz.	16	25	175	457	16	39	-	-	-	-	-	-									
Utah	4	3	14	41	8	16	-	-	-	-	-	-									
Nev.	-	10	37	54	13	18	-	-	-	-	-	-									
PACIFIC	20	28	968	1,173	366	368	-	7	-	-	7	1									
Wash.	-	1	62	122	5	28	-	-	-	-	-	-									
Oreg.	8	14	56	78	13	29	-	6	-	-	6	-									
Calif.	10	10	847	952	340	304	-	1	-	-	1	1									
Alaska	2	1	2	1	5	2	-	-	-	-	-	-									
Hawaii	-	2	1	20	3	5	-	-	-	-	-	-									
Guam	-	-	-	-	-	-	U	-	U	-	-	-									
P.R.	-	1	15	10	21	118	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	-	-	20	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


