
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending May 28, 2005 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2005
AIDS § cummulative for 2004
Chlamydia† cummulative for 2005
Chlamydia† cummulative for 2004
Coccidioidomycosis cummulative for 2005
Coccidioidomycosis cummulative for 2004
Cryptosporidiosis cummulative for 2005
Cryptosporidiosis cummulative for 2004

tab delimited data:
test
UNITED STATES	13,232	16,816	344,968	368,769	1,625	1,832	724	968													
NEW ENGLAND	532	566	11,239	12,166	-	-	38	57													
Maine	4	5	864	783	N	N	3	9													
N.H.	7	23	740	699	-	-	6	14													
Vt.	3	13	409	467	-	-	9	6													
Mass.	275	151	5,862	5,381	-	-	14	20													
R.I.	47	66	1,361	1,401	-	-	1	1													
Conn.	196	308	2,003	3,435	N	N	5	7													
MID. ATLANTIC	2,558	3,919	41,537	45,770	-	-	105	157													
Upstate N.Y.	253	462	8,693	8,916	N	N	28	30													
N.Y. City	1,476	2,145	13,269	14,097	-	-	24	50													
N.J.	413	670	4,532	7,383	N	N	7	12													
Pa.	416	642	15,043	15,374	N	N	46	65													
E.N. CENTRAL	1,204	1,446	53,962	66,354	3	5	136	246													
Ohio	185	233	14,443	16,961	N	N	50	53													
Ind.	165	164	8,104	7,376	N	N	11	30													
Ill.	661	703	14,836	19,033	-	-	2	41													
Mich.	138	263	9,596	15,642	3	5	22	48													
Wis.	55	83	6,983	7,342	N	N	51	74													
W.N. CENTRAL	318	323	20,613	22,601	3	4	109	99													
Minn.	88	79	3,117	4,666	3	N	33	39													
Iowa	41	20	2,748	2,757	N	N	18	14													
Mo.	132	127	9,123	8,371	-	3	42	18													
N. Dak.	5	14	412	785	N	N	-	-													
S. Dak.	9	5	1,142	1,019	-	-	7	11													
Nebr.	5	21	1,498	2,114	-	1	1	5													
Kans.	38	57	2,573	2,889	N	N	8	12													
S. ATLANTIC	4,263	5,192	66,718	68,920	-	-	161	177													
Del.	70	76	1,339	1,198	N	N	-	-													
Md.	513	597	7,161	7,588	-	-	9	9													
D.C.	276	308	1,522	1,484	-	-	2	3													
Va.	223	282	7,944	8,960	-	-	12	23													
W. Va.	22	29	949	1,140	N	N	4	2													
N.C.	350	296	13,775	11,166	N	N	21	34													
S.C.	215	328	8,219	7,018	-	-	7	8													
Ga.	741	799	8,872	13,249	-	-	47	50													
Fla.	1,853	2,477	16,937	17,117	N	N	59	48													
E.S. CENTRAL	770	774	24,698	22,814	-	3	19	40													
Ky.	91	68	4,438	2,235	N	N	7	10													
Tenn.	313	324	8,895	9,220	N	N	3	12													
Ala.	213	203	3,346	5,599	-	-	8	10													
Miss.	153	179	8,019	5,760	-	3	1	8													
W.S. CENTRAL	1,513	2,023	43,292	46,910	-	2	18	47													
Ark.	71	88	3,413	3,314	-	1	1	7													
La.	278	340	7,224	10,653	-	1	3	-													
Okla.	112	87	4,413	4,329	N	N	7	9													
Tex.	1,052	1,508	28,242	28,614	N	N	7	31													
MOUNTAIN	537	559	21,137	20,724	1,080	1,123	45	41													
Mont.	3	-	820	903	N	N	5	7													
Idaho	5	3	756	1,215	N	N	2	4													
Wyo.	-	6	440	452	1	-	2	2													
Colo.	107	97	5,542	5,345	N	N	18	19													
N. Mex.	56	90	1,478	3,497	2	9	2	2													
Ariz.	227	200	8,018	5,719	1,045	1,085	4	5													
Utah	25	32	1,717	1,354	2	6	7	1													
Nev.	114	131	2,366	2,239	30	23	5	1													
PACIFIC	1,537	2,014	61,772	62,510	539	695	93	104													
Wash.	144	165	7,762	6,983	N	N	5	-													
Oreg.	90	110	3,399	3,220	-	-	17	11													
Calif.	1,250	1,685	47,351	48,356	539	695	71	92													
Alaska	9	13	1,531	1,605	-	-	-	-													
Hawaii	44	41	1,729	2,346	-	-	-	1													
Guam	1	-	-	452	-	-	-	-													
P.R.	335	208	1,726	1,273	N	N	N	N													
V.I.	7	5	32	153	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	2	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


