
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2011 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2011
Legionellosis cummulative for 2010
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2011
Lyme disease cummulative for 2010
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2011
Malaria cummulative for 2010

tab delimited data:
test
UNITED STATES	23	55	116	163	251	36	403	1,674	438	1,431	12	26	80	111	144						
NEW ENGLAND	-	4	15	1	12	-	126	504	15	451	-	1	5	2	8						
Conn.	-	0	6	-	3	-	47	213	-	193	-	0	1	-	-						
Maine	-	0	4	-	-	-	12	65	5	14	-	0	1	-	-						
Mass.	-	2	10	-	6	-	41	223	-	151	-	1	4	-	8						
N.H.	-	0	5	-	1	-	24	68	7	82	-	0	2	-	-						
R.I.	-	0	4	-	1	-	1	40	1	1	-	0	1	-	-						
Vt.	-	0	2	1	1	-	4	27	2	10	-	0	1	2	-						
MID. ATLANTIC	5	14	47	43	58	22	179	738	281	663	4	7	17	33	45						
N.J.	-	1	11	-	8	-	49	220	-	192	-	0	1	-	-						
N.Y. (Upstate)	2	5	19	14	19	14	38	200	40	62	1	1	6	4	10						
N.Y. City	-	2	17	11	12	-	2	7	-	17	2	4	14	25	26						
Pa.	3	6	18	18	19	8	91	387	241	392	1	1	3	4	9						
E.N. CENTRAL	2	12	44	26	60	-	26	325	3	58	1	3	9	9	12						
Ill.	-	2	15	-	8	-	1	18	-	3	-	1	7	-	7						
Ind.	-	2	7	3	7	-	1	7	-	5	-	0	2	-	1						
Mich.	-	3	20	5	9	-	1	14	-	-	-	0	4	1	2						
Ohio	2	4	15	18	22	-	0	9	2	3	1	1	5	7	2						
Wis.	-	1	11	-	14	-	21	297	1	47	-	0	1	1	-						
W.N. CENTRAL	1	2	9	4	5	-	1	11	-	3	-	1	4	1	9						
Iowa	-	0	2	-	-	-	0	10	-	2	-	0	2	-	2						
Kans.	-	0	2	-	1	-	0	1	-	1	-	0	2	-	2						
Minn.	-	0	8	-	-	-	0	0	-	-	-	0	3	-	-						
Mo.	1	1	4	3	2	-	0	1	-	-	-	0	3	-	2						
Nebr.	-	0	2	-	2	-	0	2	-	-	-	0	1	1	3						
N. Dak.	-	0	1	-	-	-	0	5	-	-	-	0	1	-	-						
S. Dak.	-	0	2	1	-	-	0	1	-	-	-	0	2	-	-						
S. ATLANTIC	8	9	28	27	44	9	57	176	122	233	4	7	44	44	42						
Del.	-	0	3	-	3	-	10	33	33	63	-	0	1	-	-						
D.C.	-	0	4	-	-	-	0	4	2	1	-	0	2	1	-						
Fla.	5	3	9	16	16	1	2	10	5	6	-	2	7	10	18						
Ga.	-	1	4	-	5	-	0	2	-	1	-	0	6	8	2						
Md.	-	2	6	3	12	4	23	105	40	110	1	1	24	9	10						
N.C.	2	0	7	4	2	-	1	9	5	5	-	0	13	4	3						
S.C.	-	0	2	-	-	-	0	3	-	1	-	0	1	-	-						
Va.	1	1	10	4	5	4	18	83	37	44	3	1	5	12	9						
W. Va.	-	0	3	-	1	-	0	29	-	2	-	0	1	-	-						
E.S. CENTRAL	1	2	10	8	15	-	0	4	-	5	-	0	3	1	3						
Ala.	-	0	2	1	2	-	0	1	-	-	-	0	1	-	1						
Ky.	-	0	4	3	5	-	0	1	-	1	-	0	1	-	2						
Miss.	-	0	3	1	2	-	0	0	-	-	-	0	2	-	-						
Tenn.	1	1	6	3	6	-	0	4	-	4	-	0	2	1	-						
W.S. CENTRAL	-	3	8	5	5	-	2	9	-	1	2	1	10	3	8						
Ark.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	1						
La.	-	0	2	-	1	-	0	1	-	-	-	0	1	-	1						
Okla.	-	0	3	1	-	-	0	0	-	-	1	0	1	1	1						
Tex.	-	2	7	4	4	-	2	9	-	1	1	1	10	2	5						
MOUNTAIN	1	3	10	6	17	-	0	3	-	2	1	1	4	7	5						
Ariz.	1	1	7	4	4	-	0	1	-	-	1	0	3	3	1						
Colo.	-	0	2	1	7	-	0	1	-	-	-	0	3	2	1						
Idaho	-	0	1	-	-	-	0	2	-	1	-	0	1	-	-						
Mont.	-	0	1	-	1	-	0	1	-	-	-	0	1	-	-						
Nev.	-	0	2	1	3	-	0	1	-	-	-	0	2	2	1						
N. Mex.	-	0	2	-	1	-	0	2	-	-	-	0	1	-	-						
Utah	-	0	2	-	1	-	0	1	-	1	-	0	1	-	2						
Wyo.	-	0	2	-	-	-	0	0	-	-	-	0	0	-	-						
PACIFIC	5	5	15	43	35	5	4	10	17	15	-	4	10	11	12						
Alaska	-	0	2	-	-	-	0	1	-	1	-	0	1	-	-						
Calif.	3	4	14	38	35	5	3	8	15	10	-	2	9	6	10						
Hawaii	-	0	1	-	-	N	0	0	N	N	-	0	1	-	-						
Oreg.	-	0	3	1	-	-	1	4	2	4	-	0	3	3	-						
Wash.	2	0	5	4	-	-	0	3	-	-	-	0	5	2	2						
Amer. Samoa	-	0	0	-	-	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	1	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	N	0	0	N	N	-	0	2	-	3						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2010 and 2011 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


