
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending June 25, 2005 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal Disease, Invasive, Group A cummulative for 2005
Streptococcal Disease, Invasive, Group A cummulative for 2004
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2005
Streptococcus pneumoniae, Invasive, Drug Resistant, all ages cummulative for 2004
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2005
Streptococcus pneumoniae, Invasive, Age < 5 Years cummulative for 2004
Syphilis (Primary and Secondary) cummulative for 2005
Syphilis (Primary and Secondary) cummulative for 2004
Syphilis (Congenital) cummulative for 2005
Syphilis (Congenital) cummulative for 2004

tab delimited data:
test
UNITED STATES	2,389	2,673	1,314	1,310	463	440	3,538	3,613	113	201											
NEW ENGLAND	89	193	14	79	48	67	110	88	-	-											
Maine	5	5	N	N	-	2	1	2	-	-											
N.H.	7	13	-	-	3	N	6	3	-	-											
Vt.	8	7	8	6	3	1	-	-	-	-											
Mass.	62	90	-	21	42	39	80	52	-	-											
R.I.	7	17	6	7	-	5	2	9	-	-											
Conn.	-	61	U	45	U	20	21	22	-	-											
MID. ATLANTIC	556	469	132	99	92	65	466	462	12	22											
Upstate N.Y.	179	145	50	44	43	43	35	39	6	1											
N.Y. City	95	76	U	U	17	U	300	275	5	9											
N.J.	116	102	N	N	14	5	63	83	1	11											
Pa.	166	146	82	55	18	17	68	65	-	1											
E.N. CENTRAL	462	628	355	309	122	111	325	432	19	27											
Ohio	122	152	230	223	53	54	99	117	2	1											
Ind.	49	69	118	86	31	22	33	27	1	1											
Ill.	100	175	7	-	34	1	148	170	5	3											
Mich.	183	182	-	N	-	N	35	98	9	22											
Wis.	8	50	N	N	4	34	10	20	2	-											
W.N. CENTRAL	156	190	32	13	51	42	120	91	1	2											
Minn.	58	89	-	-	29	25	30	16	-	1											
Iowa	N	N	N	N	-	N	1	4	-	-											
Mo.	46	42	27	10	5	8	74	52	1	1											
N. Dak.	2	9	-	-	1	1	-	-	-	-											
S. Dak.	16	8	3	3	-	-	-	-	-	-											
Nebr.	11	14	2	-	6	5	3	5	-	-											
Kans.	23	28	N	N	10	3	12	14	-	-											
S. ATLANTIC	491	529	536	667	55	31	899	888	24	36											
Del.	-	2	1	4	-	N	6	3	-	1											
Md.	125	82	-	-	36	20	171	169	8	5											
D.C.	6	5	14	5	2	4	56	25	-	1											
Va.	44	41	N	N	-	N	50	49	3	1											
W. Va.	11	16	69	66	17	7	2	3	-	-											
N.C.	79	80	N	N	U	U	109	79	7	4											
S.C.	11	43	-	76	-	N	30	61	1	9											
Ga.	83	134	109	165	-	N	121	153	-	2											
Fla.	132	126	343	351	-	N	354	346	5	13											
E.S. CENTRAL	108	139	114	86	5	9	202	193	12	9											
Ky.	23	44	21	20	N	N	17	23	-	1											
Tenn.	85	95	93	64	-	N	89	67	8	1											
Ala.	-	-	-	-	-	N	80	83	3	5											
Miss.	-	-	-	2	5	9	16	20	1	2											
W.S. CENTRAL	97	203	87	42	56	87	594	557	27	41											
Ark.	8	7	12	6	13	7	26	17	-	3											
La.	6	2	75	36	18	20	123	134	3	3											
Okla.	69	39	N	N	16	26	21	13	1	2											
Tex.	14	155	N	N	9	34	424	393	23	33											
MOUNTAIN	377	277	44	14	33	28	183	193	14	27											
Mont.	-	-	-	-	-	-	5	1	-	-											
Idaho	1	5	N	N	-	N	19	13	1	2											
Wyo.	2	6	18	5	-	-	-	1	-	-											
Colo.	140	61	N	N	32	28	19	36	-	-											
N. Mex.	23	64	-	N	-	-	23	49	1	2											
Ariz.	162	116	N	N	-	N	68	80	12	23											
Utah	48	24	25	7	1	-	4	3	-	-											
Nev.	1	1	1	2	-	-	45	10	-	-											
PACIFIC	53	45	-	1	1	-	639	709	4	37											
Wash.	N	N	N	N	N	N	64	42	-	-											
Oreg.	N	N	N	N	-	N	16	16	-	-											
Calif.	-	-	N	N	N	N	553	648	4	37											
Alaska	-	-	-	-	-	N	4	-	-	-											
Hawaii	53	45	-	1	1	-	2	3	-	-											
Guam	-	-	-	-	-	-	-	1	-	-											
P.R.	N	N	N	N	-	N	91	69	6	3											
V.I.	-	-	-	-	-	-	-	4	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


