
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending April 5, 2003 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Malaria cummulative for 2003
Malaria cummulative for 2002
Meningococcal Disease cummulative for 2003
Meningococcal Disease cummulative for 2002
Pertussis cummulative for 2003
Pertussis cummulative for 2002
Rabies, Animal cummulative for 2003
Rabies, Animal cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2003
Rocky Mountain Spotted Fever cummulative for 2002

tab delimited data:
test
UNITED STATES	211	301	508	581	1,068	1,565	891	1,580	70	82											
NEW ENGLAND	5	16	25	42	159	208	101	194	1	-											
Maine	1	1	2	2	-	3	8	12	-	-											
N.H.	1	4	1	4	10	2	3	5	-	-											
Vt.	-	-	-	3	18	35	7	39	-	-											
Mass.	3	7	18	24	130	163	40	64	1	-											
R.I.	-	-	1	2	1	-	8	6	-	-											
Conn.	-	4	3	7	-	5	35	68	-	-											
MID. ATLANTIC	38	80	32	66	96	88	66	213	5	13											
Upstate N.Y.	12	9	8	20	65	63	65	125	-	1											
N.Y. City	19	51	8	15	-	5	1	8	2	3											
N.J.	2	12	7	10	6	-	-	25	3	1											
Pa.	5	8	9	21	25	20	-	55	-	8											
E.N. CENTRAL	14	40	60	80	91	205	6	5	1	2											
Ohio	5	7	26	29	65	116	-	1	1	2											
Ind.	-	2	13	11	9	15	2	1	-	-											
Ill.	2	12	-	13	-	31	1	1	-	-											
Mich.	7	14	18	15	11	20	3	-	-	-											
Wis.	-	5	3	12	6	23	-	2	-	-											
W.N. CENTRAL	6	18	49	53	54	138	134	88	2	5											
Minn.	4	7	10	10	27	46	6	7	-	-											
Iowa	2	2	7	6	9	33	18	9	1	-											
Mo.	-	4	25	24	10	36	4	4	1	5											
N. Dak.	-	-	-	-	-	-	16	1	-	-											
S. Dak.	-	-	-	2	1	5	6	22	-	-											
Nebr.	-	2	3	7	1	2	28	-	-	-											
Kans.	-	3	4	4	6	16	56	45	-	-											
S. ATLANTIC	67	81	108	83	134	98	479	536	55	54											
Del.	-	1	7	3	1	1	-	3	-	-											
Md.	21	22	9	3	17	14	2	101	5	6											
D.C.	2	2	-	-	-	-	-	-	-	-											
Va.	6	5	6	13	30	31	140	144	1	1											
W. Va.	2	-	1	-	1	1	17	39	-	-											
N.C.	5	7	14	11	51	13	189	146	44	31											
S.C.	2	2	4	11	4	21	36	20	3	6											
Ga.	6	36	14	13	14	11	63	59	-	10											
Fla.	23	6	53	29	16	6	32	24	2	-											
E.S. CENTRAL	6	5	19	25	26	51	14	114	4	6											
Ky.	1	1	-	4	4	12	9	6	-	-											
Tenn.	3	1	3	6	12	28	-	108	3	4											
Ala.	2	1	6	9	8	4	5	-	-	2											
Miss.	-	2	10	6	2	7	-	-	1	-											
W.S. CENTRAL	13	2	85	71	55	334	54	325	-	1											
Ark.	1	-	7	9	-	189	17	-	-	-											
La.	1	2	18	6	3	3	-	-	-	-											
Okla.	-	-	5	6	2	12	37	26	-	-											
Tex.	11	-	55	50	50	130	-	299	-	1											
MOUNTAIN	9	9	16	39	222	179	18	41	1	1											
Mont.	-	-	1	1	-	2	3	4	-	-											
Idaho	1	-	1	1	8	22	-	-	-	-											
Wyo.	-	-	-	-	37	5	-	1	-	-											
Colo.	7	4	4	12	90	90	-	-	-	-											
N. Mex.	-	-	2	1	15	24	-	-	-	-											
Ariz.	1	2	6	12	47	20	15	36	1	-											
Utah	-	2	-	1	19	10	-	-	-	-											
Nev.	-	1	2	11	6	6	-	-	-	1											
PACIFIC	53	50	114	122	231	264	19	64	1	-											
Wash.	7	2	10	15	61	79	-	-	-	-											
Oreg.	5	1	23	17	68	14	-	-	-	-											
Calif.	41	44	75	86	102	165	17	42	1	-											
Alaska	-	1	-	1	-	2	2	22	-	-											
Hawaii	-	2	6	3	-	4	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	1	-	-	-	17	-	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


