
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 19, 2001 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2001
Meningococcal Disease cummulative for 2000
Mumps current week
Mumps cummulative for 2001
Mumps cummulative for 2000
Pertussis current week
Pertussis cummulative for 2001
Pertussis cummulative for 2000
Rubella current week
Rubella cummulative for 2001
Rubella cummulative for 2000

tab delimited data:
test
UNITED STATES	1,089	1,049	8	67	163	62	1,647	2,018	1	7	62										
NEW ENGLAND	66	57	-	-	2	-	179	523	-	-	10										
Maine	1	3	U	-	-	U	-	11	U	-	-										
N.H.	7	4	-	-	-	-	16	54	-	-	1										
Vt.	4	2	-	-	-	-	22	98	-	-	-										
Mass.	37	36	-	-	-	-	133	330	-	-	8										
R.I.	2	3	-	-	1	-	1	7	-	-	-										
Conn.	15	9	-	-	1	-	7	23	-	-	1										
MID. ATLANTIC	81	101	-	2	11	1	101	190	-	1	5										
Upstate N.Y.	34	24	-	1	5	1	85	92	-	1	1										
N.Y. City	20	26	-	1	3	-	6	35	-	-	4										
N.J.	22	22	U	-	-	U	2	-	U	-	-										
Pa.	5	29	-	-	3	-	8	63	-	-	-										
E.N. CENTRAL	138	186	1	9	16	6	198	266	1	3	-										
Ohio	49	35	-	1	7	4	123	155	-	-	-										
Ind.	24	21	-	1	-	1	18	22	-	1	-										
Ill.	20	48	-	6	4	-	21	22	1	2	-										
Mich.	24	59	1	1	4	1	18	18	-	-	-										
Wis.	21	23	-	-	1	-	18	49	-	-	-										
W.N. CENTRAL	73	67	1	4	8	1	77	76	-	1	1										
Minn.	10	7	-	1	-	-	17	39	-	-	-										
Iowa	17	15	-	-	4	-	10	8	-	1	-										
Mo.	25	33	-	-	2	-	33	14	-	-	-										
N. Dak.	3	1	U	-	-	U	-	1	U	-	-										
S. Dak.	4	4	-	-	-	-	3	1	-	-	-										
Nebr.	5	4	1	1	1	-	2	3	-	-	1										
Kans.	9	3	-	2	1	1	12	10	-	-	-										
S. ATLANTIC	204	148	6	16	24	5	87	147	-	2	27										
Del.	-	-	U	-	-	U	-	3	U	-	-										
Md.	26	15	-	4	5	-	13	38	-	-	-										
D.C.	-	-	-	-	-	-	1	-	-	-	-										
Va.	21	28	-	2	4	-	10	13	-	-	-										
W. Va.	4	5	-	-	-	-	1	-	-	-	-										
N.C.	44	25	-	-	3	-	30	39	-	-	20										
S.C.	21	11	-	1	7	4	19	16	-	-	5										
Ga.	28	26	6	7	2	-	3	19	-	1	-										
Fla.	60	38	-	2	3	1	10	19	-	1	2										
E.S. CENTRAL	76	74	-	1	4	-	38	40	-	-	4										
Ky.	13	14	-	1	-	-	11	25	-	-	1										
Tenn.	28	33	-	-	2	-	16	6	-	-	-										
Ala.	28	21	-	-	2	-	8	8	-	-	3										
Miss.	7	6	-	-	-	-	3	1	-	-	-										
W.S. CENTRAL	159	125	-	7	19	1	53	82	-	-	5										
Ark.	10	6	-	1	1	-	3	10	-	-	-										
La.	52	33	-	2	3	-	1	6	-	-	1										
Okla.	17	19	-	-	-	-	1	8	-	-	-										
Tex.	80	67	-	4	15	1	48	58	-	-	4										
MOUNTAIN	56	51	-	6	13	41	784	310	-	-	1										
Mont.	-	1	-	-	1	-	6	6	-	-	-										
Idaho	5	6	-	1	-	-	160	38	-	-	-										
Wyo.	1	-	U	1	1	U	1	-	U	-	-										
Colo.	23	14	-	1	-	-	135	179	-	-	1										
N. Mex.	8	6	-	2	1	-	49	51	-	-	-										
Ariz.	10	16	-	-	3	40	415	26	-	-	-										
Utah	5	6	-	-	4	1	13	7	-	-	-										
Nev.	4	2	-	1	3	-	5	3	-	-	-										
PACIFIC	236	240	-	22	66	7	130	384	-	-	9										
Wash.	37	22	-	-	2	6	40	114	-	-	7										
Oreg.	16	27	N	N	N	1	7	36	-	-	-										
Calif.	181	180	-	20	55	-	83	209	-	-	2										
Alaska	1	3	-	1	4	-	-	5	-	-	-										
Hawaii	1	8	-	1	5	-	-	20	-	-	-										
Guam	-	-	U	-	1	U	-	2	U	-	1										
P.R.	1	5	U	-	-	U	-	1	U	-	-										
V.I.	-	-	U	-	-	U	-	-	U	-	-										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	U	U	U	U	U	U	U	U	U	U	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


