
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending August 14, 2010 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	4	2	12	92	106	54	14	421	730	944											
NEW ENGLAND	-	0	1	-	1	-	0	1	1	9											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	0	-	1	-	0	1	-	5											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	1	0	2	13	9	1	1	6	33	66											
N.J.	-	0	0	-	2	-	0	3	-	45											
N.Y. (Upstate)	-	0	1	1	-	1	0	3	7	6											
N.Y. City	-	0	1	1	-	-	0	4	17	5											
Pa.	1	0	2	11	7	-	0	1	9	10											
E.N. CENTRAL	-	0	1	2	8	-	0	6	48	65											
Ill.	-	0	1	2	1	-	0	5	16	43											
Ind.	-	0	0	-	3	-	0	5	25	8											
Mich.	-	0	1	-	3	-	0	2	3	1											
Ohio	-	0	0	-	-	-	0	4	4	11											
Wis.	-	0	0	-	1	-	0	1	-	2											
W.N. CENTRAL	-	0	3	7	12	1	2	17	158	196											
Iowa	-	0	0	-	1	-	0	1	2	4											
Kans.	-	0	1	2	1	-	0	0	-	-											
Minn.	-	0	1	-	1	-	0	1	-	-											
Mo.	-	0	1	4	5	-	2	16	153	188											
Nebr.	-	0	2	1	4	1	0	1	2	4											
N. Dak.	-	0	0	-	-	-	0	1	1	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	2	1	10	50	54	45	4	27	247	287											
Del.	-	0	1	1	-	-	0	3	11	13											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	2	-	-	0	1	6	4											
Ga.	-	0	6	33	44	-	0	0	-	-											
Md.	-	0	1	2	2	1	0	3	16	32											
N.C.	2	0	3	8	5	37	1	21	135	179											
S.C.	-	0	1	-	3	-	0	2	8	15											
Va.	-	0	2	4	-	7	0	10	71	43											
W. Va.	-	0	0	-	-	-	0	1	-	1											
E.S. CENTRAL	1	0	2	10	5	7	3	28	203	190											
Ala.	-	0	1	1	2	-	1	8	39	42											
Ky.	-	0	2	6	1	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	1	2	9											
Tenn.	1	0	2	3	2	7	3	20	162	139											
W.S. CENTRAL	-	0	3	1	6	-	1	408	34	113											
Ark.	-	0	1	-	-	-	0	110	9	59											
La.	-	0	0	-	-	-	0	1	1	2											
Okla.	-	0	2	-	5	-	0	287	15	38											
Tex.	-	0	1	1	1	-	0	11	9	14											
MOUNTAIN	-	0	2	2	10	-	0	3	5	18											
Ariz.	-	0	2	-	4	-	0	2	1	7											
Colo.	-	0	0	-	1	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	2	-											
Mont.	-	0	1	2	4	-	0	1	1	6											
Nev.	-	0	0	-	-	-	0	0	-	1											
N. Mex.	-	0	0	-	-	-	0	1	1	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	0	-	1	-	0	0	-	2											
PACIFIC	-	0	2	7	1	-	0	1	1	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	2	6	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	1	1	-	-	0	1	1	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


