
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 25, 2002 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Rocky Mountain Spotted Fever cummulative for 2002
Rocky Mountain Spotted Fever cummulative for 2001
Rubella cummulative for 2002
Rubella cummulative for 2001
Rubella Congenital cummulative for 2002
Rubella Congenital cummulative for 2001
Salmonellosis cummulative for 2002
Salmonellosis cummulative for 2001

tab delimited data:
test
UNITED STATES	139	68	3	8	2	-	9,910	10,777													
NEW ENGLAND	-	-	-	-	-	-	590	818													
Maine	-	-	-	-	-	-	56	88													
N.H.	-	-	-	-	-	-	35	52													
Vt.	-	-	-	-	-	-	22	32													
Mass.	-	-	-	-	-	-	338	459													
R.I.	-	-	-	-	-	-	27	40													
Conn.	-	-	-	-	-	-	112	147													
MID. ATLANTIC	8	1	-	3	-	-	1,184	1,532													
Upstate N.Y.	2	-	-	1	-	-	406	332													
N.Y. City	-	-	-	2	-	-	440	408													
N.J.	-	-	-	-	-	-	90	383													
Pa.	6	1	-	-	-	-	248	409													
E.N. CENTRAL	3	6	-	2	-	-	1,671	1,516													
Ohio	3	-	-	-	-	-	485	471													
Ind.	-	-	-	-	-	-	134	133													
Ill.	-	6	-	2	-	-	487	414													
Mich.	-	-	-	-	-	-	317	247													
Wis.	-	-	-	-	-	-	248	251													
W.N. CENTRAL	14	14	-	1	-	-	790	625													
Minn.	-	-	-	-	-	-	165	203													
Iowa	-	1	-	1	-	-	126	89													
Mo.	14	13	-	-	-	-	317	147													
N. Dak.	-	-	-	-	-	-	9	11													
S. Dak.	-	-	-	-	-	-	27	40													
Nebr.	-	-	-	-	-	-	49	50													
Kans.	-	-	-	-	-	-	97	85													
S. ATLANTIC	94	26	1	1	-	-	2,515	2,345													
Del.	-	-	-	-	-	-	15	23													
Md.	13	4	1	-	-	-	242	233													
D.C.	-	-	-	-	-	-	27	26													
Va.	1	-	-	-	-	-	266	382													
W. Va.	-	-	-	-	-	-	31	33													
N.C.	59	12	-	-	-	-	373	373													
S.C.	11	4	-	-	-	-	150	262													
Ga.	9	3	-	-	-	-	610	371													
Fla.	1	3	-	1	-	-	801	642													
E.S. CENTRAL	15	12	-	-	1	-	588	577													
Ky.	-	-	-	-	-	-	103	102													
Tenn.	12	10	-	-	1	-	178	144													
Ala.	3	1	-	-	-	-	184	192													
Miss.	-	1	-	-	-	-	123	139													
W.S. CENTRAL	3	6	1	-	-	-	314	1,107													
Ark.	-	4	-	-	-	-	145	120													
La.	-	1	-	-	-	-	65	234													
Okla.	3	1	-	-	-	-	102	74													
Tex.	-	-	1	-	-	-	2	679													
MOUNTAIN	2	3	-	-	-	-	707	648													
Mont.	-	-	-	-	-	-	34	25													
Idaho	-	1	-	-	-	-	51	32													
Wyo.	1	1	-	-	-	-	19	25													
Colo.	-	-	-	-	-	-	192	192													
N. Mex.	-	-	-	-	-	-	100	84													
Ariz.	-	-	-	-	-	-	182	165													
Utah	-	1	-	-	-	-	59	73													
Nev.	1	-	-	-	-	-	70	52													
PACIFIC	-	-	1	1	1	-	1,551	1,609													
Wash.	-	-	-	-	-	-	126	147													
Oreg.	-	-	-	-	-	-	140	99													
Calif.	-	-	1	-	-	-	1,174	1,218													
Alaska	-	-	-	-	-	-	23	17													
Hawaii	-	-	-	1	1	-	88	128													
Guam	-	-	-	-	-	-	-	3													
P.R.	-	-	-	-	-	-	52	296													
V.I.	-	-	-	-	-	-	-	-													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	-	U	-	U	-	U	14	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


