
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 21, 2001 (WEEK 16)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	87,646	104,109	559	1,000	197	215	96	604	1,283												
NEW ENGLAND	1,727	1,918	10	6	9	16	10	145	179												
Maine	37	25	-	-	-	2	-	-	-												
N.H.	37	26	-	-	3	2	-	42	18												
Vt.	27	17	4	3	3	-	-	1	1												
Mass.	848	764	6	3	2	9	6	19	70												
R.I.	227	173	-	-	-	-	-	-	-												
Conn.	551	913	-	-	1	3	4	83	90												
MID. ATLANTIC	9,589	10,997	23	211	18	48	15	292	871												
Upstate N.Y.	2,202	1,782	14	13	12	17	8	231	347												
N.Y. City	3,558	3,599	-	-	3	5	3	-	33												
N.J.	823	2,291	-	186	2	2	1	-	97												
Pa.	3,006	3,325	9	12	1	24	3	61	394												
E.N. CENTRAL	13,094	21,706	69	80	57	61	8	15	37												
Ohio	717	5,271	5	1	32	26	1	15	4												
Ind.	1,942	1,823	-	-	5	9	1	-	-												
Ill.	4,352	7,091	3	9	-	6	-	-	1												
Mich.	5,160	5,338	61	70	14	11	5	-	-												
Wis.	923	2,183	-	-	6	9	1	U	32												
W.N. CENTRAL	3,941	4,889	158	144	16	12	2	21	24												
Minn.	527	968	-	1	1	1	-	14	11												
Iowa	308	289	-	-	4	3	-	1	-												
Mo.	2,008	2,398	154	136	8	6	1	4	7												
N. Dak.	11	15	-	-	-	-	-	-	-												
S. Dak.	65	77	-	-	-	1	-	-	-												
Nebr.	248	366	2	2	2	-	-	1	1												
Kans.	774	776	2	5	1	1	1	1	5												
S. ATLANTIC	24,906	27,151	32	25	30	42	17	108	136												
Del.	483	488	-	2	-	4	-	-	20												
Md.	2,406	2,584	10	5	8	11	2	90	96												
D.C.	971	694	-	-	1	-	-	7	-												
Va.	2,759	3,330	-	1	4	3	2	7	8												
W. Va.	154	183	4	3	N	N	1	1	4												
N.C.	5,290	5,387	7	8	2	5	-	2	4												
S.C.	2,957	2,951	2	-	1	2	1	-	-												
Ga.	4,564	4,620	-	-	2	2	4	-	-												
Fla.	5,322	6,914	9	6	12	15	7	1	4												
E.S. CENTRAL	9,379	10,940	66	149	18	6	7	2	1												
Ky.	1,006	994	3	15	6	4	1	2	-												
Tenn.	2,927	3,353	19	29	8	1	3	-	1												
Ala.	3,313	3,784	1	4	2	1	3	-	-												
Miss.	2,133	2,809	43	101	2	-	-	-	-												
W.S. CENTRAL	14,399	16,030	143	295	3	5	2	-	12												
Ark.	1,583	908	3	3	-	-	1	-	-												
La.	3,560	4,048	57	184	2	2	-	-	2												
Okla.	1,430	1,191	2	1	1	1	-	-	-												
Tex.	7,826	9,883	81	107	-	2	1	-	10												
MOUNTAIN	3,025	3,146	24	32	16	13	11	1	-												
Mont.	30	8	-	1	-	-	-	-	-												
Idaho	27	26	1	-	-	1	-	-	-												
Wyo.	16	20	3	1	1	-	-	-	-												
Colo.	1,011	990	8	13	5	6	1	-	-												
N. Mex.	272	328	8	4	1	1	3	-	-												
Ariz.	1,061	1,278	1	10	6	2	2	-	-												
Utah	33	90	-	-	1	3	1	-	-												
Nev.	575	406	3	3	2	-	4	1	-												
PACIFIC	7,586	7,332	34	58	30	12	24	20	23												
Wash.	940	726	9	8	5	5	2	2	-												
Oreg.	57	257	2	12	N	N	-	1	2												
Calif.	6,316	6,143	23	38	25	7	22	17	21												
Alaska	95	89	-	-	-	-	-	-	-												
Hawaii	178	117	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	364	150	-	1	2	-	-	N	N												
V.I.	6	-	-	-	-	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


