
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 31, 2001 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Shigellosis NETSS cummulative for 2001
Shigellosis NETSS cummulative for 2000
Shigellosis PHLIS cummulative for 2001
Shigellosis PHLIS cummulative for 2000
Syphilis (Primary and Secondary) cummulative for 2001
Syphilis (Primary and Secondary) cummulative for 2000
Tuberculosis cummulative for 2001
Tuberculosis cummulative for 2000

tab delimited data:
test
UNITED STATES	2,260	3,687	1,132	2,327	1,159	1,582	1,786	2,642													
NEW ENGLAND	36	78	29	61	10	22	74	74													
Maine	1	2	1	-	-	-	-	2													
N.H.	-	1	-	1	-	-	6	1													
Vt.	-	1	-	-	-	-	1	-													
Mass.	26	57	19	42	7	18	42	45													
R.I.	2	6	1	6	-	1	3	5													
Conn.	7	11	8	12	3	3	22	21													
MID. ATLANTIC	206	473	150	341	75	74	425	442													
Upstate N.Y.	108	142	2	98	4	3	46	38													
N.Y. City	79	247	65	142	50	34	222	263													
N.J.	-	53	39	50	9	13	100	105													
Pa.	19	31	44	51	12	24	57	36													
E.N. CENTRAL	358	585	193	219	129	325	223	258													
Ohio	109	33	54	29	16	20	35	44													
Ind.	66	62	11	14	34	112	20	17													
Ill.	87	228	68	2	15	119	113	156													
Mich.	78	196	57	168	57	56	33	24													
Wis.	18	66	3	6	7	18	22	17													
W.N. CENTRAL	260	216	216	168	13	27	86	113													
Minn.	66	43	126	57	6	3	44	39													
Iowa	56	32	31	38	-	6	9	8													
Mo.	70	106	46	55	6	14	22	48													
N. Dak.	9	1	1	1	-	-	-	-													
S. Dak.	15	1	1	-	-	-	1	3													
Nebr.	16	21	-	11	-	2	10	3													
Kans.	28	12	11	6	1	2	-	12													
S. ATLANTIC	368	432	107	132	486	527	367	451													
Del.	3	3	-	2	1	2	-	-													
Md.	30	27	6	9	56	95	34	57													
D.C.	14	-	U	U	10	17	11	-													
Va.	27	15	6	15	48	35	44	46													
W. Va.	4	2	6	2	-	1	7	9													
N.C.	98	26	47	14	124	134	52	50													
S.C.	28	3	13	3	76	53	19	18													
Ga.	26	50	25	55	47	88	74	107													
Fla.	138	306	4	32	124	102	126	164													
E.S. CENTRAL	217	174	38	127	142	242	137	179													
Ky.	77	36	16	22	12	22	15	14													
Tenn.	20	83	16	99	76	157	31	62													
Ala.	54	9	-	4	26	30	67	70													
Miss.	66	46	6	2	28	33	24	33													
W.S. CENTRAL	241	591	233	185	170	220	55	456													
Ark.	127	49	65	3	12	17	33	33													
La.	14	75	48	38	32	58	-	25													
Okla.	3	8	-	6	22	48	22	18													
Tex.	97	459	120	138	104	97	-	380													
MOUNTAIN	164	240	99	132	46	42	67	111													
Mont.	-	-	-	-	-	-	-	4													
Idaho	5	22	-	15	-	-	4	-													
Wyo.	-	1	-	1	-	-	-	-													
Colo.	34	42	23	18	2	1	20	10													
N. Mex.	33	24	23	15	4	5	5	18													
Ariz.	74	88	36	35	32	34	18	38													
Utah	5	13	9	15	6	-	5	7													
Nev.	13	50	8	33	2	2	15	34													
PACIFIC	410	898	67	962	88	103	352	558													
Wash.	44	168	37	208	19	12	38	52													
Oreg.	26	80	22	49	3	2	-	2													
Calif.	339	635	-	694	63	89	305	463													
Alaska	1	4	-	3	-	-	9	15													
Hawaii	-	11	8	8	3	-	-	26													
Guam	-	-	U	U	-	-	-	-													
P.R.	7	10	U	U	87	46	38	21													
V.I.	U	U	U	U	U	U	U	U													
Amer. Samoa	U	U	U	U	U	U	U	U													
C.N.M.I.	U	U	U	U	U	U	U	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


