
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 1, 2003 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	137	199	8	8	8	1	1,822	2,279	43,757	58,570											
NEW ENGLAND	10	11	-	1	-	-	108	266	951	1,414											
Maine	-	-	-	-	-	-	15	26	6	13											
N.H.	2	1	-	-	-	-	11	10	18	18											
Vt.	-	-	-	-	-	-	9	20	15	21											
Mass.	4	5	-	1	-	-	64	143	325	627											
R.I.	-	2	-	-	-	-	9	18	164	159											
Conn.	4	3	-	-	-	-	-	49	423	576											
MID. ATLANTIC	7	15	-	-	2	-	254	428	2,997	6,564											
Upstate N.Y.	4	10	-	-	2	-	94	114	1,018	845											
N.Y. City	-	1	-	-	-	-	135	150	345	2,123											
N.J.	3	4	-	-	-	-	18	79	927	1,346											
Pa.	N	N	-	-	-	-	7	85	707	2,250											
E.N. CENTRAL	35	67	1	-	3	-	318	507	9,692	12,381											
Ohio	13	13	1	-	3	-	145	137	3,972	3,685											
Ind.	3	5	-	-	-	-	-	-	1,040	1,269											
Ill.	5	21	-	-	-	-	52	157	1,661	3,838											
Mich.	9	11	-	-	-	-	105	131	2,262	2,586											
Wis.	5	17	-	-	-	-	16	82	757	1,003											
W.N. CENTRAL	21	30	2	3	2	-	198	224	2,395	3,072											
Minn.	9	7	2	3	-	-	52	67	356	545											
Iowa	1	7	-	-	-	-	35	43	113	155											
Mo.	3	7	N	N	N	N	46	61	1,272	1,497											
N. Dak.	1	-	-	-	1	-	7	3	2	11											
S. Dak.	2	1	-	-	-	-	7	9	19	39											
Nebr.	4	5	-	-	-	-	29	19	162	232											
Kans.	1	3	-	-	1	-	22	22	471	593											
S. ATLANTIC	21	25	1	2	-	-	357	429	12,500	14,491											
Del.	-	1	-	-	-	-	8	10	237	298											
Md.	-	-	-	-	-	-	20	19	1,419	1,398											
D.C.	-	-	-	-	-	-	-	10	448	497											
Va.	2	2	-	-	-	-	29	16	1,226	1,649											
W. Va.	-	-	-	-	-	-	4	3	143	168											
N.C.	5	4	-	-	-	-	N	N	2,429	2,597											
S.C.	-	-	-	-	-	-	4	3	1,152	1,373											
Ga.	6	17	-	1	-	-	166	110	2,621	2,747											
Fla.	8	1	1	1	-	-	126	258	2,825	3,764											
E.S. CENTRAL	8	3	-	-	-	-	46	42	4,525	5,317											
Ky.	1	-	-	-	-	-	N	N	649	608											
Tenn.	4	3	-	-	-	-	18	14	1,292	1,733											
Ala.	3	-	-	-	-	-	28	28	1,541	1,870											
Miss.	-	-	-	-	-	-	-	-	1,043	1,106											
W.S. CENTRAL	1	3	-	-	-	1	29	15	6,435	8,457											
Ark.	1	-	-	-	-	-	19	15	618	784											
La.	-	-	-	-	-	-	-	-	1,580	2,020											
Okla.	-	-	-	-	-	-	10	-	427	655											
Tex.	-	3	-	-	-	1	-	-	3,810	4,998											
MOUNTAIN	17	15	3	1	1	-	207	204	1,508	1,961											
Mont.	-	2	-	-	-	-	4	8	26	26											
Idaho	2	1	2	-	-	-	20	4	14	17											
Wyo.	-	-	-	1	-	-	3	1	10	10											
Colo.	4	2	-	-	1	-	61	72	357	690											
N. Mex.	-	2	1	-	-	-	8	19	52	248											
Ariz.	8	3	N	N	N	N	47	42	737	655											
Utah	3	3	-	-	-	-	47	31	44	7											
Nev.	-	2	-	-	-	-	17	27	268	308											
PACIFIC	17	30	1	1	-	-	305	164	2,754	4,913											
Wash.	8	4	-	-	-	-	25	32	455	535											
Oreg.	1	7	1	1	-	-	54	90	152	159											
Calif.	6	18	-	-	-	-	199	-	1,905	4,002											
Alaska	-	-	-	-	-	-	12	16	87	119											
Hawaii	2	1	-	-	-	-	15	26	155	98											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	1	-	11	3											
V.I.	-	-	-	-	-	-	-	-	-	15											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


