
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 20, 1999 (WEEK 07)*

column labels in same order that data fields appears in each record below:
Reporting Area
Legionellosis cummulative for 1999
Legionellosis cummulative for 1998
Lyme Disease cummulative for 1999
Lyme Disease cummulative for 1998
Malaria cummulative for 1999
Malaria cummulative for 1998
Syphilis (Primary and Secondary) cummulative for 1999
Syphilis (Primary and Secondary) cummulative for 1998
Tuberculosis cummulative for 1999
Tuberculosis cummulative for 1998
Rabies, Animal cummulative for 1999
Rabies, Animal cummulative for 1998

tab delimited data:
test
UNITED STATES	83	154	253	384	112	158	660	948	410	758	482										
NEW ENGLAND	6	11	44	56	2	6	12	12	33	37	86										
Maine	-	-	-	1	-	-	-	-	1	-	14										
N.H.	1	2	-	-	-	-	-	1	-	-	4										
Vt.	2	-	-	-	-	-	1	-	-	1	14										
Mass.	2	1	44	14	2	6	8	11	11	17	26										
R.I.	1	3	-	2	-	-	-	-	13	4	7										
Conn.	-	5	-	39	-	-	3	-	8	15	21										
MID. ATLANTIC	13	30	100	233	27	59	33	54	125	152	108										
Upstate N.Y.	5	9	51	53	9	11	1	2	-	14	70										
N.Y. City	-	5	-	7	3	36	13	5	70	102	U										
N.J.	3	1	41	36	13	6	1	15	55	36	27										
Pa.	5	15	8	137	2	6	18	32	U	U	11										
E.N. CENTRAL	27	60	14	14	11	15	107	136	25	15	1										
Ohio	12	18	8	10	1	1	12	34	U	U	-										
Ind.	5	7	5	3	4	1	32	26	U	U	-										
Ill.	-	11	-	-	-	7	56	49	U	U	-										
Mich.	10	11	1	1	5	5	7	15	21	-	1										
Wis.	-	13	U	U	1	1	-	12	4	15	-										
W.N. CENTRAL	1	11	4	4	5	6	2	18	28	29	46										
Minn.	-	-	-	-	-	-	-	1	20	10	10										
Iowa	1	-	1	4	2	1	-	-	-	-	12										
Mo.	-	6	-	-	3	4	-	10	7	17	-										
N. Dak.	-	-	1	-	-	-	-	-	-	-	15										
S. Dak.	-	-	-	-	-	-	-	-	1	-	-										
Nebr.	-	5	-	-	-	-	1	4	-	-	1										
Kans.	-	-	2	-	-	1	1	3	-	2	8										
S. ATLANTIC	22	18	50	55	33	32	274	354	83	154	204										
Del.	2	1	-	-	-	1	1	-	-	1	-										
Md.	-	5	37	51	14	17	54	97	U	U	44										
D.C.	-	2	1	2	5	2	10	9	4	13	-										
Va.	2	2	-	-	4	2	21	36	9	5	48										
W. Va.	N	N	-	-	1	-	1	-	5	10	10										
N.C.	3	3	10	-	1	4	77	93	33	87	50										
S.C.	3	1	-	-	-	-	40	45	32	38	11										
Ga.	-	-	-	2	-	4	26	24	U	U	19										
Fla.	12	4	2	-	8	2	44	50	U	U	22										
E.S. CENTRAL	3	6	6	6	2	5	142	170	41	63	15										
Ky.	-	4	-	-	-	-	-	15	U	U	-										
Tenn.	3	1	2	5	2	3	80	87	U	U	13										
Ala.	-	-	4	1	-	1	44	36	39	40	2										
Miss.	-	1	-	-	-	1	18	32	2	23	-										
W.S. CENTRAL	1	-	-	-	4	2	73	115	14	235	1										
Ark.	-	-	-	-	-	-	10	16	8	5	-										
La.	1	-	-	-	3	2	27	52	U	U	-										
Okla.	-	-	-	-	-	-	36	7	6	17	1										
Tex.	-	-	-	-	1	-	-	40	-	213	-										
MOUNTAIN	4	7	1	1	5	8	-	34	12	33	7										
Mont.	-	-	-	-	1	-	-	-	-	-	3										
Idaho	-	-	-	-	1	1	-	-	-	-	-										
Wyo.	-	-	-	-	-	-	-	-	-	1	-										
Colo.	1	2	-	-	1	3	-	2	U	U	1										
N. Mex.	1	1	1	-	1	3	-	2	3	7	-										
Ariz.	-	-	-	-	1	-	-	25	U	U	3										
Utah	2	4	-	-	-	1	-	2	9	6	-										
Nev.	U	-	U	1	U	-	U	3	U	19	U										
PACIFIC	6	11	34	15	23	25	17	55	49	40	14										
Wash.	-	-	-	-	2	-	-	3	20	26	-										
Oreg.	-	-	-	-	-	5	-	1	U	U	-										
Calif.	6	11	34	15	20	20	16	51	U	U	14										
Alaska	-	-	-	-	-	-	-	-	6	4	-										
Hawaii	-	-	-	-	1	-	1	-	23	10	-										
Guam	-	1	-	-	-	-	-	-	-	12	-										
P.R.	-	-	-	-	-	-	34	31	-	3	6										
V.I.	U	U	U	U	U	U	U	U	U	U	U										
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U										
C.N.M.I.	-	-	-	-	-	-	-	1	-	9	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


