
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending September 5, 1998 (WEEK 35)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1998*
AIDS § cummulative for 1997
Chlamydia† cummulative for 1998
Chlamydia† cummulative for 1997
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1998
Gonorrhea cummulative for 1998
Gonorrhea cummulative for 1997
Hepatitis C/NA,NB cummulative for 1998
Hepatitis C/NA,NB cummulative for 1997

tab delimited data:
test
UNITED STATES	31,523	40,204	356,718	304,137	1,795	1,019	215,231	192,129	2,394	2,351											
NEW ENGLAND	1,194	1,732	13,012	11,684	237	161	3,733	3,949	32	45											
Maine	22	42	655	646	28	-	44	37	-	-											
N.H.	28	26	630	524	30	34	60	70	-	-											
Vt.	17	31	282	269	10	7	25	36	-	2											
Mass.	604	598	5,478	4,826	112	104	1,396	1,460	29	36											
R.I.	88	113	1,570	1,326	11	1	250	306	3	7											
Conn.	435	922	4,397	4,093	46	15	1,958	2,040	-	-											
MID. ATLANTIC	8,893	12,414	42,949	37,942	183	36	24,674	24,636	271	216											
Upstate N.Y.	1,014	1,931	N	N	132	-	3,788	4,198	208	157											
N.Y. City	5,005	6,451	23,035	18,054	5	7	10,052	8,996	-	-											
N.J.	1,655	2,598	7,224	6,634	46	28	4,790	5,094	-	-											
Pa.	1,219	1,434	12,690	13,254	N	1	6,044	6,348	63	59											
E.N. CENTRAL	2,276	3,016	59,461	40,558	278	177	41,424	26,212	353	410											
Ohio	485	663	17,029	14,601	81	39	10,736	9,555	7	12											
Ind.	379	408	4,049	6,049	62	31	2,629	4,037	4	12											
Ill.	888	1,176	17,815	U	66	14	14,652	U	23	68											
Mich.	390	581	13,964	12,633	69	38	10,620	9,521	319	296											
Wis.	134	188	6,604	7,275	N	55	2,787	3,099	-	22											
W.N. CENTRAL	599	778	20,768	20,878	261	196	10,177	9,136	127	47											
Minn.	119	136	4,149	4,370	102	91	1,518	1,524	7	3											
Iowa	51	78	2,063	2,858	74	35	660	756	7	23											
Mo.	282	377	7,915	7,925	22	40	5,689	4,871	108	8											
N. Dak.	4	10	616	555	7	13	51	38	-	2											
S. Dak.	13	7	1,058	836	17	10	168	91	-	-											
Nebr.	56	71	1,416	1,273	21	-	502	462	2	2											
Kans.	74	99	3,551	3,061	18	7	1,589	1,394	3	9											
S. ATLANTIC	7,960	9,668	73,490	63,376	158	88	60,933	61,990	133	155											
Del.	104	174	1,698	-	-	1	933	802	-	-											
Md.	914	1,167	5,315	4,789	22	10	5,966	7,858	6	4											
D.C.	635	717	N	N	1	-	2,437	2,983	-	-											
Va.	650	769	8,444	8,039	N	28	5,506	5,313	11	20											
W. Va.	60	77	1,747	1,974	7	4	518	637	4	13											
N.C.	536	597	15,002	11,419	40	34	12,968	11,241	17	38											
S.C.	507	535	12,049	8,412	8	3	7,587	7,807	3	30											
Ga.	846	1,161	15,727	11,245	51	-	14,206	13,025	9	-											
Fla.	3,708	4,471	13,508	17,498	29	8	10,812	12,324	83	50											
E.S. CENTRAL	1,273	1,366	26,310	23,265	81	27	25,756	23,227	142	252											
Ky.	195	237	4,306	4,350	22	-	2,483	2,769	16	11											
Tenn.	434	570	8,892	8,527	36	24	7,782	7,225	119	168											
Ala.	372	334	6,875	5,682	20	2	8,833	7,956	5	6											
Miss.	272	225	6,237	4,706	3	1	6,658	5,277	2	67											
W.S. CENTRAL	3,799	4,171	52,130	41,025	91	12	30,421	27,178	470	311											
Ark.	136	159	2,417	2,020	7	6	1,238	3,282	6	10											
La.	654	733	9,967	6,274	4	2	8,675	5,913	24	144											
Okla.	224	216	6,683	5,022	11	4	3,665	3,204	8	7											
Tex.	2,785	3,063	33,063	27,709	69	-	16,843	14,779	432	150											
MOUNTAIN	1,052	1,127	14,512	19,666	242	149	5,532	5,269	289	201											
Mont.	20	33	793	697	11	-	29	31	7	15											
Idaho	19	37	1,155	1,027	27	7	113	81	86	40											
Wyo.	1	13	399	390	50	53	18	38	69	48											
Colo.	209	292	10	4,622	49	38	1,538	1,353	20	22											
N. Mex.	166	112	2,405	2,568	17	13	592	585	69	36											
Ariz.	385	269	7,537	7,181	21	13	2,724	2,381	3	24											
Utah	91	93	1,471	1,146	57	17	157	175	21	3											
Nev.	161	278	742	2,035	10	8	361	625	14	13											
PACIFIC	4,477	5,932	54,086	45,743	264	173	12,581	10,532	577	714											
Wash.	303	454	7,078	6,015	50	56	1,248	1,257	13	20											
Oreg.	128	222	3,847	3,273	75	72	558	503	5	2											
Calif.	3,919	5,170	40,528	34,317	136	35	10,273	8,176	504	575											
Alaska	17	42	1,268	1,003	3	-	216	260	1	-											
Hawaii	110	44	1,365	1,135	N	10	286	336	54	117											
Guam	-	2	8	193	N	-	2	27	-	-											
P.R.	1,246	1,381	U	U	6	U	257	403	-	-											
V.I.	19	74	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	1	N	N	N	U	25	17	-	2											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1997 and 1998 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


