
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 1, 2000 (WEEK 52)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	45,000	46,019	591,504	597,125	2,379	3,793	3,483	3,161	2,476	2,172											
NEW ENGLAND	2,293	1,786	20,599	20,092	163	152	396	340	347	286											
Maine	80	31	904	1,073	30	33	38	37	-	-											
N.H.	46	36	942	960	20	18	34	48	34	47											
Vt.	20	20	472	413	36	26	32	21	21	18											
Mass.	1,454	906	8,874	8,362	53	68	173	153	187	164											
R.I.	108	127	2,300	2,307	6	7	27	14	26	1											
Conn.	585	666	7,107	6,977	18	U	92	67	79	56											
MID. ATLANTIC	11,713	12,525	57,408	61,517	429	580	328	312	101	87											
Upstate N.Y.	1,690	1,576	N	N	184	343	266	231	9	-											
N.Y. City	6,013	7,093	21,963	26,129	116	208	11	14	17	13											
N.J.	2,043	2,118	11,125	11,686	36	29	51	67	46	53											
Pa.	1,967	1,738	24,320	23,702	93	N	N	N	29	21											
E.N. CENTRAL	3,268	3,376	87,491	101,474	580	737	726	464	509	374											
Ohio	547	682	27,104	27,786	67	75	267	128	214	77											
Ind.	363	485	11,595	11,267	40	63	114	106	67	54											
Ill.	1,557	1,295	26,613	26,363	73	84	227	113	81	81											
Mich.	649	711	22,179	22,156	49	39	118	117	78	74											
Wis.	152	203	U	13,902	351	476	N	N	69	88											
W.N. CENTRAL	1,069	917	34,317	35,929	208	374	620	499	537	408											
Minn.	190	188	6,795	6,970	79	173	238	209	185	215											
Iowa	87	72	4,731	5,174	56	66	116	93	75	60											
Mo.	531	440	12,950	12,670	31	29	67	55	68	64											
N. Dak.	7	6	707	1,045	18	34	17	12	18	15											
S. Dak.	16	15	1,530	1,572	7	25	47	37	62	40											
Nebr.	67	73	3,378	2,911	16	36	114	57	113	-											
Kans.	171	123	4,226	5,587	1	11	21	36	16	14											
S. ATLANTIC	12,460	12,074	124,550	116,821	396	430	350	404	181	179											
Del.	186	172	2,761	2,608	-	3	6	-	3	2											
Md.	1,525	1,631	11,256	7,560	17	21	44	43	4	15											
D.C.	838	988	N	N	8	25	1	1	U	U											
Va.	943	995	13,734	13,561	28	22	77	N	60	55											
W. Va.	69	84	1,240	2,386	3	3	16	14	11	10											
N.C.	794	788	21,812	22,197	35	N	74	186	52	47											
S.C.	959	777	12,983	18,312	-	-	21	15	14	12											
Ga.	1,678	1,293	31,702	25,242	147	152	41	84	-	-											
Fla.	5,468	5,346	29,062	24,955	158	204	70	61	37	38											
E.S. CENTRAL	1,933	1,873	44,924	40,438	48	27	134	120	69	67											
Ky.	277	280	7,379	6,083	8	10	48	36	-	-											
Tenn.	759	694	13,850	13,717	13	11	55	54	44	41											
Ala.	476	484	12,384	10,065	15	N	25	24	21	20											
Miss.	421	415	11,311	10,573	12	6	6	6	4	6											
W.S. CENTRAL	4,377	5,387	88,218	88,722	88	932	139	137	129	108											
Ark.	194	203	5,585	4,123	2	6	15	12	8	10											
La.	854	947	15,948	14,770	25	20	12	14	15	7											
Okla.	148	285	8,186	9,393	13	N	39	26	29	9											
Tex.	3,181	3,952	58,499	60,436	48	906	73	85	77	82											
MOUNTAIN	1,742	1,625	30,509	34,291	101	124	342	367	227	249											
Mont.	13	29	1,496	1,330	13	10	25	17	-	5											
Idaho	25	32	1,750	2,016	8	17	78	43	43	25											
Wyo.	15	6	788	725	1	2	17	53	14	55											
Colo.	319	313	5,474	9,113	14	19	112	90	88	69											
N. Mex.	93	209	3,931	4,179	42	48	13	19	7	20											
Ariz.	880	639	12,069	11,399	15	19	38	46	24	29											
Utah	155	139	2,219	2,209	N	N	39	75	49	22											
Nev.	242	258	2,782	3,320	8	9	20	24	2	24											
PACIFIC	6,145	6,456	103,488	97,841	366	437	448	518	376	414											
Wash.	360	436	11,973	10,998	N	N	172	143	159	131											
Oreg.	225	204	5,901	5,855	93	70	74	107	69	102											
Calif.	5,445	5,626	80,959	76,477	273	363	190	261	136	165											
Alaska	15	29	1,859	1,907	-	1	1	7	1	-											
Hawaii	100	161	2,796	2,604	-	3	11	-	11	16											
Guam	10	2	299	432	-	-	N	N	U	U											
P.R.	1,247	1,710	U	U	-	N	9	5	U	U											
V.I.	39	35	U	U	U	U	U	U	U	U											
Amer. Samoa	-	-	U	U	U	U	U	U	U	U											
C.N.M.I.	-	-	U	U	U	U	U	U	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting year 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


