
TABLE II. (Part 9)  Provisional cases of selected notifiable diseases, United States, week ending May 29, 2010 (WEEK 21)*

column labels in same order that data fields appears in each record below:
Reporting Area
Spotted Fever Rickettsiosis (including RMSF) † Confirmed current week
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Confirmed cummulative for 2009
Spotted Fever Rickettsiosis (including RMSF) † Probable current week
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks median 
Spotted Fever Rickettsiosis (including RMSF) † Probable previous 52 weeks maximum 
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2010
Spotted Fever Rickettsiosis (including RMSF) † Probable cummulative for 2009

tab delimited data:
test
UNITED STATES	-	2	12	18	31	5	11	354	147	342											
NEW ENGLAND	-	0	1	-	-	-	0	2	1	5											
Conn.	-	0	0	-	-	-	0	0	-	-											
Maine	-	0	0	-	-	-	0	1	1	4											
Mass.	-	0	1	-	-	-	0	2	-	1											
N.H.	-	0	0	-	-	-	0	1	-	-											
R.I.	-	0	0	-	-	-	0	0	-	-											
Vt.	-	0	1	-	-	-	0	0	-	-											
MID. ATLANTIC	-	0	2	3	-	-	1	7	13	28											
N.J.	-	0	1	-	-	-	0	4	-	22											
N.Y. (Upstate)	-	0	1	-	-	-	0	3	2	1											
N.Y. City	-	0	1	-	-	-	0	2	7	2											
Pa.	-	0	2	3	-	-	0	2	4	3											
E.N. CENTRAL	-	0	1	-	3	-	0	7	-	26											
Ill.	-	0	1	-	-	-	0	6	-	15											
Ind.	-	0	1	-	2	-	0	2	-	2											
Mich.	-	0	1	-	1	-	0	1	-	-											
Ohio	-	0	0	-	-	-	0	4	-	8											
Wis.	-	0	1	-	-	-	0	1	-	1											
W.N. CENTRAL	-	0	3	2	3	1	2	23	38	50											
Iowa	-	0	1	-	-	-	0	1	-	2											
Kans.	-	0	1	-	-	-	0	0	-	-											
Minn.	-	0	1	-	-	-	0	1	-	-											
Mo.	-	0	1	2	1	1	2	22	38	48											
Nebr.	-	0	2	-	2	-	0	1	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	0	-	-	-	0	0	-	-											
S. ATLANTIC	-	1	7	9	21	2	3	31	52	139											
Del.	-	0	1	1	-	-	0	3	5	3											
D.C.	-	0	0	-	-	-	0	1	-	-											
Fla.	-	0	1	1	-	2	0	1	5	2											
Ga.	-	0	6	5	19	-	0	0	-	-											
Md.	-	0	1	1	-	-	0	3	3	20											
N.C.	-	0	2	1	1	-	1	23	27	81											
S.C.	-	0	1	-	1	-	0	1	2	13											
Va.	-	0	1	-	-	-	0	5	10	20											
W. Va.	-	0	0	-	-	-	0	1	-	-											
E.S. CENTRAL	-	0	2	3	-	2	3	16	30	68											
Ala.	-	0	1	-	-	-	1	7	6	11											
Ky.	-	0	1	2	-	-	0	0	-	-											
Miss.	-	0	0	-	-	-	0	3	-	4											
Tenn.	-	0	2	1	-	2	2	13	24	53											
W.S. CENTRAL	-	0	3	1	-	-	1	346	12	17											
Ark.	-	0	0	-	-	-	0	48	-	2											
La.	-	0	0	-	-	-	0	1	-	1											
Okla.	-	0	3	-	-	-	0	287	8	3											
Tex.	-	0	1	1	-	-	0	11	4	11											
MOUNTAIN	-	0	2	-	3	-	0	3	1	9											
Ariz.	-	0	2	-	1	-	0	2	-	4											
Colo.	-	0	1	-	-	-	0	0	-	-											
Idaho	-	0	0	-	-	-	0	1	1	-											
Mont.	-	0	1	-	2	-	0	1	-	3											
Nev.	-	0	0	-	-	-	0	1	-	-											
N. Mex.	-	0	0	-	-	-	0	0	-	1											
Utah	-	0	0	-	-	-	0	0	-	1											
Wyo.	-	0	1	-	-	-	0	1	-	-											
PACIFIC	-	0	0	-	1	-	0	0	-	-											
Alaska	N	0	0	N	N	N	0	0	N	N											
Calif.	-	0	0	-	1	-	0	0	-	-											
Hawaii	N	0	0	N	N	N	0	0	N	N											
Oreg.	-	0	0	-	-	-	0	0	-	-											
Wash.	-	0	0	-	-	-	0	0	-	-											
Amer. Samoa	N	0	0	N	N	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	N	0	0	N	N	N	0	0	N	N											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2009 and 2010 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Illnesses with similar clinical presentation that result from Spotted fever group rickettsia infections are reported as Spotted fever rickettsiosis. Rocky Mountain Spotted Fever (RMSF) caused by Rickettsia rickettsii, is the most common and well-known spotted fever.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


