
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 14, 2005 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2004
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2005
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2004
Giardiasis cummulative for 2005
Giardiasis cummulative for 2004
Gonorrhea cummulative for 2005
Gonorrhea cummulative for 2004

tab delimited data:
test
UNITED STATES	381	374	46	65	66	43	5,703	5,737	110,598	115,242											
NEW ENGLAND	26	19	8	16	10	4	464	503	1,642	2,556											
Maine	2	-	2	-	-	-	44	47	50	98											
N.H.	2	4	1	1	-	-	21	16	57	52											
Vt.	1	-	-	-	-	-	59	35	15	32											
Mass.	10	10	-	5	10	4	201	253	1,029	1,134											
R.I.	1	2	-	-	-	-	30	37	184	345											
Conn.	10	3	5	10	-	-	109	115	307	895											
MID. ATLANTIC	63	34	3	8	10	10	1,408	1,272	17,634	13,350											
Upstate N.Y.	14	9	3	2	1	3	305	369	2,234	2,633											
N.Y. City	1	7	-	-	-	-	270	400	2,742	4,218											
N.J.	11	6	-	2	-	4	126	162	1,516	2,482											
Pa.	37	12	-	4	9	3	707	341	11,142	4,017											
E.N. CENTRAL	69	75	7	13	3	4	740	874	19,278	24,714											
Ohio	27	18	1	2	2	4	218	262	6,414	7,947											
Ind.	7	12	-	-	-	-	N	N	2,686	2,258											
Ill.	7	19	1	-	-	-	126	290	5,347	7,176											
Mich.	14	11	-	2	1	-	223	192	3,019	5,716											
Wis.	14	15	5	9	-	-	173	130	1,812	1,617											
W.N. CENTRAL	50	57	10	11	9	9	678	633	5,915	5,969											
Minn.	5	22	2	6	2	2	335	206	865	1,063											
Iowa	10	10	-	-	-	-	72	86	534	451											
Mo.	19	5	5	4	2	2	143	193	3,189	3,029											
N. Dak.	1	2	-	-	-	3	1	11	19	51											
S. Dak.	2	2	-	-	-	-	33	19	134	100											
Nebr.	5	8	3	1	2	-	38	53	349	390											
Kans.	8	8	-	-	3	2	56	65	825	885											
S. ATLANTIC	62	41	8	8	26	7	891	897	25,423	27,925											
Del.	-	-	N	N	N	N	8	19	295	355											
Md.	6	5	2	-	-	2	50	33	2,449	2,955											
D.C.	-	1	-	-	-	-	17	29	735	889											
Va.	2	1	3	6	6	-	195	130	2,695	3,310											
W. Va.	1	1	-	-	-	-	11	9	258	294											
N.C.	-	-	-	-	13	4	N	N	6,138	5,550											
S.C.	1	4	-	-	-	-	30	31	3,222	3,187											
Ga.	7	11	1	1	-	-	299	271	2,891	5,140											
Fla.	45	18	2	1	7	1	281	375	6,740	6,245											
E.S. CENTRAL	23	17	-	1	5	6	141	119	7,976	8,552											
Ky.	4	6	-	1	4	4	N	N	1,316	842											
Tenn.	11	3	-	-	1	2	74	58	2,847	2,933											
Ala.	8	3	-	-	-	-	67	61	1,705	2,535											
Miss.	-	5	-	-	-	-	-	-	2,108	2,242											
W.S. CENTRAL	6	35	1	3	2	3	78	99	15,836	15,581											
Ark.	1	5	-	1	-	-	30	44	1,657	1,376											
La.	-	1	1	-	2	-	8	15	3,687	4,265											
Okla.	2	4	-	-	-	-	40	40	1,658	1,645											
Tex.	3	25	-	2	-	3	N	N	8,834	8,295											
MOUNTAIN	39	42	9	4	1	-	382	429	4,067	4,003											
Mont.	2	3	-	-	-	-	11	14	37	23											
Idaho	3	11	5	1	-	-	31	60	31	32											
Wyo.	-	-	1	-	-	-	7	5	23	21											
Colo.	10	7	1	1	-	-	124	143	1,000	1,144											
N. Mex.	-	5	2	1	-	-	14	23	260	370											
Ariz.	9	6	N	N	N	N	58	71	1,605	1,517											
Utah	7	6	-	-	-	-	109	91	245	159											
Nev.	8	4	-	1	1	-	28	22	866	737											
PACIFIC	43	54	-	1	-	-	921	911	12,827	12,592											
Wash.	9	14	-	-	-	-	61	83	1,260	981											
Oreg.	5	8	-	1	-	-	79	145	595	353											
Calif.	23	28	-	-	-	-	734	625	10,491	10,488											
Alaska	3	1	-	-	-	-	25	26	180	255											
Hawaii	3	3	-	-	-	-	22	32	301	515											
Guam	N	N	-	-	-	-	-	-	-	66											
P.R.	-	-	-	-	-	-	10	20	137	89											
V.I.	-	-	-	-	-	-	-	-	2	52											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2004 and 2005 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


