
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending October 13, 2012 (WEEK 41)*

column labels in same order that data fields appears in each record below:
Reporting Area
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis current week
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Ehrlichia chaffeensis cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum current week
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Anaplasma phagocytophilum cummulative for 2011
Ehrlichiosis/Anaplasmosis†, Undetermined current week
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks median 
Ehrlichiosis/Anaplasmosis†, Undetermined previous 52 weeks maximum 
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2012
Ehrlichiosis/Anaplasmosis†, Undetermined cummulative for 2011

tab delimited data:
test
UNITED STATES	-	11	66	780	714	10	19	64	608	2,186	-	2	12	111	126						
NEW ENGLAND	-	0	2	20	3	-	5	19	225	386	-	0	1	1	1						
Conn.	-	0	0	-	-	-	1	10	73	136	-	0	0	-	-						
Maine	-	0	2	4	1	-	1	4	42	14	-	0	0	-	-						
Mass.	-	0	0	-	-	-	0	3	-	158	-	0	0	-	-						
N.H.	-	0	1	2	1	-	1	5	45	17	-	0	0	-	1						
R.I.	-	0	2	14	1	-	0	11	55	58	-	0	1	1	-						
Vt.	-	0	0	-	-	-	0	2	10	3	-	0	0	-	-						
MID. ATLANTIC	-	1	5	32	94	9	7	44	273	321	-	0	2	6	20						
N.J.	-	0	2	-	52	-	0	8	-	84	-	0	1	-	7						
N.Y. (Upstate)	-	0	3	16	37	9	4	41	244	201	-	0	2	6	7						
N.Y. City	-	0	3	16	4	-	0	4	29	30	-	0	0	-	-						
Pa.	-	0	1	-	1	-	0	0	-	6	-	0	1	-	6						
E.N. CENTRAL	-	0	4	29	40	-	0	13	9	647	-	1	8	73	51						
Ill.	-	0	4	26	24	-	0	1	7	11	-	0	1	1	-						
Ind.	-	0	0	-	-	-	0	0	-	-	-	0	7	65	18						
Mich.	-	0	0	-	4	-	0	0	-	-	-	0	1	5	5						
Ohio	-	0	1	3	6	-	0	1	1	7	-	0	1	1	1						
Wis.	-	0	1	-	6	-	0	13	1	629	-	0	2	1	27						
W.N. CENTRAL	-	2	32	255	170	-	1	12	33	753	-	0	4	13	24						
Iowa	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Kans.	-	0	4	31	17	-	0	2	8	5	-	0	0	-	1						
Minn.	-	0	0	-	7	-	0	12	-	719	-	0	0	-	10						
Mo.	-	1	32	224	144	-	0	4	23	25	-	0	4	12	13						
Nebr.	-	0	0	-	1	-	0	1	2	1	-	0	1	-	-						
N. Dak.	-	0	0	-	-	-	0	3	-	-	-	0	0	-	-						
S. Dak.	-	0	0	-	1	-	0	0	-	3	-	0	1	1	-						
S. ATLANTIC	-	5	30	267	229	1	1	7	44	51	-	0	2	6	10						
Del.	-	0	2	15	15	-	0	1	1	1	-	0	0	-	-						
D.C.	N	0	0	N	N	N	0	0	N	N	N	0	0	N	N						
Fla.	-	0	3	17	13	-	0	1	3	7	-	0	0	-	-						
Ga.	-	0	3	12	22	-	0	1	2	10	-	0	0	-	3						
Md.	-	0	4	31	30	-	0	2	3	6	-	0	0	-	-						
N.C.	-	0	19	85	55	1	0	6	20	16	-	0	1	-	-						
S.C.	-	0	1	1	2	-	0	0	-	-	-	0	0	-	1						
Va.	-	1	16	106	91	-	0	3	14	11	-	0	2	6	5						
W. Va.	-	0	0	-	1	-	0	1	1	-	-	0	1	-	1						
E.S. CENTRAL	-	1	9	85	70	-	0	2	16	15	-	0	2	9	12						
Ala.	-	0	1	9	5	-	0	1	7	4	-	0	1	4	-						
Ky.	-	0	4	23	13	-	0	0	-	-	-	0	0	-	-						
Miss.	-	0	0	-	3	-	0	0	-	1	-	0	1	1	-						
