
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending May 19, 2007 (WEEK 20)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis current week
Salmonellosis previous 52 weeks median 
Salmonellosis previous 52 weeks maximum 
Salmonellosis cummulative for 2007
Salmonellosis cummulative for 2006
Shiga toxin-producing E. coli(STEC)† current week
Shiga toxin-producing E. coli(STEC)† previous 52 weeks median 
Shiga toxin-producing E. coli(STEC)† previous 52 weeks maximum 
Shiga toxin-producing E. coli(STEC)† cummulative for 2007
Shiga toxin-producing E. coli(STEC)† cummulative for 2006
Shigellosis current week
Shigellosis previous 52 weeks median 
Shigellosis previous 52 weeks maximum 
Shigellosis cummulative for 2007
Shigellosis cummulative for 2006

tab delimited data:
test
UNITED STATES	427	831	1,754	9,947	11,103	37	72	292	755	751	153	262	696	4,006	3,644						
NEW ENGLAND	1	39	107	219	1,078	-	3	22	28	110	-	4	21	22	188						
Conn.	-	0	101	101	503	-	0	8	8	75	-	0	9	9	67						
Maine	-	2	14	35	28	-	1	8	12	3	-	0	5	8	2						
Mass.	-	21	87	-	495	-	1	13	-	27	-	2	18	-	113						
N.H.	1	4	26	36	14	-	0	4	4	2	-	0	2	3	-						
R.I.	-	2	15	28	27	-	0	2	1	1	-	0	3	1	5						
Vt.	-	1	6	19	11	-	0	4	3	2	-	0	2	1	1						
MID. ATLANTIC	35	96	189	1,332	1,326	3	8	61	81	94	4	13	49	168	314						
N.J.	-	19	50	54	259	-	1	16	1	27	-	3	34	13	103						
N.Y. (Upstate)	21	28	93	431	272	2	3	14	36	30	4	3	43	39	84						
N.Y. City	-	23	45	346	370	-	0	4	7	12	-	5	12	89	94						
Pa.	14	30	67	501	425	1	3	47	37	25	-	1	6	27	33						
E.N. CENTRAL	53	99	199	1,329	1,590	3	9	61	90	118	24	24	72	255	375						
Ill.	-	27	61	289	450	-	1	7	9	21	-	10	50	33	126						
Ind.	19	15	55	190	179	-	1	8	9	14	1	2	17	24	52						
Mich.	6	18	35	235	277	1	1	6	16	24	-	2	5	13	75						
Ohio	28	23	56	370	390	2	3	18	41	30	23	4	18	128	52						
Wis.	-	17	32	245	294	-	2	41	15	29	-	4	14	57	70						
W.N. CENTRAL	70	47	109	821	721	8	11	45	115	110	21	45	85	841	412						
Iowa	-	8	26	117	125	-	2	38	17	22	-	2	14	20	14						
Kans.	20	7	16	134	107	4	0	4	11	4	-	1	11	13	31						
Minn.	16	12	60	196	167	3	3	26	50	36	-	5	24	92	30						
Mo.	22	15	35	259	200	1	3	13	23	34	21	14	77	692	275						
Nebr.	10	3	9	58	73	-	1	11	14	11	-	1	14	7	27						
N. Dak.	2	0	5	11	6	-	0	0	-	-	-	0	18	4	4						
S. Dak.	-	3	11	46	43	-	0	5	-	3	-	6	24	13	31						
S. ATLANTIC	130	227	403	2,817	2,612	7	13	32	178	129	67	73	150	1,375	847						
Del.	-	2	10	29	27	-	0	3	6	1	-	0	2	4	-						
D.C.	-	1	4	14	23	-	0	1	-	-	-	0	5	4	3						
Fla.	71	95	176	1,229	1,133	4	2	8	52	29	63	36	76	947	367						
Ga.	-	34	76	408	379	-	1	7	16	21	-	25	62	318	300						
Md.	7	14	32	201	119	2	3	9	34	12	1	1	10	25	18						
N.C.	43	29	130	438	444	-	2	11	25	28	3	1	14	25	75						
S.C.	2	18	47	231	231	-	0	3	4	3	-	0	4	23	64						
Va.	5	20	58	229	229	1	3	11	40	35	-	2	9	28	20						
W. Va.	2	1	31	38	27	-	0	5	1	-	-	0	2	1	-						
E.S. CENTRAL	21	53	139	664	623	3	4	21	37	52	7	13	84	318	253						
Ala.	8	12	70	199	203	-	0	5	8	5	6	6	66	141	61						
Ky.	7	9	23	145	114	2	1	12	12	13	-	2	15	36	127						
Miss.	-	12	86	86	130	-	0	3	-	1	-	1	71	71	30						
Tenn.	6	17	32	234	176	1	2	9	17	33	1	4	14	70	35						
W.S. CENTRAL	7	84	186	386	950	3	3	52	43	35	10	38	192	390	463						
Ark.	-	14	45	115	261	-	0	7	7	3	-	2	10	38	28						
La.	-	15	42	120	119	-	0	1	-	-	-	3	24	68	8						
Okla.	7	10	40	115	80	-	0	17	8	4	1	2	9	22	31						
Tex.	-	46	107	36	490	3	2	48	28	28	9	31	174	262	396						
MOUNTAIN	28	53	88	799	760	7	9	36	99	81	7	25	86	253	284						
Ariz.	15	18	45	283	224	4	1	12	37	22	5	11	34	125	148						
Colo.	11	12	30	223	219	-	1	8	19	21	2	3	15	45	44						
Idaho	-	3	9	38	45	1	1	8	6	11	-	0	3	4	6						
Mont.	-	2	10	31	36	-	0	0	-	-	-	0	13	11	2						
Nev.	-	4	20	62	51	-	0	5	8	11	-	1	20	12	29						
N. Mex.	-	4	15	56	69	-	1	5	11	7	-	2	15	33	36						
Utah	2	4	14	83	92	2	2	14	18	8	-	1	4	6	16						
Wyo.	-	1	4	23	24	-	0	3	-	1	-	0	19	17	3						
PACIFIC	82	105	889	1,580	1,443	3	3	162	84	22	13	33	255	384	508						
Alaska	5	1	5	29	32	N	0	0	N	N	-	0	2	6	4						
Calif.	57	90	260	1,212	1,186	2	0	8	52	N	11	28	84	306	429						
Hawaii	-	5	16	72	82	-	0	3	5	4	-	1	3	12	16						
Oreg.	2	7	17	90	143	-	1	9	11	18	1	1	6	19	59						
Wash.	18	0	624	177	-	1	0	160	16	-	1	0	169	41	-						
Amer. Samoa	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						
C.N.M.I.	U	-	-	U	U	U	-	-	U	U	U	-	-	U	U						
Guam	-	-	-	-	-	N	-	-	N	N	-	-	-	-	-						
P.R.	6	14	65	176	115	-	0	0	-	-	-	0	6	5	9						
V.I.	U	0	0	U	U	U	0	0	U	U	U	0	0	U	U						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

