
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 3, 2001 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	42,775	57,745	255	579	84	109	48	312	675												
NEW ENGLAND	889	1,163	2	3	1	9	5	85	114												
Maine	19	12	-	-	-	2	-	-	-												
N.H.	20	17	-	-	-	1	-	42	15												
Vt.	14	7	2	-	1	-	-	1	-												
Mass.	430	463	-	3	-	5	3	7	21												
R.I.	133	95	-	-	-	-	-	-	-												
Conn.	273	569	-	-	-	1	2	35	78												
MID. ATLANTIC	2,888	4,674	14	94	5	16	2	143	460												
Upstate N.Y.	929	781	11	3	4	6	2	118	128												
N.Y. City	925	1,818	-	-	-	-	-	-	15												
N.J.	409	1,257	-	86	-	-	-	-	69												
Pa.	625	818	3	5	1	10	-	25	248												
E.N. CENTRAL	5,927	12,318	35	54	27	37	7	10	15												
Ohio	175	3,108	3	-	15	16	2	10	2												
Ind.	871	1,002	-	-	3	4	-	-	1												
Ill.	1,489	3,960	-	5	-	3	-	-	1												
Mich.	2,937	2,987	32	49	9	7	5	-	-												
Wis.	455	1,261	-	-	-	7	-	U	11												
W.N. CENTRAL	1,841	2,737	37	84	8	4	2	5	8												
Minn.	320	538	-	-	1	1	-	3	2												
Iowa	154	136	-	-	2	1	-	-	-												
Mo.	844	1,379	36	81	3	2	1	2	2												
N. Dak.	4	6	-	-	-	-	-	-	-												
S. Dak.	36	48	-	-	-	-	-	-	-												
Nebr.	43	199	-	1	1	-	-	-	-												
Kans.	440	431	1	2	1	-	1	-	4												
S. ATLANTIC	12,386	16,701	11	13	16	21	7	54	64												
Del.	280	261	-	1	-	1	-	-	10												
Md.	1,331	1,256	3	2	7	7	1	49	45												
D.C.	540	400	-	-	-	-	-	1	-												
Va.	1,666	1,692	-	-	2	3	1	2	1												
W. Va.	72	98	-	1	N	N	1	-	4												
N.C.	2,311	2,786	4	5	2	2	-	2	4												
S.C.	1,620	3,888	-	-	-	2	-	-	-												
Ga.	1,777	2,775	-	-	-	-	2	-	-												
Fla.	2,789	3,545	4	4	5	6	2	-	-												
E.S. CENTRAL	5,076	5,399	33	86	5	2	4	2	-												
Ky.	619	564	-	6	2	-	1	2	-												
Tenn.	1,791	1,656	9	18	2	1	2	-	-												
Ala.	1,495	1,807	-	3	1	1	1	-	-												
Miss.	1,171	1,372	24	59	-	-	-	-	-												
W.S. CENTRAL	8,447	9,007	92	196	1	4	1	-	2												
Ark.	998	378	1	1	-	-	1	-	-												
La.	2,098	2,402	44	107	1	2	-	-	2												
Okla.	889	672	-	-	-	-	-	-	-												
Tex.	4,462	5,555	47	88	-	2	-	-	-												
MOUNTAIN	1,326	1,801	14	17	4	8	5	-	-												
Mont.	11	-	-	-	-	-	-	-	-												
Idaho	18	19	1	-	-	1	-	-	-												
Wyo.	13	12	3	-	-	-	-	-	-												
Colo.	412	642	5	8	3	4	1	-	-												
N. Mex.	125	148	5	4	-	-	1	-	-												
Ariz.	551	691	-	4	1	-	1	-	-												
Utah	9	53	-	-	-	3	-	-	-												
Nev.	187	236	-	1	-	-	2	-	-												
PACIFIC	3,995	3,945	17	32	17	8	15	13	12												
Wash.	503	419	2	3	3	2	-	-	-												
Oreg.	172	84	3	9	N	N	2	2	1												
Calif.	3,204	3,331	12	20	14	6	13	11	11												
Alaska	35	34	-	-	-	-	-	-	-												
Hawaii	81	77	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	179	78	-	1	2	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


