
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 1, 2000 (WEEK 13)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	631	721	4	98	109	34	924	1,462	4	12	13										
NEW ENGLAND	31	38	-	2	3	7	238	133	1	5	3										
Maine	3	3	-	-	-	2	9	-	-	-	-										
N.H.	-	3	-	-	1	-	45	19	-	1	-										
Vt.	1	2	U	-	-	U	51	9	U	-	-										
Mass.	20	25	-	-	2	-	117	99	-	3	3										
R.I.	1	2	-	1	-	-	7	2	-	-	-										
Conn.	6	3	-	1	-	5	9	4	1	1	-										
MID. ATLANTIC	54	72	-	5	14	4	84	301	-	2	-										
Upstate N.Y.	12	15	-	3	2	4	58	254	-	2	-										
N.Y. City	12	25	-	-	3	-	-	10	-	-	-										
N.J.	16	13	-	-	-	-	-	5	-	-	-										
Pa.	14	19	-	2	9	-	26	32	-	-	-										
E.N. CENTRAL	94	115	-	11	15	4	144	151	-	-	-										
Ohio	20	44	-	3	6	-	108	89	-	-	-										
Ind.	18	6	-	-	-	-	8	8	-	-	-										
Ill.	19	39	-	3	3	2	10	21	-	-	-										
Mich.	27	14	-	5	6	2	8	16	-	-	-										
Wis.	10	12	-	-	-	-	10	17	-	-	-										
W.N. CENTRAL	51	98	-	10	3	4	34	45	-	2	1										
Minn.	3	25	-	-	-	4	14	-	-	-	-										
Iowa	10	18	-	3	2	-	8	8	-	-	-										
Mo.	33	30	-	1	1	-	4	9	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	2	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	5	-	4	-	-	2	1	-	-	1										
Kans.	1	15	-	2	-	-	4	25	-	2	-										
S. ATLANTIC	110	97	1	12	16	3	76	71	3	3	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	11	18	-	4	4	3	21	26	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	17	16	1	2	2	-	5	7	-	-	-										
W. Va.	3	1	-	-	-	-	-	-	-	-	-										
N.C.	21	14	-	2	3	-	28	22	-	-	1										
S.C.	6	16	-	4	2	-	12	5	3	3	-										
Ga.	21	16	-	-	-	-	9	6	-	-	-										
Fla.	31	13	-	-	4	-	-	5	-	-	-										
E.S. CENTRAL	39	59	-	1	3	-	21	30	-	-	-										
Ky.	9	12	-	-	-	-	12	9	-	-	-										
Tenn.	17	21	-	-	-	-	2	13	-	-	-										
Ala.	12	16	-	1	1	-	7	6	-	-	-										
Miss.	1	10	-	-	2	-	-	2	-	-	-										
W.S. CENTRAL	39	60	-	1	15	-	5	33	-	-	5										
Ark.	5	14	-	1	-	-	5	4	-	-	-										
La.	13	30	-	-	2	-	-	2	-	-	-										
Okla.	9	13	-	-	1	-	-	3	-	-	-										
Tex.	12	3	-	-	12	-	-	24	-	-	5										
MOUNTAIN	42	60	1	5	7	10	210	203	-	-	1										
Mont.	1	-	-	1	-	-	1	1	-	-	-										
Idaho	6	8	-	-	-	-	32	81	-	-	-										
Wyo.	-	2	-	-	-	-	-	1	-	-	-										
Colo.	10	18	1	1	2	9	108	47	-	-	-										
N. Mex.	7	7	-	1	N	1	45	10	-	-	-										
Ariz.	11	19	-	-	-	-	17	40	-	-	-										
Utah	6	4	-	-	4	-	4	21	-	-	1										
Nev.	1	2	-	2	1	-	3	2	-	-	-										
PACIFIC	171	122	2	51	33	2	112	495	-	-	1										
Wash.	13	17	-	2	-	-	41	209	-	-	-										
Oreg.	19	25	N	N	N	1	18	4	-	-	-										
Calif.	136	72	2	48	27	-	49	264	-	-	1										
Alaska	1	4	-	-	1	1	3	2	-	-	-										
Hawaii	2	4	-	1	5	-	1	16	-	-	-										
Guam	-	-	-	-	1	-	-	1	-	-	-										
P.R.	-	7	-	-	-	-	-	-	-	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


