
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending November 10, 2012 (WEEK 45)*

column labels in same order that data fields appears in each record below:
Reporting Area
Chlamydia trachomatis infection current week
Chlamydia trachomatis infection previous 52 weeks median 
Chlamydia trachomatis infection previous 52 weeks maximum 
Chlamydia trachomatis infection cummulative for 2012
Chlamydia trachomatis infection cummulative for 2011
Coccidioidomycosis current week
Coccidioidomycosis previous 52 weeks median 
Coccidioidomycosis previous 52 weeks maximum 
Coccidioidomycosis cummulative for 2012
Coccidioidomycosis cummulative for 2011
Cryptosporidiosis current week
Cryptosporidiosis previous 52 weeks median 
Cryptosporidiosis previous 52 weeks maximum 
Cryptosporidiosis cummulative for 2012
Cryptosporidiosis cummulative for 2011

tab delimited data:
test
UNITED STATES	10,354	26,791	30,645	1,154,493	1,220,458	204	376	586	15,208	19,412	51	126	278	6,231	8,385						
NEW ENGLAND	341	973	1,807	41,417	39,507	-	0	1	2	2	-	7	19	338	380						
Conn.	-	256	1,268	11,002	9,925	N	0	0	N	N	-	1	3	32	66						
Maine	-	61	101	2,602	2,691	N	0	0	N	N	-	1	4	61	43						
Mass.	339	447	706	20,150	19,498	-	0	0	-	-	-	2	8	127	154						
N.H.	1	61	85	2,595	2,600	-	0	1	1	1	-	1	4	39	62						
R.I.	-	84	186	3,703	3,512	-	0	1	1	1	-	0	3	12	11						
Vt.	1	28	87	1,365	1,281	N	0	0	N	N	-	1	6	67	44						
MID. ATLANTIC	2,018	3,509	4,469	152,044	156,202	-	0	1	4	5	3	14	41	673	813						
N.J.	156	544	640	23,155	23,159	N	0	0	N	N	-	0	4	23	50						
N.Y. (Upstate)	665	722	2,215	32,061	30,861	N	0	0	N	N	2	4	19	208	200						
N.Y. City	322	1,147	1,427	48,952	56,831	N	0	0	N	N	-	2	8	92	79						
Pa.	875	1,089	1,343	47,876	45,351	-	0	1	4	5	1	7	21	350	484						
E.N. CENTRAL	1,279	4,110	4,785	173,578	192,059	1	1	4	45	44	13	32	106	1,539	2,479						
Ill.	39	1,108	1,504	46,931	56,552	N	0	0	N	N	-	3	8	137	200						
Ind.	193	555	838	24,737	24,835	N	0	0	N	N	-	2	7	113	250						
Mich.	485	936	1,210	37,076	43,307	-	1	3	26	27	1	6	40	293	314						
Ohio	320	1,044	1,180	44,517	45,914	1	0	2	19	17	12	11	28	513	1,027						
Wis.	242	468	559	20,317	21,451	-	0	0	-	-	-	8	40	483	688						
W.N. CENTRAL	200	1,532	1,807	66,478	68,403	-	2	8	117	118	-	16	41	808	1,467						
Iowa	18	216	387	9,614	9,506	N	0	0	N	N	-	5	21	289	344						
Kans.	-	211	308	9,193	9,122	N	0	0	N	N	-	1	4	46	41						
Minn.	7	315	388	13,205	14,705	-	2	7	103	95	-	0	10	-	281						
Mo.	163	548	683	24,428	24,222	-	0	2	13	16	-	4	11	213	468						
Nebr.	-	131	181	4,437	5,751	-	0	1	1	7	-	3	10	127	165						
N. Dak.	5	52	72	2,292	2,110	N	0	0	N	N	-	0	5	33	27						
S. Dak.	7	70	106	3,309	2,987	N	0	0	N	N	-	2	6	100	141						
S. ATLANTIC	3,066	5,438	7,543	239,736	249,682	-	0	1	4	5	10	19	57	967	1,042						
Del.	100	79	182	3,368	3,750	-	0	0	-	-	-	0	4	14	7						
D.C.	-	138	224	5,809	5,713	-	0	0	-	-	N	0	0	N	N						
Fla.	894	1,537	1,742	67,819	66,247	N	0	0	N	N	5	8	24	406	393						
Ga.	468	1,016	1,285	43,177	46,953	N	0	0	N	N	4	4	13	220	281						
Md.	367	441	1,103	20,645	22,707	-	0	1	4	5	-	1	7	77	64						
N.C.	-	925	1,678	39,624	47,016	N	0	0	N	N	-	0	46	86	35						
S.C.	470	533	1,278	24,636	24,148	N	0	0	N	N	-	1	4	41	119						
Va.	698	695	1,780	30,554	29,496	N	0	0	N	N	1	3	6	121	116						
W. Va.	69	88	149	4,104	3,652	N	0	0	N	N	-	0	4	2	27						
E.S. CENTRAL	692	1,898	2,820	82,039	85,976	-	0	0	-	-	4	5	14	243	416						
Ala.	-	548	796	18,722	25,784	N	0	0	N	N	2	2	6	92	121						
Ky.	453	334	787	15,425	14,207	N	0	0	N	N	-	1	4	49	170						
Miss.	-	411	1,168	19,945	18,821	N	0	0	N	N	1	1	4	38	45						
Tenn.	239	633	828	27,947	27,164	N	0	0	N	N	1	1	5	64	80						
W.S. CENTRAL	515	3,239	4,336	143,072	162,502	-	0	1	3	3	5	9	24	419	618						
Ark.	376	327	412	14,544	14,077	N	0	0	N	N	-	1	5	36	28						
La.	135	435	1,316	18,215	26,203	-	0	1	3	3	-	2	6	105	81						
Okla.	4	85	1,015	3,576	11,963	N	0	0	N	N	2	2	6	81	75						
Tex.	-	2,403	2,977	106,737	110,259	N	0	0	N	N	3	5	17	197	434						
MOUNTAIN	734	1,786	2,430	77,569	77,663	190	285	478	11,759	14,357	1	11	40	669	596						
Ariz.	-	589	872	25,854	25,212	189	282	476	11,588	14,139	-	1	3	32	41						
Colo.	428	424	705	18,915	18,651	N	0	0	N	N	-	1	7	56	136						
Idaho	1	84	174	3,505	3,916	N	0	0	N	N	1	3	24	236	105						
Mont.	17	73	107	3,281	2,929	-	0	1	2	5	-	1	4	56	72						
Nev.	175	212	318	8,727	9,204	-	2	7	99	89	-	0	2	9	16						
N. Mex.	109	211	463	9,664	9,742	-	0	4	23	68	-	1	7	87	124						
Utah	4	143	177	6,191	6,155	1	1	4	43	53	-	2	19	164	58						
Wyo.	-	35	60	1,432	1,854	-	0	2	4	3	-	0	4	29	44						
PACIFIC	1,509	4,100	4,662	178,560	188,464	13	79	144	3,274	4,878	15	11	25	575	574						
Alaska	13	105	150	4,686	5,103	N	0	0	N	N	-	0	1	5	12						
Calif.	877	3,153	3,703	137,624	146,219	13	79	144	3,271	4,867	7	6	15	308	309						
Hawaii	-	101	147	3,130	5,227	N	0	0	N	N	-	0	1	5	-						
Oreg.	237	266	368	12,019	11,914	-	0	1	3	11	2	4	11	192	181						
Wash.	382	464	612	21,101	20,001	-	0	10	-	-	6	1	8	65	72						
Amer. Samoa	-	0	59	59	-	N	0	0	N	N	N	0	0	N	N						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	21	22	-	922	-	0	0	-	-	-	0	0	-	-						
P.R.	78	107	289	4,945	4,790	N	0	0	N	N	N	0	0	N	N						
V.I.	-	13	26	326	728	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting year 2012 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


