
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending July 14, 2007 (WEEK 28)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2007
Streptococcal disease, invasive, group A cummulative for 2006
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2007
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2006

tab delimited data:
test
UNITED STATES	77	89	261	3,130	3,435	4	30	108	882	778											
NEW ENGLAND	-	6	29	262	221	-	2	11	67	68											
Conn.	-	0	23	84	59	-	0	6	-	23											
Maine	-	0	3	18	10	-	0	1	1	-											
Mass.	-	3	12	121	115	-	2	6	50	39											
N.H.	-	0	5	24	24	-	0	2	7	6											
R.I.	-	0	12	-	4	-	0	3	7	-											
Vt.	-	0	2	15	9	-	0	1	2	-											
MID. ATLANTIC	9	15	41	588	650	-	3	20	102	116											
N.J.	-	2	9	80	115	-	1	4	16	43											
N.Y. (Upstate)	9	5	27	196	207	-	2	15	63	63											
N.Y. City	-	3	12	133	118	-	1	3	23	10											
Pa.	-	6	11	179	210	N	0	0	N	N											
E.N. CENTRAL	21	16	32	546	677	-	5	14	143	206											
Ill.	-	5	13	135	205	-	1	6	32	58											
Ind.	18	2	12	88	80	-	0	10	14	25											
Mich.	-	3	10	130	138	-	1	4	50	51											
Ohio	3	4	14	167	175	-	1	7	39	43											
Wis.	-	1	6	26	79	-	0	2	8	29											
W.N. CENTRAL	7	5	32	219	231	-	2	8	67	59											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	2	0	3	27	43	-	0	1	2	10											
Minn.	3	0	29	110	107	-	1	6	46	32											
Mo.	1	2	6	51	44	-	0	2	13	11											
Nebr.	-	0	3	15	21	-	0	2	5	4											
N. Dak.	1	0	2	10	8	-	0	2	1	2											
S. Dak.	-	0	2	6	8	-	0	0	-	-											
S. ATLANTIC	19	22	51	759	739	2	3	14	179	49											
Del.	1	0	2	6	7	-	0	0	-	-											
D.C.	-	0	3	8	9	-	0	1	-	-											
Fla.	4	6	16	182	157	1	0	5	40	-											
Ga.	5	5	12	143	162	-	0	5	44	-											
Md.	-	4	9	134	144	-	1	6	42	40											
N.C.	6	0	22	105	106	-	0	0	-	-											
S.C.	1	1	7	69	50	1	0	3	21	-											
Va.	2	2	11	94	84	-	0	3	27	-											
W. Va.	-	0	3	18	20	-	0	4	5	9											
E.S. CENTRAL	1	4	9	124	145	-	1	6	51	14											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	3	30	34	-	0	0	-	-											
Miss.	N	0	0	N	N	-	0	2	3	14											
Tenn.	-	3	8	94	111	-	0	6	48	-											
W.S. CENTRAL	5	6	90	185	253	-	4	43	130	123											
Ark.	1	0	2	16	18	-	0	2	7	16											
La.	-	0	1	6	12	-	0	4	25	16											
Okla.	4	1	23	49	67	-	1	13	33	23											
Tex.	-	3	64	114	156	-	1	27	65	68											
MOUNTAIN	13	10	23	369	460	1	4	12	121	129											
Ariz.	5	5	11	150	235	1	2	7	69	73											
Colo.	3	3	9	106	81	-	1	4	32	32											
Idaho	-	0	2	8	7	-	0	1	2	1											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	2	-	-	0	1	1	2											
N. Mex.	-	1	5	34	88	-	0	4	17	21											
Utah	5	1	7	64	46	-	0	0	-	-											
Wyo.	-	0	1	5	3	-	0	0	-	-											
PACIFIC	2	3	9	78	59	1	1	4	22	14											
Alaska	2	0	3	20	N	1	0	2	20	-											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	2	9	58	59	-	0	2	2	14											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	-	-	U	U	U	-	-	U	U											
Guam	-	0	0	-	-	N	0	0	N	N											
P.R.	-	0	0	-	-	N	0	0	N	N											
V.I.	U	0	0	U	U	U	0	0	U	U											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2006 and 2007 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


