
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending June 21, 2003 (WEEK 25)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2002
Hepatitis (Viral Acute), Type A cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2002

tab delimited data:
test
UNITED STATES	801	923	6	16	122	150	18	11	2,564	4,659											
NEW ENGLAND	58	63	-	-	7	7	3	1	122	172											
Maine	2	1	-	-	-	-	1	-	5	6											
N.H.	7	5	-	-	-	-	-	-	8	10											
Vt.	6	3	-	-	-	-	-	-	5	-											
Mass.	29	28	-	-	7	3	1	1	63	79											
R.I.	3	9	-	-	-	-	1	-	11	24											
Conn.	11	17	-	-	-	4	-	-	30	53											
MID. ATLANTIC	158	170	-	2	18	25	6	-	508	590											
Upstate N.Y.	60	65	-	2	9	8	-	-	54	90											
N.Y. City	23	37	-	-	5	7	-	-	152	202											
N.J.	30	38	-	-	4	5	-	-	67	96											
Pa.	45	30	-	-	-	5	6	-	235	202											
E.N. CENTRAL	109	189	1	2	19	31	-	-	276	547											
Ohio	41	49	-	-	7	5	-	-	56	141											
Ind.	23	28	-	1	2	6	-	-	20	28											
Ill.	32	70	-	-	8	12	-	-	84	157											
Mich.	11	7	1	1	2	-	-	-	95	121											
Wis.	2	35	-	-	-	8	-	-	21	100											
W.N. CENTRAL	59	32	-	-	6	2	5	3	82	169											
Minn.	23	17	-	-	6	2	1	1	20	25											
Iowa	-	1	-	-	-	-	-	-	17	35											
Mo.	21	8	-	-	-	-	4	2	26	48											
N. Dak.	1	4	-	-	-	-	-	-	-	1											
S. Dak.	1	1	-	-	-	-	-	-	-	3											
Nebr.	1	-	-	-	-	-	-	-	4	7											
Kans.	12	1	-	-	-	-	-	-	15	50											
S. ATLANTIC	178	204	-	3	18	25	-	2	666	1,303											
Del.	-	-	-	-	-	-	-	-	4	8											
Md.	40	52	-	1	4	1	-	-	69	140											
D.C.	-	-	-	-	-	-	-	-	20	46											
Va.	16	16	-	-	4	2	-	-	35	42											
W. Va.	7	6	-	-	-	-	-	1	11	10											
N.C.	14	21	-	-	-	3	-	-	33	125											
S.C.	2	6	-	-	-	2	-	-	18	41											
Ga.	43	44	-	-	5	8	-	-	274	267											
Fla.	56	59	-	2	5	9	-	1	202	624											
E.S. CENTRAL	47	30	1	1	6	8	-	-	72	151											
Ky.	2	3	-	-	-	-	-	-	13	35											
Tenn.	27	15	-	-	4	5	-	-	40	59											
Ala.	16	6	1	1	1	2	-	-	11	23											
Miss.	2	6	-	-	1	1	-	-	8	34											
W.S. CENTRAL	35	33	-	2	5	6	-	-	58	463											
Ark.	5	1	-	-	1	-	-	-	2	22											
La.	6	3	-	-	1	1	-	-	23	44											
Okla.	23	27	-	-	3	5	-	-	9	22											
Tex.	1	2	-	2	-	-	-	-	24	375											
MOUNTAIN	106	114	3	3	30	25	1	3	207	291											
Mont.	-	-	-	-	-	-	-	-	2	9											
Idaho	2	2	-	-	1	1	-	-	-	20											
Wyo.	1	2	-	-	-	-	-	-	1	2											
Colo.	17	20	-	-	4	2	-	-	27	44											
N. Mex.	13	18	-	-	4	4	1	1	8	8											
Ariz.	59	52	3	1	13	14	-	1	122	161											
Utah	8	13	-	1	5	3	-	-	17	20											
Nev.	6	7	-	1	3	1	-	1	30	27											
PACIFIC	51	88	1	3	13	21	3	2	573	973											
Wash.	5	2	-	1	4	1	1	-	31	87											
Oreg.	30	32	-	-	3	3	-	-	31	41											
Calif.	11	30	1	2	6	14	2	2	505	824											
Alaska	-	1	-	-	-	1	-	-	5	7											
Hawaii	5	23	-	-	-	2	-	-	1	14											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	19	109											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


