
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending April 8, 2000 (WEEK 14)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2000
Gonorrhea cummulative for 1999
Hepatitis C/NA,NB cummulative for 2000
Hepatitis C/NA,NB cummulative for 1999
Legionellosis cummulative for 2000
Legionellosis cummulative for 1999
Lyme Disease cummulative for 2000
Lyme Disease cummulative for 1999

tab delimited data:
test
UNITED STATES	70,757	93,601	587	949	172	231	824	1,233													
NEW ENGLAND	1,606	1,930	19	3	10	15	80	274													
Maine	18	15	-	-	2	2	-	1													
N.H.	25	20	-	-	2	2	17	-													
Vt.	14	15	1	2	-	3	-	-													
Mass.	707	770	18	1	3	4	23	118													
R.I.	157	148	-	-	-	1	-	8													
Conn.	685	962	-	-	3	3	40	147													
MID. ATLANTIC	4,851	11,326	13	37	29	63	584	682													
Upstate N.Y.	1,462	1,467	13	19	15	15	272	202													
N.Y. City	108	4,495	-	-	-	8	3	18													
N.J.	623	1,979	-	-	-	5	-	126													
Pa.	2,658	3,385	-	18	14	35	309	336													
E.N. CENTRAL	15,157	16,861	61	516	50	70	5	48													
Ohio	3,581	4,571	-	-	24	19	5	12													
Ind.	1,449	1,849	-	-	12	5	-	1													
Ill.	4,608	5,181	5	10	1	10	-	2													
Mich.	4,455	4,040	56	140	8	22	-	1													
Wis.	1,064	1,220	-	366	5	14	U	32													
W.N. CENTRAL	2,360	4,225	96	51	12	8	30	22													
Minn.	670	753	-	-	1	-	6	7													
Iowa	199	257	-	-	3	3	1	2													
Mo.	485	2,022	87	44	5	3	5	5													
N. Dak.	4	21	-	-	-	-	-	1													
S. Dak.	63	44	-	-	1	1	-	-													
Nebr.	241	488	1	1	-	1	-	-													
Kans.	698	640	8	6	2	-	18	7													
S. ATLANTIC	19,433	27,138	29	65	34	27	98	140													
Del.	435	467	-	-	2	2	9	7													
Md.	1,895	3,707	3	20	9	4	70	109													
D.C.	642	1,842	-	-	-	-	-	1													
Va.	2,668	2,565	-	6	3	6	6	3													
W. Va.	118	164	2	9	N	N	4	3													
N.C.	4,874	5,036	7	17	4	5	4	15													
S.C.	574	2,760	-	10	2	5	-	1													
Ga.	3,310	4,927	-	1	2	-	-	-													
Fla.	4,917	5,670	17	2	12	5	5	1													
E.S. CENTRAL	8,734	10,017	114	64	5	14	-	17													
Ky.	889	979	15	5	3	7	-	1													
Tenn.	2,581	2,993	26	30	1	5	-	5													
Ala.	3,450	3,183	3	1	1	2	-	6													
Miss.	1,814	2,862	70	28	-	-	-	5													
W.S. CENTRAL	11,330	13,146	133	103	1	1	-	-													
Ark.	541	722	3	4	-	-	-	-													
La.	3,289	2,986	44	78	-	1	-	-													
Okla.	896	1,101	-	3	-	-	-	-													
Tex.	6,604	8,337	86	18	1	-	-	-													
MOUNTAIN	2,657	2,533	72	71	13	15	1	3													
Mont.	4	8	1	4	-	-	-	-													
Idaho	4	26	-	4	1	-	-	-													
Wyo.	18	9	44	28	1	-	-	1													
Colo.	949	588	10	9	6	1	-	-													
N. Mex.	140	229	4	10	-	1	-	1													
Ariz.	1,168	1,280	10	13	2	1	1	-													
Utah	87	52	-	1	3	6	-	1													
Nev.	287	341	3	2	-	6	-	-													
PACIFIC	4,629	6,425	50	39	18	18	26	47													
Wash.	615	564	5	2	5	4	-	-													
Oreg.	138	239	9	4	N	N	1	1													
Calif.	3,714	5,387	36	33	13	14	25	46													
Alaska	79	106	-	-	-	-	-	-													
Hawaii	83	129	-	-	-	-	N	N													
Guam	-	18	-	-	-	-	-	-													
P.R.	71	103	1	-	-	-	N	N													
V.I.	-	U	-	U	-	U	-	U													
Amer. Samoa	-	U	-	U	-	U	-	U													
C.N.M.I.	-	U	-	U	-	U	-	U													

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


