
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 2, 2003 (WEEK 31)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 2003
AIDS § cummulative for 2002
Chlamydia† cummulative for 2003
Chlamydia† cummulative for 2002
Coccidioidomycosis cummulative for 2003
Coccidioidomycosis cummulative for 2002
Cryptosporidiosis cummulative for 2003
Cryptosporidiosis cummulative for 2002
Encephalitis/Meningitis West Nile cummulative for 2003
Encephalitis/Meningitis West Nile cummulative for 2002

tab delimited data:
test
UNITED STATES	26,605	24,521	469,287	480,429	2,079	2,651	1,174	1,357	49	219											
NEW ENGLAND	905	1,003	16,123	15,741	-	-	77	82	-	-											
Maine	49	23	1,173	865	N	N	8	3	-	-											
N.H.	22	20	895	928	-	-	8	14	-	-											
Vt.	11	8	598	486	-	-	18	15	-	-											
Mass.	371	514	6,326	6,239	-	-	29	31	-	-											
R.I.	69	70	1,638	1,630	-	-	9	13	-	-											
Conn.	383	368	5,493	5,593	N	N	5	6	-	-											
MID. ATLANTIC	6,223	5,658	52,894	52,904	-	-	157	187	4	-											
Upstate N.Y.	665	466	11,329	9,683	N	N	44	47	1	-											
N.Y. City	3,189	3,202	19,313	17,858	-	-	46	76	-	-											
N.J.	1,044	922	7,774	7,139	-	-	4	12	-	-											
Pa.	1,325	1,068	14,478	18,224	N	N	63	52	3	-											
E.N. CENTRAL	2,625	2,488	78,871	88,512	4	18	274	421	7	18											
Ohio	466	447	20,372	22,707	-	-	53	78	7	-											
Ind.	345	345	9,607	9,618	N	N	33	26	-	-											
Ill.	1,238	1,170	21,896	27,988	-	2	29	68	-	14											
Mich.	451	401	18,068	18,264	4	16	55	64	-	-											
Wis.	125	125	8,928	9,935	-	-	104	185	-	4											
W.N. CENTRAL	486	419	26,166	26,678	1	1	146	134	15	1											
Minn.	95	91	5,786	6,225	N	N	54	52	2	-											
Iowa	55	50	2,676	2,955	N	N	28	13	-	-											
Mo.	230	187	9,402	8,888	-	-	13	17	-	-											
N. Dak.	2	1	700	737	N	N	11	10	-	-											
S. Dak.	8	3	1,518	1,225	-	-	22	5	9	1											
Nebr.	35	43	2,076	2,471	1	1	6	27	3	-											
Kans.	61	44	4,008	4,177	N	N	12	10	1	-											
S. ATLANTIC	7,717	7,404	91,780	90,535	3	3	173	170	5	2											
Del.	149	130	1,799	1,557	N	N	3	2	-	-											
Md.	882	1,062	9,777	9,019	3	3	10	10	-	-											
D.C.	725	371	1,712	1,930	-	-	8	4	-	-											
Va.	627	535	10,632	10,151	-	-	18	5	-	-											
W. Va.	54	57	1,461	1,439	N	N	3	2	-	-											
N.C.	799	536	15,105	14,614	N	N	19	23	-	-											
S.C.	504	533	8,019	8,342	-	-	2	2	1	-											
Ga.	1,202	1,161	19,760	18,709	-	-	60	67	-	2											
Fla.	2,775	3,019	23,515	24,774	N	N	50	55	4	-											
E.S. CENTRAL	1,144	1,105	31,427	31,075	N	N	59	82	-	72											
Ky.	98	172	4,633	5,060	N	N	14	3	-	-											
Tenn.	517	467	11,403	9,549	N	N	20	43	-	-											
Ala.	271	194	8,245	9,682	-	-	22	32	-	-											
Miss.	258	272	7,146	6,784	N	N	3	4	-	72											
W.S. CENTRAL	2,737	2,677	61,234	64,044	-	6	16	38	18	126											
Ark.	107	164	4,533	4,449	-	-	4	6	-	-											
La.	402	685	10,879	11,101	N	N	2	8	-	93											
Okla.	139	130	6,264	6,580	N	N	7	8	-	-											
Tex.	2,089	1,698	39,558	41,914	-	6	3	16	18	33											
MOUNTAIN	967	777	27,276	29,891	1,472	1,792	66	86	-	-											
Mont.	10	8	1,235	1,320	N	N	13	4	-	-											
Idaho	15	18	1,479	1,469	N	N	15	18	-	-											
Wyo.	6	6	544	527	1	-	2	6	-	-											
Colo.	215	156	6,326	8,306	N	N	13	25	-	-											
N. Mex.	75	53	3,691	4,458	4	6	3	14	-	-											
Ariz.	432	315	8,258	8,844	1,438	1,761	3	11	-	-											
Utah	40	43	2,512	1,432	6	8	11	5	-	-											
Nev.	174	178	3,231	3,535	23	17	6	3	-	-											
PACIFIC	3,801	2,990	83,516	81,049	598	830	206	157	-	-											
Wash.	290	299	9,417	8,590	N	N	25	9	-	-											
Oreg.	165	213	4,378	4,053	-	-	28	25	-	-											
Calif.	3,271	2,394	65,973	63,637	598	830	153	122	-	-											
Alaska	13	17	2,205	2,143	-	-	-	-	-	-											
Hawaii	62	67	1,543	2,626	-	-	-	1	-	-											
Guam	6	1	-	362	-	-	-	-	-	-											
P.R.	724	667	1,059	1,558	N	N	N	N	-	-											
V.I.	22	62	142	111	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	2	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


