
TABLE II. (Part 8)  Provisional cases of selected notifiable diseases, United States, week ending March 14, 2009 (WEEK 10)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages current week
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, all ages cummulative for 2008
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years current week
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, drug resistant †, age <5 years cummulative for 2008
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2009
Syphillis, primary & secondary cummulative for 2008

tab delimited data:
test
UNITED STATES	60	56	100	720	830	9	8	22	99	97	116	243	367	2,059	2,433						
NEW ENGLAND	-	1	48	15	15	-	0	5	-	1	9	5	14	63	52						
Conn.	-	0	48	-	-	-	0	5	-	-	5	1	3	13	3						
Maine	-	0	2	3	3	-	0	1	-	-	-	0	2	1	1						
Mass.	-	0	0	-	-	-	0	0	-	-	4	4	11	42	43						
N.H.	-	0	3	5	-	-	0	0	-	-	-	0	2	7	3						
R.I.	-	0	4	4	7	-	0	1	-	-	-	0	5	-	2						
Vt.	-	0	2	3	5	-	0	1	-	1	-	0	2	-	-						
MID. ATLANTIC	6	4	13	27	69	-	0	2	3	5	39	33	51	353	329						
N.J.	-	0	0	-	-	-	0	0	-	-	8	4	10	41	49						
N.Y. (Upstate)	2	1	6	12	11	-	0	1	2	-	3	2	8	16	21						
N.Y. City	-	1	6	-	29	-	0	0	-	-	22	23	37	247	193						
Pa.	4	1	9	15	29	-	0	2	1	5	6	5	11	49	66						
E.N. CENTRAL	9	9	40	118	167	2	1	6	15	16	3	16	33	168	386						
Ill.	N	0	0	N	N	N	0	0	N	N	-	2	11	29	257						
Ind.	-	2	31	13	53	-	0	5	-	4	2	3	10	30	22						
Mich.	-	0	3	5	6	-	0	1	-	1	1	3	18	40	29						
Ohio	9	7	18	100	108	2	1	4	15	11	-	6	19	59	64						
Wis.	-	0	0	-	-	-	0	0	-	-	-	1	4	10	14						
W.N. CENTRAL	1	2	7	21	68	-	0	2	6	3	-	7	14	50	92						
Iowa	-	0	0	-	-	-	0	0	-	-	-	0	2	3	2						
Kans.	-	1	4	6	31	-	0	1	4	1	-	0	3	2	6						
Minn.	-	0	0	-	-	-	0	0	-	-	-	2	6	12	25						
Mo.	1	1	4	15	36	-	0	1	2	1	-	4	10	31	58						
Nebr.	-	0	0	-	-	-	0	0	-	-	-	0	2	2	1						
N. Dak.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
S. Dak.	-	0	1	-	1	-	0	1	-	1	-	0	1	-	-						
S. ATLANTIC	40	22	51	410	358	6	4	14	60	50	31	58	194	481	381						
Del.	-	0	1	4	-	-	0	0	-	-	1	0	4	7	1						
D.C.	N	0	0	N	N	N	0	0	N	N	-	2	9	26	25						
Fla.	29	14	36	262	189	6	3	13	43	25	9	20	37	189	154						
Ga.	8	7	23	118	140	-	1	5	17	20	-	13	169	44	31						
Md.	-	0	2	2	2	-	0	0	-	1	3	8	16	58	56						
N.C.	N	0	0	N	N	N	0	0	N	N	8	6	19	94	55						
S.C.	-	0	0	-	-	-	0	0	-	-	-	2	6	10	18						
Va.	N	0	0	N	N	N	0	0	N	N	10	5	16	52	41						
W. Va.	3	1	7	24	27	-	0	2	-	4	-	0	1	1	-						
E.S. CENTRAL	2	5	22	75	96	-	1	4	7	11	13	22	37	213	205						
Ala.	N	0	0	N	N	N	0	0	N	N	-	8	17	64	100						
Ky.	2	1	6	22	19	-	0	2	3	3	-	1	10	12	12						
Miss.	-	0	2	-	-	-	0	1	-	-	6	3	18	38	20						
Tenn.	-	3	20	53	77	-	0	3	4	8	7	8	19	99	73						
W.S. CENTRAL	1	2	7	23	31	-	0	1	4	6	13	43	75	360	389						
Ark.	-	0	4	11	5	-	0	1	1	2	12	3	35	53	15						
La.	1	1	6	12	26	-	0	1	3	4	1	10	33	36	86						
Okla.	N	0	0	N	N	N	0	0	N	N	-	1	7	10	20						
Tex.	-	0	0	-	-	-	0	0	-	-	-	28	41	261	268						
MOUNTAIN	1	2	11	29	25	1	0	4	4	4	1	8	17	34	112						
Ariz.	-	0	0	-	-	-	0	0	-	-	-	3	13	2	58						
Colo.	-	0	0	-	-	-	0	0	-	-	1	1	5	3	22						
Idaho	N	0	1	N	N	N	0	1	N	N	-	0	2	1	1						
Mont.	-	0	1	-	-	-	0	0	-	-	-	0	7	-	-						
Nev.	1	1	3	13	10	1	0	1	2	1	-	1	7	19	19						
N. Mex.	-	0	1	-	-	-	0	0	-	-	-	1	4	9	4						
Utah	-	1	10	12	15	-	0	4	2	3	-	0	2	-	8						
Wyo.	-	0	2	4	-	-	0	0	-	-	-	0	1	-	-						
PACIFIC	-	0	1	2	1	-	0	1	-	1	7	45	72	337	487						
Alaska	-	0	0	-	-	-	0	0	-	-	-	0	1	-	-						
Calif.	N	0	0	N	N	N	0	0	N	N	6	41	66	303	436						
Hawaii	-	0	1	2	1	-	0	1	-	1	-	0	3	10	7						
Oreg.	N	0	0	N	N	N	0	0	N	N	-	0	3	7	4						
Wash.	N	0	0	N	N	N	0	0	N	N	1	3	9	17	40						
Amer. Samoa	N	0	0	N	N	N	0	0	N	N	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	9	3	11	38	21						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2008 and 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease caused by drug-resistant Streptococcus pneumoniae (DRSP) 
(NNDSS event code 11720).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


