
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending October 10, 2009 (WEEK 40)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	24	102	239	4,114	4,400	14	35	122	1,289	1,369											
NEW ENGLAND	1	5	28	242	314	1	1	12	48	65											
Conn.	-	0	21	63	90	-	0	11	-	-											
Maine	-	0	2	14	23	-	0	1	4	1											
Mass.	-	3	10	103	144	-	1	4	30	47											
N.H.	-	1	4	34	21	-	0	2	9	9											
R.I.	-	0	2	11	23	-	0	2	1	8											
Vt.	1	0	3	17	13	1	0	1	4	-											
MID. ATLANTIC	4	20	43	840	884	3	4	33	192	169											
N.J.	-	3	7	117	158	-	1	4	36	49											
N.Y. (Upstate)	3	7	25	275	277	3	2	17	90	77											
N.Y. City	-	4	12	161	163	-	0	31	66	43											
Pa.	1	6	18	287	286	N	0	2	N	N											
E.N. CENTRAL	-	17	42	760	828	-	6	18	201	255											
Ill.	-	5	12	211	219	-	1	5	23	74											
Ind.	-	2	23	122	111	-	0	13	31	27											
Mich.	-	3	11	121	148	-	1	5	49	61											
Ohio	-	4	13	189	226	-	1	6	59	48											
Wis.	-	2	11	117	124	-	1	3	39	45											
W.N. CENTRAL	6	6	37	331	324	3	2	11	117	75											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	35	N	0	1	N	N											
Minn.	6	0	34	152	154	3	0	10	69	23											
Mo.	-	2	8	73	75	-	0	4	30	32											
Nebr.	-	1	3	37	32	-	0	1	8	7											
N. Dak.	-	0	4	11	8	-	0	3	4	6											
S. Dak.	-	0	3	21	20	-	0	2	6	7											
S. ATLANTIC	4	22	49	932	905	1	6	16	238	268											
Del.	-	0	1	10	6	-	0	0	-	-											
D.C.	-	0	3	11	12	N	0	0	N	N											
Fla.	1	6	12	231	207	1	1	6	55	51											
Ga.	2	5	13	225	205	-	2	6	62	73											
Md.	-	3	12	147	151	-	1	4	56	47											
N.C.	-	2	12	84	118	N	0	0	N	N											
S.C.	-	1	5	57	58	-	1	6	35	51											
Va.	1	3	9	133	114	-	0	4	18	38											
W. Va.	-	1	4	34	34	-	0	3	12	8											
E.S. CENTRAL	2	3	10	158	158	-	2	7	70	67											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	2	1	5	32	33	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	14	8											
Tenn.	-	3	9	126	125	-	1	6	56	59											
W.S. CENTRAL	5	9	79	361	397	5	5	46	221	219											
Ark.	1	0	2	15	9	-	0	4	22	11											
La.	-	0	3	11	15	-	0	3	13	11											
Okla.	1	3	20	117	90	2	1	7	50	56											
Tex.	3	5	59	218	283	3	3	34	136	141											
MOUNTAIN	2	10	22	356	465	1	4	16	175	210											
Ariz.	2	3	7	124	163	1	2	10	94	93											
Colo.	-	3	7	108	117	-	0	4	31	49											
Idaho	-	0	2	8	14	-	0	2	7	4											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	10	-	0	1	-	3											
N. Mex.	-	2	7	63	110	-	0	4	15	30											
Utah	-	1	6	47	45	-	0	5	28	29											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	4	9	134	125	-	0	4	27	41											
Alaska	-	1	4	27	30	-	0	3	20	25											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	107	95	-	0	2	7	16											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


