
TABLE II. (Part 7)  Provisional cases of selected notifiable diseases, United States, week ending November 7, 2009 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcal disease, invasive, group A current week
Streptococcal disease, invasive, group A previous 52 weeks median 
Streptococcal disease, invasive, group A previous 52 weeks maximum 
Streptococcal disease, invasive, group A cummulative for 2009
Streptococcal disease, invasive, group A cummulative for 2008
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years current week
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2009
Streptococcus pneumoniae, invasive disease, nondrug resistant †, Age <5 years cummulative for 2008

tab delimited data:
test
UNITED STATES	26	102	239	4,329	4,663	15	35	122	1,422	1,501											
NEW ENGLAND	5	4	28	254	332	-	1	12	51	74											
Conn.	5	0	21	68	91	-	0	11	-	-											
Maine	-	0	2	16	25	-	0	1	5	1											
Mass.	-	2	10	107	155	-	0	4	30	52											
N.H.	-	0	4	34	24	-	0	2	11	11											
R.I.	-	0	2	11	24	-	0	1	1	10											
Vt.	-	0	3	18	13	-	0	1	4	-											
MID. ATLANTIC	4	20	43	868	930	2	5	33	206	186											
N.J.	-	3	7	124	167	-	1	4	38	59											
N.Y. (Upstate)	2	7	25	283	293	2	2	17	101	84											
N.Y. City	-	4	12	162	170	-	0	31	67	43											
Pa.	2	6	18	299	300	N	0	2	N	N											
E.N. CENTRAL	-	17	42	780	868	2	5	18	217	279											
Ill.	-	5	12	219	229	-	0	5	23	82											
Ind.	-	2	23	124	115	-	0	13	31	30											
Mich.	-	3	11	124	159	-	1	5	56	66											
Ohio	-	4	13	191	236	1	1	6	63	52											
Wis.	-	2	11	122	129	1	1	3	44	49											
W.N. CENTRAL	2	6	37	350	340	1	2	11	126	86											
Iowa	-	0	0	-	-	-	0	0	-	-											
Kans.	-	0	5	37	35	N	0	1	N	N											
Minn.	-	0	34	161	154	-	0	10	74	28											
Mo.	1	1	8	76	82	1	0	4	31	33											
Nebr.	1	1	3	40	37	-	0	1	11	7											
N. Dak.	-	0	4	15	10	-	0	3	4	9											
S. Dak.	-	0	3	21	22	-	0	2	6	9											
S. ATLANTIC	9	22	49	996	973	2	7	18	265	289											
Del.	-	0	1	10	7	-	0	0	-	-											
D.C.	-	0	3	12	14	N	0	0	N	N											
Fla.	7	6	12	245	225	2	1	6	60	55											
Ga.	-	6	13	240	216	-	2	6	67	82											
Md.	1	3	12	166	168	-	1	7	64	49											
N.C.	-	2	12	86	125	N	0	0	N	N											
S.C.	-	1	5	63	65	-	1	6	39	53											
Va.	1	3	9	138	118	-	0	4	23	40											
W. Va.	-	1	4	36	35	-	0	3	12	10											
E.S. CENTRAL	1	3	10	164	164	2	2	7	83	78											
Ala.	N	0	0	N	N	N	0	0	N	N											
Ky.	1	1	5	33	35	N	0	0	N	N											
Miss.	N	0	0	N	N	-	0	2	18	9											
Tenn.	-	3	9	131	129	2	1	6	65	69											
W.S. CENTRAL	5	8	79	388	425	6	5	46	250	238											
Ark.	-	0	3	17	11	1	0	4	23	12											
La.	-	0	3	11	17	-	0	3	13	13											
Okla.	2	3	20	123	97	-	1	7	52	60											
Tex.	3	5	59	237	300	5	3	34	162	153											
MOUNTAIN	-	10	22	387	489	-	4	16	195	228											
Ariz.	-	3	7	127	175	-	2	10	97	99											
Colo.	-	3	7	120	122	-	0	4	40	53											
Idaho	-	0	2	10	14	-	0	2	7	5											
Mont.	N	0	0	N	N	N	0	0	N	N											
Nev.	-	0	1	5	11	-	0	1	-	3											
N. Mex.	-	2	7	72	114	-	0	4	21	31											
Utah	-	1	6	52	47	-	0	5	30	35											
Wyo.	-	0	1	1	6	-	0	0	-	2											
PACIFIC	-	3	9	142	142	-	0	4	29	43											
Alaska	-	1	4	31	32	-	0	3	22	26											
Calif.	N	0	0	N	N	N	0	0	N	N											
Hawaii	-	3	8	111	110	-	0	2	7	17											
Oreg.	N	0	0	N	N	N	0	0	N	N											
Wash.	N	0	0	N	N	N	0	0	N	N											
Amer. Samoa	-	0	0	-	30	N	0	0	N	N											
C.N.M.I.	-	-	-	-	-	-	-	-	-	-											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	N	0	0	N	N											
V.I.	-	0	0	-	-	N	0	0	N	N											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting year 2009 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.

† Includes cases of invasive pneumococcal disease, in children aged <5 years, caused by Streptococcus pneumoniae, 
which is susceptible or for which susceptibility testing is not available (NNDSS event code 11717).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


