
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 17, 2004 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	38	34	-	1	-	-	4	4	123	147											
NEW ENGLAND	1	3	-	-	-	-	-	-	14	3											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	-	-	-	-	-	-	-	-	-											
Vt.	1	-	-	-	-	-	-	-	-	-											
Mass.	-	1	-	-	-	-	-	-	13	3											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	-	2	-	-	-	-	-	-	1	-											
MID. ATLANTIC	15	9	-	-	-	-	1	1	19	32											
Upstate N.Y.	3	-	-	-	-	-	-	-	1	-											
N.Y. City	2	4	-	-	-	-	1	1	1	22											
N.J.	-	2	-	-	-	-	-	-	3	4											
Pa.	10	3	-	-	-	-	-	-	14	6											
E.N. CENTRAL	5	4	-	-	-	-	2	1	9	21											
Ohio	3	1	-	-	-	-	1	1	1	4											
Ind.	-	-	-	-	-	-	-	-	-	-											
Ill.	-	2	-	-	-	-	-	-	3	4											
Mich.	2	-	-	-	-	-	1	-	5	10											
Wis.	-	1	-	-	-	-	-	-	-	3											
W.N. CENTRAL	-	1	-	-	-	-	-	-	4	3											
Minn.	-	-	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	2	2											
Mo.	-	1	-	-	-	-	-	-	-	1											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	-	-	-	-	-	-	-	-	-	-											
Kans.	-	-	-	-	-	-	-	-	2	-											
S. ATLANTIC	14	6	-	-	-	-	1	-	39	63											
Del.	-	-	-	-	-	-	-	-	-	1											
Md.	4	4	-	-	-	-	-	-	5	8											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	-	-	-	-	-	-	-	-	-	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	-	-	-	-											
S.C.	-	-	-	-	-	-	-	-	-	-											
Ga.	6	2	-	-	-	-	1	-	21	34											
Fla.	4	-	-	-	-	-	-	-	13	20											
E.S. CENTRAL	1	3	-	-	-	-	-	1	-	3											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	1	1	-	-	-	-	-	-	-	-											
Ala.	-	2	-	-	-	-	-	1	-	2											
Miss.	-	-	-	-	-	-	-	-	-	1											
W.S. CENTRAL	1	1	-	-	-	-	-	-	1	13											
Ark.	-	-	-	-	-	-	-	-	-	-											
La.	-	1	-	-	-	-	-	-	-	1											
Okla.	1	-	-	-	-	-	-	-	-	-											
Tex.	-	-	-	-	-	-	-	-	1	12											
MOUNTAIN	-	6	-	-	-	-	-	1	1	7											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	-	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	-	2	-	-	-	-	-	-	-	1											
N. Mex.	-	-	-	-	-	-	-	-	-	-											
Ariz.	-	3	-	-	-	-	-	-	-	4											
Utah	-	1	-	-	-	-	-	1	-	-											
Nev.	-	-	-	-	-	-	-	-	-	2											
PACIFIC	1	1	-	1	-	-	-	-	36	2											
Wash.	-	-	-	-	-	-	-	-	-	-											
Oreg.	1	-	-	-	-	-	-	-	1	2											
Calif.	-	1	-	1	-	-	-	-	35	-											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	-	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


