
TABLE II. (Part 4)  Provisional cases of selected notifiable diseases, United States, week ending March 4, 2006 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Lyme disease current week
Lyme disease previous 52 weeks median 
Lyme disease previous 52 weeks maximum 
Lyme disease cummulative for 2006
Lyme disease cummulative for 2005
Malaria current week
Malaria previous 52 weeks median 
Malaria previous 52 weeks maximum 
Malaria cummulative for 2006
Malaria cummulative for 2005

tab delimited data:
test
UNITED STATES	39	292	1,327	476	1,192	5	24	45	151	189											
NEW ENGLAND	2	47	228	29	97	-	1	12	6	5											
Conn.	2	9	154	22	3	-	0	10	-	-											
Maine	-	2	25	2	5	-	0	1	-	-											
Mass.	-	16	160	-	76	-	0	4	5	4											
N.H.	-	3	17	4	11	-	0	1	-	1											
R.I.	-	0	12	-	1	-	0	1	-	-											
Vt.	-	0	5	1	1	-	0	2	1	-											
MID. ATLANTIC	26	179	916	277	786	-	6	15	28	50											
N.J.	-	30	303	47	289	-	1	7	-	14											
N.Y. (Upstate)	21	48	824	87	108	-	1	9	4	5											
N.Y. City	-	0	0	-	-	-	3	8	18	25											
Pa.	5	60	464	143	389	-	1	2	6	6											
E.N. CENTRAL	-	13	157	13	52	2	2	6	18	18											
Ill.	-	0	6	-	-	-	0	2	4	6											
Ind.	-	0	4	-	1	-	0	3	3	-											
Mich.	-	1	7	3	1	-	0	2	2	6											
Ohio	-	1	5	1	12	2	0	3	6	3											
Wis.	-	10	148	9	38	-	0	2	3	3											
W.N. CENTRAL	2	13	99	12	27	-	1	5	5	7											
Iowa	-	1	8	-	3	-	0	1	1	2											
Kans.	-	0	3	1	2	-	0	1	-	1											
Minn.	1	9	96	9	22	-	0	3	2	1											
Mo.	-	0	2	1	-	-	0	3	1	3											
Nebr.	1	0	1	1	-	-	0	2	-	-											
N. Dak.	-	0	0	-	-	-	0	0	-	-											
S. Dak.	-	0	1	-	-	-	0	1	1	-											
S. ATLANTIC	6	33	125	111	208	-	6	15	47	37											
Del.	-	9	37	40	78	-	0	1	-	1											
D.C.	2	0	2	5	1	-	0	2	-	-											
Fla.	3	1	8	9	9	-	1	6	5	6											
Ga.	-	0	1	-	1	-	0	6	14	7											
Md.	-	16	86	51	101	-	1	9	18	11											
N.C.	-	0	5	5	11	-	0	8	4	5											
S.C.	1	0	3	1	4	-	0	2	1	1											
Va.	-	3	20	-	3	-	0	5	5	5											
W. Va.	-	0	6	-	-	-	0	2	-	1											
E.S. CENTRAL	-	1	4	-	2	-	0	2	2	5											
Ala.	-	0	1	-	-	-	0	1	1	1											
Ky.	-	0	1	-	-	-	0	2	1	1											
Miss.	-	0	0	-	-	-	0	0	-	-											
Tenn.	-	0	4	-	2	-	0	2	-	3											
W.S. CENTRAL	-	1	8	-	8	-	1	9	4	18											
Ark.	-	0	2	-	-	-	0	2	-	1											
La.	-	0	2	-	1	-	0	1	-	1											
Okla.	-	0	0	-	-	-	0	6	1	-											
Tex.	-	0	7	-	7	-	1	9	3	16											
MOUNTAIN	-	0	4	-	-	1	1	5	9	11											
Ariz.	-	0	4	-	-	-	0	4	1	2											
Colo.	-	0	1	-	-	1	0	3	3	5											
Idaho	-	0	1	-	-	-	0	0	-	-											
Mont.	-	0	0	-	-	-	0	0	-	-											
Nev.	-	0	2	-	-	-	0	2	-	-											
N. Mex.	-	0	1	-	-	-	0	1	-	1											
Utah	-	0	1	-	-	-	0	2	5	2											
Wyo.	-	0	1	-	-	-	0	1	-	1											
PACIFIC	3	3	14	34	12	2	4	12	32	38											
Alaska	-	0	1	-	1	-	0	1	1	1											
Calif.	3	2	11	34	10	1	3	9	25	34											
Hawaii	N	0	0	N	N	-	0	4	-	1											
Oreg.	-	0	3	-	1	-	0	2	2	2											
Wash.	-	0	3	-	-	1	0	5	4	-											
Amer. Samoa	U	0	0	U	U	U	0	0	U	U											
C.N.M.I.	U	0	0	U	U	U	0	0	U	U											
Guam	-	0	0	-	-	-	0	0	-	-											
P.R.	N	0	0	N	N	-	0	1	-	-											
V.I.	-	0	0	-	-	-	0	0	-	-											

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not notifiable.
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Incidence data for reporting years 2005 and 2006 are provisional.
Data for HIV/AIDS, AIDS, and TB, when available, are displayed in Table IV, which appears quarterly.


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


