
TABLE II. (Part 6)  Provisional cases of selected notifiable diseases, United States, week ending June 28, 2003 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
Salmonellosis cummulative for 2003
Salmonellosis cummulative for 2002
Shigellosis cummulative for 2003
Shigellosis cummulative for 2002
Streptococcal Disease, Invasive, Group A cummulative for 2003
Streptococcal Disease, Invasive, Group A cummulative for 2002
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2003
Streptococcus pneumoniae, Drug Resistant, Invasive, All Ages cummulative for 2002
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2003
Streptococcus pneumoniae, Invasive Disease, Age < 5 Years cummulative for 2002

tab delimited data:
test
UNITED STATES	13,381	15,972	9,055	7,588	3,014	2,801	1,248	1,571	224	168											
NEW ENGLAND	742	853	126	124	178	211	16	70	5	1											
Maine	54	67	5	3	19	16	-	-	-	-											
N.H.	49	47	4	4	17	23	-	-	N	N											
Vt.	26	32	5	-	16	9	6	3	2	1											
Mass.	418	493	76	91	121	75	N	N	N	N											
R.I.	39	49	4	5	5	10	10	6	3	-											
Conn.	156	165	32	21	-	78	-	61	U	U											
MID. ATLANTIC	1,528	2,264	972	612	504	482	78	76	57	46											
Upstate N.Y.	396	590	150	78	231	201	38	67	45	40											
N.Y. City	438	587	165	205	71	116	U	U	U	U											
N.J.	116	497	122	216	29	97	N	N	N	N											
Pa.	578	590	535	113	173	68	40	9	12	6											
E.N. CENTRAL	1,911	2,519	815	785	716	601	271	120	87	60											
Ohio	612	612	155	325	210	137	185	14	63	-											
Ind.	240	185	65	37	63	30	86	104	19	23											
Ill.	530	927	405	282	173	187	-	2	-	-											
Mich.	308	405	131	69	253	175	N	N	N	N											
Wis.	221	390	59	72	17	72	N	N	5	37											
W.N. CENTRAL	957	1,039	376	579	214	163	114	319	37	29											
Minn.	234	233	44	110	108	82	-	220	31	25											
Iowa	154	169	23	59	N	N	N	N	N	N											
Mo.	334	365	179	67	42	35	7	5	2	1											
N. Dak.	21	24	1	16	8	-	3	1	4	3											
S. Dak.	32	39	8	148	17	9	-	1	-	-											
Nebr.	69	63	85	125	19	14	-	25	N	N											
Kans.	113	146	36	54	20	23	104	67	N	N											
S. ATLANTIC	3,534	3,541	3,707	2,480	567	455	635	723	7	16											
Del.	32	25	135	8	6	1	1	3	N	N											
Md.	354	326	271	422	179	68	-	-	-	13											
D.C.	15	37	30	34	10	5	2	-	3	1											
Va.	370	363	198	454	72	51	N	N	N	N											
W. Va.	38	44	-	3	26	11	40	34	4	2											
N.C.	483	495	449	144	66	89	N	N	U	U											
S.C.	181	197	221	44	24	28	73	121	N	N											
Ga.	685	607	1,096	611	70	90	172	187	N	N											
Fla.	1,376	1,447	1,307	760	114	112	347	378	N	N											
E.S. CENTRAL	935	976	478	624	122	67	86	93	-	-											
Ky.	155	147	58	66	30	11	11	11	N	N											
Tenn.	299	237	160	29	92	56	75	82	N	N											
Ala.	261	264	162	292	-	-	-	-	N	N											
Miss.	220	328	98	237	-	-	-	-	-	-											
W.S. CENTRAL	797	1,561	1,168	1,190	107	177	29	140	28	14											
Ark.	213	255	47	96	4	4	7	5	-	-											
La.	96	330	93	250	1	1	22	135	10	4											
Okla.	141	158	442	208	53	31	N	N	18	1											
Tex.	347	818	586	636	49	141	N	N	-	9											
MOUNTAIN	949	951	456	269	313	343	18	30	3	2											
Mont.	48	42	2	2	2	-	-	-	-	-											
Idaho	90	58	11	2	12	5	N	N	N	N											
Wyo.	48	29	1	3	1	7	4	10	-	-											
Colo.	230	251	68	53	85	72	-	-	-	-											
N. Mex.	82	130	90	54	75	67	14	20	-	-											
Ariz.	291	264	236	124	129	171	-	-	N	N											
Utah	94	67	23	16	8	21	-	-	3	2											
Nev.	66	110	25	15	1	-	-	-	-	-											
PACIFIC	2,028	2,268	957	925	293	302	1	-	-	-											
Wash.	238	207	75	54	26	18	-	-	N	N											
Oreg.	190	184	52	41	N	N	N	N	N	N											
Calif.	1,504	1,719	822	800	233	255	N	N	N	N											
Alaska	44	35	4	2	-	-	-	-	N	N											
Hawaii	52	123	4	28	34	29	1	-	-	-											
Guam	-	25	-	17	-	-	-	3	-	-											
P.R.	124	175	1	15	N	N	N	N	N	N											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


