
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 1, 2003 (WEEK 05)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), 0157:H7 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, serogroup non-0157 cummulative for 2002
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2003
Escherichia coli, Enterohemorrhagic, (EHEC), shiga toxin positive, not serogrouped cummulative for 2002
Giardiasis cummulative for 2003
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2003
Gonorrhea cummulative for 2002

tab delimited data:
test
UNITED STATES	63	115	3	5	3	2	1,286	1,202	23,573	31,505											
NEW ENGLAND	6	6	-	1	-	-	49	133	506	784											
Maine	-	-	-	-	-	-	8	13	5	7											
N.H.	-	1	-	-	-	-	4	8	11	9											
Vt.	-	-	-	-	-	-	6	14	11	14											
Mass.	3	1	-	1	-	-	30	74	110	375											
R.I.	-	1	-	-	-	-	1	8	105	82											
Conn.	3	3	-	-	-	-	-	16	264	297											
MID. ATLANTIC	3	8	-	-	-	-	472	249	1,076	3,387											
Upstate N.Y.	3	5	-	-	-	-	34	36	482	328											
N.Y. City	-	-	-	-	-	-	425	104	129	1,214											
N.J.	-	3	-	-	-	-	6	45	465	792											
Pa.	N	N	-	-	-	-	7	64	-	1,053											
E.N. CENTRAL	12	38	-	-	1	1	167	290	6,485	6,369											
Ohio	4	7	-	-	1	1	99	74	3,414	2,066											
Ind.	-	2	-	-	-	-	-	-	520	660											
Ill.	-	16	-	-	-	-	2	99	796	2,042											
Mich.	6	4	-	-	-	-	61	65	1,312	1,043											
Wis.	2	9	-	-	-	-	5	52	443	558											
W.N. CENTRAL	12	21	-	2	1	-	81	92	909	1,712											
Minn.	6	6	-	2	-	-	6	13	73	327											
Iowa	1	6	-	-	-	-	27	22	31	63											
Mo.	2	2	N	N	N	N	14	26	507	835											
N. Dak.	-	-	-	-	1	-	2	-	1	1											
S. Dak.	-	-	-	-	-	-	3	7	7	24											
Nebr.	3	4	-	-	-	-	12	11	5	111											
Kans.	-	3	-	-	-	-	17	13	285	351											
S. ATLANTIC	9	15	1	1	-	-	223	223	6,177	7,623											
Del.	-	1	-	-	-	-	5	6	147	174											
Md.	-	-	-	-	-	-	10	15	802	775											
D.C.	-	-	-	-	-	-	-	6	286	284											
Va.	1	1	-	-	-	-	11	5	645	901											
W. Va.	-	-	-	-	-	-	-	-	80	86											
N.C.	3	3	-	-	-	-	-	-	1,303	1,385											
S.C.	-	-	-	-	-	-	4	-	120	795											
Ga.	-	10	-	-	-	-	125	34	1,221	1,184											
Fla.	5	-	1	1	-	-	68	157	1,573	2,039											
E.S. CENTRAL	5	-	-	-	-	-	26	19	2,569	2,922											
Ky.	-	-	-	-	-	-	-	-	285	332											
Tenn.	3	-	-	-	-	-	11	2	678	984											
Ala.	2	-	-	-	-	-	15	17	890	979											
Miss.	-	-	-	-	-	-	-	-	716	627											
W.S. CENTRAL	1	3	-	-	-	1	16	7	3,870	4,910											
Ark.	1	-	-	-	-	-	13	7	380	511											
La.	-	-	-	-	-	-	-	-	861	1,148											
Okla.	-	-	-	-	-	-	3	-	223	373											
Tex.	-	3	-	-	-	1	-	-	2,406	2,878											
MOUNTAIN	5	5	2	1	1	-	112	97	591	1,118											
Mont.	-	-	-	-	-	-	2	3	10	18											
Idaho	1	1	1	-	-	-	17	2	7	9											
Wyo.	-	-	-	1	-	-	2	-	6	4											
Colo.	1	1	-	-	1	-	36	43	223	395											
N. Mex.	-	1	1	-	-	-	1	13	23	141											
Ariz.	1	-	-	-	-	-	27	6	196	378											
Utah	2	-	-	-	-	-	15	14	17	1											
Nev.	-	2	-	-	-	-	12	16	109	172											
PACIFIC	10	19	-	-	-	-	140	92	1,390	2,680											
Wash.	3	3	-	-	-	-	3	16	247	266											
Oreg.	1	5	-	-	-	-	25	58	71	86											
Calif.	4	11	-	-	-	-	96	-	949	2,213											
Alaska	-	-	-	-	-	-	8	8	45	61											
Hawaii	2	-	-	-	-	-	8	10	78	54											
Guam	N	N	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	8	53											
V.I.	-	-	-	-	-	-	-	-	-	7											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2002 and 2003 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


