
TABLE II. (Part 10)  Provisional cases of selected notifiable diseases, United States, week ending March 2, 2013 (WEEK 09)*

column labels in same order that data fields appears in each record below:
Reporting Area
Streptococcus pneumoniae, invasive disease †, all ages current week
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, all ages previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2013
Streptococcus pneumoniae, invasive disease †, all ages cummulative for 2012
Streptococcus pneumoniae, invasive disease †, age <5 years current week
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks median 
Streptococcus pneumoniae, invasive disease †, age <5 years previous 52 weeks maximum 
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2013
Streptococcus pneumoniae, invasive disease †, age <5 years cummulative for 2012
Syphillis, primary & secondary current week
Syphillis, primary & secondary previous 52 weeks median 
Syphillis, primary & secondary previous 52 weeks maximum 
Syphillis, primary & secondary cummulative for 2013
Syphillis, primary & secondary cummulative for 2012

tab delimited data:
test
UNITED STATES	247	264	685	3,399	3,459	16	22	43	172	257	63	293	378	1,749	2,448						
NEW ENGLAND	1	11	31	119	153	-	1	4	2	11	3	8	18	56	93						
Conn.	-	5	21	60	76	-	0	2	-	5	-	0	4	3	20						
Maine	-	2	8	27	23	-	0	1	1	1	-	0	5	-	2						
Mass.	-	0	3	1	8	-	0	2	1	4	3	6	13	43	53						
N.H.	-	1	5	13	19	-	0	1	-	1	-	1	4	3	5						
R.I.	-	0	9	-	13	-	0	1	-	-	-	0	4	5	13						
Vt.	1	1	6	18	14	-	0	0	-	-	-	0	2	2	-						
MID. ATLANTIC	22	36	63	395	494	2	2	5	21	24	11	35	51	252	298						
N.J.	-	4	20	2	157	-	0	3	-	8	-	4	8	10	33						
N.Y. (Upstate)	20	18	39	211	200	2	1	4	13	10	7	4	17	48	20						
N.Y. City	2	14	35	182	137	-	0	3	8	6	-	18	30	109	157						
Pa.	N	-	-	N	N	N	0	0	N	N	4	9	18	85	88						
E.N. CENTRAL	49	57	128	714	702	-	4	12	18	44	-	33	57	108	277						
Ill.	N	0	0	N	N	-	1	3	2	8	-	12	20	24	120						
Ind.	-	13	42	108	170	-	1	2	-	5	-	4	10	20	34						
Mich.	6	13	30	144	151	-	0	3	6	9	-	5	14	19	48						
Ohio	35	21	63	339	274	-	1	6	7	14	-	8	15	33	65						
Wis.	8	9	29	123	107	-	0	2	3	8	-	2	5	12	10						
W.N. CENTRAL	1	14	34	159	169	-	1	5	16	24	-	7	16	54	56						
Iowa	N	0	0	N	N	N	0	0	N	N	-	1	4	5	5						
Kans.	N	0	0	N	N	N	0	0	N	N	-	0	3	2	2						
Minn.	-	9	24	101	103	-	0	3	7	6	-	3	5	16	16						
Mo.	N	0	0	N	N	-	0	3	5	9	-	3	7	25	31						
Nebr.	-	2	8	32	41	-	0	2	3	3	-	0	2	4	1						
N. Dak.	-	0	4	-	2	-	0	1	-	-	-	0	1	-	1						
S. Dak.	1	2	6	26	23	-	0	1	1	6	-	0	2	2	-						
S. ATLANTIC	85	58	124	845	793	9	4	13	54	53	21	65	104	401	596						
Del.	-	0	3	6	10	-	0	1	-	-	-	0	6	3	7						
D.C.	2	1	4	12	9	-	0	1	-	1	-	3	10	32	34						
Fla.	40	18	59	311	248	5	1	6	20	19	4	25	36	179	243						
Ga.	10	15	44	229	220	1	1	6	16	11	7	11	31	65	112						
Md.	13	7	25	121	118	1	0	5	6	6	-	8	15	56	57						
N.C.	N	0	0	N	N	N	0	0	N	N	-	3	14	-	68						
S.C.	19	6	17	104	114	1	0	3	3	4	-	4	9	25	37						
Va.	N	0	0	N	N	-	0	5	6	6	10	4	40	41	37						
W. Va.	1	6	33	62	74	1	0	2	3	6	-	0	2	-	1						
E.S. CENTRAL	17	22	56	330	323	-	2	5	15	24	1	14	25	58	115						
Ala.	1	2	10	48	26	-	0	3	5	-	-	4	10	10	32						
Ky.	4	4	12	66	49	-	0	1	-	1	1	2	9	11	18						
Miss.	1	3	12	52	49	-	0	2	3	8	-	2	12	14	24						
Tenn.	11	12	37	164	199	-	0	3	7	15	-	5	14	23	41						
W.S. CENTRAL	49	27	332	420	366	4	3	22	24	38	6	43	66	243	357						
Ark.	9	3	23	60	43	1	0	2	1	6	3	3	13	24	50						
La.	-	4	14	55	54	-	0	4	4	4	1	6	20	24	35						
Okla.	N	0	0	N	N	-	0	4	2	6	2	2	5	16	17						
Tex.	40	20	309	305	269	3	2	22	17	22	-	33	48	179	255						
MOUNTAIN	22	28	58	395	427	1	2	7	18	32	-	12	25	60	95						
Ariz.	14	9	40	212	184	-	1	3	9	16	-	3	8	2	36						
Colo.	-	6	22	47	83	-	0	3	-	5	-	4	12	29	28						
Idaho	N	0	0	N	N	-	0	1	1	-	-	0	4	1	5						
Mont.	2	0	4	8	14	-	0	1	2	-	-	0	1	1	-						
Nev.	1	1	8	29	28	1	0	2	1	3	-	2	8	16	13						
N. Mex.	5	5	17	80	65	-	0	4	3	6	-	2	5	7	9						
Utah	-	3	10	15	49	-	0	3	2	2	-	1	3	4	4						
Wyo.	-	0	2	4	4	-	0	1	-	-	-	0	1	-	-						
PACIFIC	1	4	10	22	32	-	0	2	4	7	21	70	101	517	561						
Alaska	-	3	8	17	21	-	0	1	3	7	-	0	2	3	3						
Calif.	N	0	0	N	N	N	0	0	N	N	14	60	83	458	475						
Hawaii	1	1	6	5	11	-	0	1	1	-	-	0	2	1	2						
Oreg.	N	0	0	N	N	N	0	0	N	N	6	4	11	40	22						
Wash.	N	0	0	N	N	N	0	0	N	N	1	5	13	15	59						
Amer. Samoa	N	0	0	N	N	-	0	0	-	-	-	0	0	-	-						
C.N.M.I.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
Guam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-						
P.R.	-	0	0	-	-	-	0	0	-	-	5	7	17	59	35						
V.I.	-	0	0	-	-	-	0	0	-	-	-	0	0	-	-						

C.N.M.I.: Commonwealth of Northern Mariana Islands.
U: Unavailable.
-: No reported cases.
N: Not reportable.
NN: Not Nationally Notifiable
Cum: Cumulative year-to-date counts.
Med: Median.
Max: Maximum.

* Case counts for reporting years 2012 and 2013 are provisional and subject to change.
For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. 
Data for TB are displayed in Table IV, which appears quarterly.

† Includes drug resistant and susceptible cases of invasive Streptococcus pneumoniae disease among
children <5 years and among all ages.  Case definition: Isolation of S. pneumoniae from a normally
sterile body site (e.g. blood or cerebrospinal fluid).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


