
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending January 30, 1999 (WEEK 04)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999*
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1999
Gonorrhea cummulative for 1999
Gonorrhea cummulative for 1998
Hepatitis C/NA,NB cummulative for 1999
Hepatitis C/NA,NB cummulative for 1998

tab delimited data:
test
UNITED STATES	-	3,132	29,548	39,969	69	17	18,338	25,726	111	200											
NEW ENGLAND	-	64	929	1,552	12	3	270	505	24	7											
Maine	-	2	17	17	1	-	1	5	-	-											
N.H.	-	-	63	69	-	-	1	14	-	-											
Vt.	-	5	12	25	-	-	4	-	-	1											
Mass.	-	6	675	662	7	3	218	179	24	6											
R.I.	-	13	161	207	-	-	45	28	-	-											
Conn.	-	38	1	572	4	-	1	279	-	-											
MID. ATLANTIC	-	893	4,422	4,592	3	-	2,309	3,177	-	10											
Upstate N.Y.	-	114	N	N	3	-	51	579	-	10											
N.Y. City	-	488	2,725	2,630	-	-	1,353	1,413	-	-											
N.J.	-	131	132	840	-	-	85	623	-	-											
Pa.	-	160	1,565	1,122	N	-	820	562	-	-											
E.N. CENTRAL	-	203	5,033	6,964	18	2	3,883	5,210	11	41											
Ohio	-	33	1,648	2,537	14	2	1,083	1,442	-	2											
Ind.	-	38	-	-	4	-	561	459	-	1											
Ill.	-	102	1,431	1,599	-	-	751	1,475	-	6											
Mich.	-	15	1,844	1,807	-	-	1,418	1,421	11	32											
Wis.	-	15	110	1,021	N	-	70	413	-	-											
W.N. CENTRAL	-	57	802	2,578	11	4	305	973	-	33											
Minn.	-	15	145	528	7	4	70	217	-	-											
Iowa	-	6	42	191	4	-	16	41	-	1											
Mo.	-	19	-	956	-	-	-	355	-	32											
N. Dak.	-	-	-	74	-	-	-	8	-	-											
S. Dak.	-	4	125	129	-	-	17	22	-	-											
Nebr.	-	9	224	203	-	-	109	93	-	-											
Kans.	-	4	266	497	-	-	93	237	-	-											
S. ATLANTIC	-	774	8,166	6,991	8	3	6,818	6,430	18	6											
Del.	-	13	217	135	-	-	128	114	-	-											
Md.	-	52	595	566	1	-	690	547	14	2											
D.C.	-	84	N	N	-	-	200	289	-	-											
Va.	-	38	1,047	718	N	-	1,060	560	-	1											
W. Va.	-	5	163	236	-	1	54	70	-	-											
N.C.	-	45	1,696	1,153	2	1	1,618	1,106	-	2											
S.C.	-	59	2,532	1,402	1	1	1,483	1,093	1	-											
Ga.	-	113	-	1,554	-	-	-	1,575	-	-											
Fla.	-	365	1,916	1,227	2	-	1,585	1,076	3	1											
E.S. CENTRAL	-	156	1,765	2,846	4	-	1,707	3,093	7	7											
Ky.	-	19	-	385	-	-	-	343	-	2											
Tenn.	-	52	1,028	1,024	3	-	863	994	6	5											
Ala.	-	56	737	707	1	-	844	1,034	1	-											
Miss.	-	29	-	730	-	-	-	722	-	-											
W.S. CENTRAL	-	380	2,416	5,499	-	-	1,727	3,976	1	1											
Ark.	-	17	292	186	-	-	105	347	-	-											
La.	-	66	1,427	1,002	-	-	1,206	1,063	1	-											
Okla.	-	14	697	572	-	-	416	344	-	-											
Tex.	-	283	-	3,739	-	-	-	2,222	-	1											
MOUNTAIN	-	87	1,695	2,008	4	1	435	632	5	20											
Mont.	-	5	60	6	-	-	1	-	-	3											
Idaho	-	3	-	111	-	-	-	12	2	6											
Wyo.	-	-	-	48	-	-	-	2	-	3											
Colo.	-	21	652	440	2	1	97	221	1	2											
N. Mex.	-	9	394	366	1	-	87	71	2	3											
Ariz.	-	33	522	761	-	-	243	283	-	-											
Utah	-	13	67	153	1	-	7	17	-	2											
Nev.	-	3	-	123	-	-	-	26	-	1											
PACIFIC	-	518	4,320	6,939	9	4	884	1,730	45	75											
Wash.	-	32	-	810	-	1	-	140	1	-											
Oreg.	-	13	152	530	2	3	26	82	-	-											
Calif.	-	468	3,992	5,295	7	-	833	1,456	44	75											
Alaska	-	-	120	131	-	-	18	21	-	-											
Hawaii	-	5	56	173	-	-	7	31	-	-											
Guam	-	-	-	10	N	-	-	3	-	-											
P.R.	-	87	U	U	-	U	21	40	-	-											
V.I.	-	1	N	N	N	U	U	U	U	U											
Amer. Samoa	-	-	U	U	N	U	U	U	U	U											
C.N.M.I.	-	-	N	N	N	U	-	5	-	-											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


