
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending January 20, 2001 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Gonorrhea cummulative for 2001
Gonorrhea cummulative for 2000
Hepatitis C/NA,NB cummulative for 2001
Hepatitis C/NA,NB cummulative for 2000
Legionellosis cummulative for 2001
Legionellosis cummulative for 2000
Listeriosis cummulative for 2001
Listeriosis cummulative for 2000
Lyme Disease cummulative for 2001
Lyme Disease cummulative for 2000

tab delimited data:
test
UNITED STATES	9,114	16,516	15	184	18	23	9	63	105												
NEW ENGLAND	284	396	-	1	1	5	2	17	26												
Maine	-	2	-	-	-	2	-	-	-												
N.H.	3	5	-	-	-	-	-	16	7												
Vt.	10	1	-	-	1	-	-	-	-												
Mass.	202	158	-	1	-	3	2	1	5												
R.I.	38	29	-	-	-	-	-	-	-												
Conn.	31	201	-	-	-	-	-	-	14												
MID. ATLANTIC	374	1,428	-	29	-	-	1	22	49												
Upstate N.Y.	115	70	-	-	-	-	1	22	2												
N.Y. City	-	454	-	-	-	-	-	-	6												
N.J.	27	418	-	27	-	-	-	-	10												
Pa.	232	486	-	2	-	-	-	-	31												
E.N. CENTRAL	1,376	3,511	4	23	12	6	2	7	2												
Ohio	112	781	-	-	9	4	-	7	-												
Ind.	311	349	-	-	1	-	-	-	-												
Ill.	398	1,447	-	3	-	-	-	-	1												
Mich.	439	485	4	20	2	2	2	-	-												
Wis.	116	449	-	-	-	-	-	U	1												
W.N. CENTRAL	163	806	4	21	2	-	1	-	3												
Minn.	-	193	-	-	-	-	-	-	-												
Iowa	3	12	-	-	-	-	-	-	-												
Mo.	-	423	3	20	1	-	-	-	1												
N. Dak.	-	1	-	-	-	-	-	-	-												
S. Dak.	14	6	-	-	-	-	-	-	-												
Nebr.	8	53	-	-	1	-	-	-	-												
Kans.	138	118	1	1	-	-	1	-	2												
S. ATLANTIC	3,212	4,460	1	4	1	6	1	12	20												
Del.	73	98	-	-	-	-	-	-	4												
Md.	232	351	1	1	1	5	-	11	14												
D.C.	163	160	-	-	-	-	-	1	-												
Va.	-	574	-	-	-	-	1	-	-												
W. Va.	19	35	-	-	N	N	-	-	1												
N.C.	741	355	-	3	-	1	-	-	1												
S.C.	1,208	1,418	-	-	-	-	-	-	-												
Ga.	104	645	-	-	-	-	-	-	-												
Fla.	672	824	-	-	-	-	-	-	-												
E.S. CENTRAL	1,738	915	4	35	1	-	-	1	-												
Ky.	136	171	-	1	-	-	-	1	-												
Tenn.	518	607	2	-	-	-	-	-	-												
Ala.	610	137	-	3	1	-	-	-	-												
Miss.	474	-	2	31	-	-	-	-	-												
W.S. CENTRAL	1,226	3,036	-	48	-	3	-	-	-												
Ark.	-	101	-	-	-	-	-	-	-												
La.	703	752	-	19	-	1	-	-	-												
Okla.	245	167	-	-	-	-	-	-	-												
Tex.	278	2,016	-	29	-	2	-	-	-												
MOUNTAIN	213	573	-	10	-	1	-	-	-												
Mont.	-	-	-	-	-	-	-	-	-												
Idaho	7	9	-	-	-	1	-	-	-												
Wyo.	7	2	-	8	-	-	-	-	-												
Colo.	-	217	-	1	-	-	-	-	-												
N. Mex.	39	38	-	1	-	-	-	-	-												
Ariz.	160	182	-	-	-	-	-	-	-												
Utah	-	39	-	-	-	-	-	-	-												
Nev.	-	86	-	-	-	-	-	-	-												
PACIFIC	528	1,391	2	13	1	2	2	4	5												
Wash.	164	134	-	1	-	-	-	-	-												
Oreg.	-	17	-	4	N	N	-	-	1												
Calif.	338	1,200	2	8	1	2	2	4	4												
Alaska	11	16	-	-	-	-	-	-	-												
Hawaii	15	24	-	-	-	-	-	N	N												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	52	32	-	-	-	-	-	N	N												
V.I.	U	U	U	U	U	U	-	U	U												
Amer. Samoa	U	U	U	U	U	U	-	U	U												
C.N.M.I.	U	U	U	U	U	U	-	U	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2000 and 2001 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


