
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending March 25, 2000 (WEEK 12)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	576	668	9	93	104	60	844	1,258	-	5	9										
NEW ENGLAND	32	37	1	2	3	7	204	125	-	1	2										
Maine	3	3	-	-	-	-	7	-	-	-	-										
N.H.	-	3	-	-	1	3	45	18	-	1	-										
Vt.	1	2	-	-	-	3	51	9	-	-	-										
Mass.	21	24	-	-	2	-	90	92	-	-	2										
R.I.	1	2	-	1	-	1	7	2	-	-	-										
Conn.	6	3	1	1	-	-	4	4	-	-	-										
MID. ATLANTIC	47	69	-	5	14	9	80	174	-	2	-										
Upstate N.Y.	11	11	-	3	2	9	54	129	-	2	-										
N.Y. City	11	25	-	-	3	-	-	10	-	-	-										
N.J.	12	15	-	-	-	-	-	5	-	-	-										
Pa.	13	18	-	2	9	-	26	30	-	-	-										
E.N. CENTRAL	89	105	-	11	13	-	140	142	-	-	-										
Ohio	20	43	-	3	6	-	108	83	-	-	-										
Ind.	17	6	-	-	-	-	8	8	-	-	-										
Ill.	18	35	-	3	3	-	8	20	-	-	-										
Mich.	24	11	-	5	4	-	6	14	-	-	-										
Wis.	10	10	-	-	-	-	10	17	-	-	-										
W.N. CENTRAL	49	85	-	10	3	2	30	45	-	2	-										
Minn.	3	18	-	-	-	1	10	-	-	-	-										
Iowa	10	16	-	3	2	-	8	8	-	-	-										
Mo.	31	30	-	1	1	1	4	9	-	-	-										
N. Dak.	1	-	-	-	-	-	1	-	-	-	-										
S. Dak.	2	5	-	-	-	-	1	2	-	-	-										
Nebr.	1	3	-	4	-	-	2	1	-	-	-										
Kans.	1	13	-	2	-	-	4	25	-	2	-										
S. ATLANTIC	100	90	1	11	15	20	73	69	-	-	2										
Del.	-	2	-	-	-	-	1	-	-	-	-										
Md.	10	17	1	4	3	4	18	25	-	-	1										
D.C.	-	1	-	-	1	-	-	-	-	-	-										
Va.	17	14	-	1	2	2	5	7	-	-	-										
W. Va.	2	1	-	-	-	-	-	-	-	-	-										
N.C.	18	14	-	2	3	13	28	22	-	-	1										
S.C.	6	16	-	4	2	1	12	5	-	-	-										
Ga.	19	14	-	-	-	-	9	5	-	-	-										
Fla.	28	11	-	-	4	-	-	5	-	-	-										
E.S. CENTRAL	36	57	-	1	3	-	20	29	-	-	-										
Ky.	9	12	-	-	-	-	12	9	-	-	-										
Tenn.	14	19	-	-	-	-	1	13	-	-	-										
Ala.	12	16	-	1	1	-	7	6	-	-	-										
Miss.	1	10	-	-	2	-	-	1	-	-	-										
W.S. CENTRAL	25	58	1	1	14	1	5	32	-	-	4										
Ark.	4	13	1	1	-	1	5	3	-	-	-										
La.	13	30	-	-	2	-	-	2	-	-	-										
Okla.	8	12	-	-	1	-	-	3	-	-	-										
Tex.	-	3	-	-	11	-	-	24	-	-	4										
MOUNTAIN	39	55	1	4	7	5	187	197	-	-	1										
Mont.	1	-	1	1	-	-	1	1	-	-	-										
Idaho	5	6	-	-	-	1	32	80	-	-	-										
Wyo.	-	2	-	-	-	-	-	1	-	-	-										
Colo.	9	17	-	-	2	3	99	42	-	-	-										
N. Mex.	6	7	-	1	N	1	32	10	-	-	-										
Ariz.	11	18	-	-	-	-	17	40	-	-	-										
Utah	6	3	-	-	4	-	4	21	-	-	1										
Nev.	1	2	U	2	1	U	2	2	U	-	-										
PACIFIC	159	112	5	48	32	16	105	445	-	-	-										
Wash.	13	16	-	2	-	14	41	172	-	-	-										
Oreg.	17	25	N	N	N	-	16	3	-	-	-										
Calif.	126	63	5	45	26	2	45	254	-	-	-										
Alaska	1	4	-	-	1	-	2	2	-	-	-										
Hawaii	2	4	-	1	5	-	1	14	-	-	-										
Guam	-	-	U	-	1	U	-	-	U	-	-										
P.R.	-	2	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


