
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending November 4, 2006 (WEEK 44)*

column labels in same order that data fields appears in each record below:
Reporting Area
Hepatitis (Viral Acute), Type A current week
Hepatitis (Viral Acute), Type A previous 52 weeks median 
Hepatitis (Viral Acute), Type A previous 52 weeks maximum 
Hepatitis (Viral Acute), Type A cummulative for 2006
Hepatitis (Viral Acute), Type A cummulative for 2005
Hepatitis (Viral Acute), Type B current week
Hepatitis (Viral Acute), Type B previous 52 weeks median 
Hepatitis (Viral Acute), Type B previous 52 weeks maximum 
Hepatitis (Viral Acute), Type B cummulative for 2006
Hepatitis (Viral Acute), Type B cummulative for 2005
Legionellosis current week
Legionellosis previous 52 weeks median 
Legionellosis previous 52 weeks maximum 
Legionellosis cummulative for 2006
Legionellosis cummulative for 2005

tab delimited data:
test
UNITED STATES	43	64	245	2,739	3,603	46	84	597	3,416	4,426	36	46	127	2,010	1,849						
NEW ENGLAND	1	3	20	152	417	-	2	8	82	133	1	2	12	109	134						
Conn.	1	1	2	37	46	-	0	3	27	42	1	0	9	45	25						
Maine	-	0	2	6	4	-	0	2	17	12	-	0	2	8	7						
Mass.	-	1	6	51	269	-	0	5	14	45	-	0	4	27	63						
N.H.	-	0	16	37	78	-	0	2	13	26	-	0	1	1	9						
R.I.	-	0	4	12	14	-	0	4	9	3	-	0	10	21	21						
Vt.	-	0	2	9	6	-	0	1	2	5	-	0	2	7	9						
MID. ATLANTIC	3	6	16	308	577	6	8	55	350	562	19	14	47	755	647						
N.J.	-	2	7	65	130	-	2	8	83	203	-	1	10	83	109						
N.Y. (Upstate)	1	1	14	81	85	2	1	43	52	50	10	5	30	286	163						
N.Y. City	-	2	10	106	272	-	2	5	74	118	-	2	12	114	106						
Pa.	2	1	5	56	90	4	3	9	141	191	9	5	18	272	269						
E.N. CENTRAL	1	6	11	251	320	-	8	24	337	492	3	9	24	389	377						
Ill.	-	1	4	50	115	-	1	7	59	143	-	0	4	21	50						
Ind.	-	0	5	28	18	-	0	17	47	33	-	0	3	27	27						
Mich.	-	2	8	92	98	-	3	6	113	158	-	2	8	109	102						
Ohio	1	0	4	48	47	-	2	10	110	115	3	4	19	197	166						
Wis.	-	1	3	33	42	-	0	2	8	43	-	0	5	35	32						
W.N. CENTRAL	2	2	30	116	78	2	4	22	141	232	1	1	15	68	79						
Iowa	-	0	2	8	19	-	0	3	14	25	-	0	3	10	6						
Kans.	-	0	5	26	15	-	0	2	10	26	-	0	2	5	3						
Minn.	-	0	29	16	3	-	0	13	23	29	1	0	11	23	16						
Mo.	2	1	3	41	30	-	2	7	75	122	-	0	3	18	27						
Nebr.	-	0	3	17	11	2	0	2	18	23	-	0	2	8	4						
N. Dak.	-	0	2	-	-	-	0	0	-	-	-	0	1	-	2						
S. Dak.	-	0	3	8	-	-	0	1	1	7	-	0	1	4	21						
S. ATLANTIC	13	10	29	478	630	14	23	66	991	1,196	5	9	19	371	347						
Del.	-	0	2	10	5	-	1	4	40	27	-	0	2	10	16						
D.C.	-	0	2	7	4	-	0	2	7	10	4	0	5	27	10						
Fla.	5	4	13	187	250	12	8	19	358	407	1	3	9	141	97						
Ga.	-	1	7	54	114	2	3	7	140	180	-	0	4	17	32						
Md.	-	1	6	55	64	-	3	10	135	134	-	1	7	76	99						
N.C.	8	0	20	84	78	-	0	23	142	150	-	0	5	31	25						
S.C.	-	0	3	23	36	-	2	7	71	133	-	0	1	4	13						
Va.	-	1	11	52	75	-	1	18	52	120	-	1	7	52	38						
W. Va.	-	0	3	6	4	-	0	18	46	35	-	0	3	13	17						
E.S. CENTRAL	-	2	8	108	224	4	6	15	270	318	1	2	9	83	74						
Ala.	-	0	3	13	42	-	1	8	80	78	-	0	2	10	13						
Ky.	-	0	5	31	24	-	1	5	61	61	-	0	4	32	25						
Miss.	-	0	1	7	18	-	0	2	13	45	-	0	1	1	3						
Tenn.	-	1	5	57	140	4	2	8	116	134	1	1	7	40	33						
W.S. CENTRAL	-	3	77	149	410	1	14	315	618	534	-	0	32	43	40						
Ark.	-	0	9	37	17	-	1	3	41	60	-	0	3	3	6						
La.	-	0	4	18	59	-	0	4	28	64	-	0	2	4	1						
Okla.	-	0	2	6	4	1	0	17	58	39	-	0	3	1	7						
Tex.	-	2	73	88	330	-	11	295	491	371	-	0	26	35	26						
