
TABLE II. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending May 11, 2002 (WEEK 19)*

column labels in same order that data fields appears in each record below:
Reporting Area
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2002
Escherichia coli, shiga toxin positive, not serogrouped cummulative for 2001
Giardiasis cummulative for 2002
Gonorrhea cummulative for 2002
Gonorrhea cummulative for 2001
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2002
Haemophilus influenzae, Invasive, All ages, All serotypes cummulative for 2001
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2002
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2001

tab delimited data:
test
UNITED STATES	4	4	4,587	108,102	123,224	604	634	5	10												
NEW ENGLAND	-	1	489	2,810	2,233	46	21	-	1												
Maine	-	-	58	27	49	1	1	-	-												
N.H.	-	-	18	46	47	4	-	-	-												
Vt.	-	1	39	37	30	3	-	-	-												
Mass.	-	-	223	1,235	1,013	20	18	-	1												
R.I.	-	-	40	345	263	8	-	-	-												
Conn.	-	-	111	1,120	831	10	2	-	-												
MID. ATLANTIC	-	-	937	12,130	13,041	118	95	1	1												
Upstate N.Y.	-	-	364	2,958	2,792	53	24	1	-												
N.Y. City	-	-	400	4,434	4,430	27	26	-	-												
N.J.	-	-	-	1,394	1,546	27	37	-	-												
Pa.	-	-	173	3,344	4,273	11	8	-	1												
E.N. CENTRAL	2	2	821	18,464	26,218	73	103	1	1												
Ohio	2	2	288	4,072	7,283	43	28	-	1												
Ind.	-	-	-	2,448	2,437	16	19	-	-												
Ill.	-	-	132	5,254	8,191	-	42	-	-												
Mich.	-	-	288	5,155	6,216	8	4	1	-												
Wis.	-	-	113	1,535	2,091	6	10	-	-												
W.N. CENTRAL	-	-	578	5,093	5,788	20	23	-	1												
Minn.	-	-	208	1,012	932	15	11	-	-												
Iowa	-	-	86	170	425	1	-	-	-												
Mo.	-	-	165	2,765	2,904	2	10	-	-												
N. Dak.	-	-	6	13	13	-	-	-	-												
S. Dak.	-	-	20	95	82	-	-	-	-												
Nebr.	-	-	47	135	460	-	1	-	1												
Kans.	-	-	46	903	972	2	1	-	-												
S. ATLANTIC	-	-	866	29,434	32,087	165	177	-	1												
Del.	-	-	16	612	587	-	-	-	-												
Md.	-	-	34	2,867	3,048	38	42	-	-												
D.C.	-	-	16	1,038	1,134	-	-	-	-												
Va.	-	-	58	3,837	3,162	8	10	-	-												
W. Va.	-	-	9	349	199	2	4	-	1												
N.C.	-	-	-	5,543	6,487	14	22	-	-												
S.C.	-	-	14	2,892	4,573	6	3	-	-												
Ga.	-	-	323	5,239	5,847	57	47	-	-												
Fla.	-	-	396	7,057	7,050	40	49	-	-												
E.S. CENTRAL	-	1	112	10,409	11,672	22	37	1	-												
Ky.	-	1	-	1,244	1,240	2	1	-	-												
Tenn.	-	-	50	3,242	3,586	13	14	-	-												
Ala.	-	-	62	3,639	3,966	5	20	1	-												
Miss.	-	-	-	2,284	2,880	2	2	-	-												
W.S. CENTRAL	-	-	14	16,424	18,572	25	26	-	1												
Ark.	-	-	14	873	1,777	1	-	-	-												
La.	-	-	-	4,118	4,317	2	6	-	-												
Okla.	-	-	-	1,612	1,710	22	19	-	-												
Tex.	-	-	-	9,821	10,768	-	1	-	1												
MOUNTAIN	2	-	436	3,492	3,726	77	79	1	2												
Mont.	-	-	29	38	43	-	-	-	-												
Idaho	-	-	21	34	32	1	1	-	-												
Wyo.	-	-	7	22	20	1	-	-	-												
Colo.	2	-	148	1,290	1,124	16	19	-	-												
N. Mex.	-	-	55	493	370	14	12	-	-												
Ariz.	-	-	61	981	1,419	35	38	1	1												
Utah	-	-	69	144	26	8	2	-	-												
Nev.	-	-	46	490	692	2	7	-	1												
PACIFIC	-	-	334	9,846	9,887	58	73	1	2												
Wash.	-	-	127	1,712	1,100	2	1	1	-												
Oreg.	-	-	140	307	439	30	20	-	-												
Calif.	-	-	-	7,457	7,983	9	34	-	2												
Alaska	-	-	31	212	126	1	2	-	-												
Hawaii	-	-	36	158	239	16	16	-	-												
Guam	-	-	-	-	-	-	-	-	-												
P.R.	-	-	-	224	258	-	-	-	-												
V.I.	-	-	-	17	10	-	-	-	-												
Amer. Samoa	U	U	U	U	U	U	U	U	U												
C.N.M.I.	-	U	-	6	U	-	U	-	U												

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2001 and 2002 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


