
TABLE II. (Part 5)  Provisional cases of selected notifiable diseases, United States, week ending January 14, 2006 (WEEK 02)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal diseases, invasive, all serogroups current week
Meningococcal diseases, invasive, all serogroups previous 52 weeks median 
Meningococcal diseases, invasive, all serogroups previous 52 weeks maximum 
Meningococcal diseases, invasive, all serogroups cummulative for 2006
Meningococcal diseases, invasive, all serogroups cummulative for 2005
Meningococcal diseases, invasive, serogroup unknown current week
Meningococcal diseases, invasive, serogroup unknown previous 52 weeks median 
Meningococcal diseases, invasive, serogroup unknown previous 52 weeks maximum 
Meningococcal diseases, invasive, serogroup unknown cummulative for 2006
Meningococcal diseases, invasive, serogroup unknown cummulative for 2005
Pertussis current week
Pertussis previous 52 weeks median 
Pertussis previous 52 weeks maximum 
Pertussis cummulative for 2006
Pertussis cummulative for 2005

tab delimited data:
test
UNITED STATES	2	19	46	14	49	2	12	27	13	31	62	417	590	168	933						
NEW ENGLAND	-	1	5	-	7	-	0	2	-	3	-	26	46	9	64						
Conn.	-	0	3	-	-	-	0	2	-	-	-	1	4	-	5						
Maine	-	0	1	-	-	-	0	1	-	-	-	0	5	-	2						
Mass.	-	0	3	-	5	-	0	2	-	2	-	18	36	9	51						
N.H.	-	0	2	-	-	-	0	2	-	-	-	1	15	-	-						
R.I.	-	0	2	-	-	-	0	0	-	-	-	0	8	-	-						
Vt.	-	0	1	-	2	-	0	1	-	1	-	1	24	-	6						
MID. ATLANTIC	-	3	8	3	6	-	2	7	3	6	11	24	47	23	70						
N.J.	-	0	4	-	2	-	0	4	-	2	-	4	9	-	13						
N.Y. (Upstate)	-	1	3	-	1	-	0	2	-	1	4	11	29	4	10						
N.Y. City	-	0	2	1	2	-	0	2	1	2	-	2	6	-	5						
Pa.	-	1	3	2	1	-	1	3	2	1	7	7	28	19	42						
E.N. CENTRAL	1	2	9	2	4	1	1	6	2	3	16	63	144	30	226						
Ill.	-	0	4	-	-	-	0	4	-	-	-	14	30	-	32						
Ind.	-	0	3	-	1	-	0	2	-	1	-	6	23	-	-						
Mich.	-	0	3	-	2	-	0	3	-	1	1	4	26	1	15						
Ohio	1	1	5	2	1	1	1	4	2	1	15	20	59	29	109						
Wis.	-	0	2	-	-	-	0	2	-	-	-	21	54	-	70						
W.N. CENTRAL	-	1	5	-	5	-	0	3	-	3	6	61	205	17	130						
Iowa	-	0	2	-	-	-	0	2	-	-	-	13	91	-	57						
Kans.	-	0	1	-	1	-	0	1	-	1	1	10	29	2	13						
Minn.	-	0	2	-	-	-	0	1	-	-	-	2	148	-	-						
