
TABLE III. (Part 2)  Provisional cases of selected notifiable diseases, United States, week ending February 12, 2000 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
Meningococcal Disease cummulative for 2000
Meningococcal Disease cummulative for 1999
Mumps current week
Mumps cummulative for 2000
Mumps cummulative for 1999
Pertussis current week
Pertussis cummulative for 2000
Pertussis cummulative for 1999
Rubella current week
Rubella cummulative for 2000
Rubella cummulative for 1999

tab delimited data:
test
UNITED STATES	265	238	11	35	43	33	337	425	1	2	1										
NEW ENGLAND	14	18	-	-	3	5	72	62	1	1	1										
Maine	1	2	-	-	-	2	4	-	-	-	-										
N.H.	-	2	-	-	1	-	20	3	1	1	-										
Vt.	1	1	-	-	-	2	24	7	-	-	-										
Mass.	7	13	-	-	2	-	23	52	-	-	1										
R.I.	1	-	-	-	-	-	-	-	-	-	-										
Conn.	4	-	-	-	-	1	1	-	-	-	-										
MID. ATLANTIC	19	31	-	2	5	7	24	21	-	-	-										
Upstate N.Y.	6	4	-	1	-	7	22	11	-	-	-										
N.Y. City	4	13	-	-	2	-	-	7	-	-	-										
N.J.	3	8	U	-	-	U	-	2	U	-	-										
Pa.	6	6	-	1	3	-	2	1	-	-	-										
E.N. CENTRAL	32	35	-	1	2	8	96	61	-	-	-										
Ohio	9	15	-	-	1	6	89	41	-	-	-										
Ind.	7	3	-	-	-	2	3	1	-	-	-										
Ill.	4	13	-	-	1	-	1	6	-	-	-										
Mich.	11	2	-	1	-	-	3	5	-	-	-										
Wis.	1	2	-	-	-	-	-	8	-	-	-										
W.N. CENTRAL	30	24	3	6	1	-	7	11	-	-	-										
Minn.	1	-	-	-	-	-	3	-	-	-	-										
Iowa	3	4	-	1	1	-	3	4	-	-	-										
Mo.	26	12	1	1	-	-	1	1	-	-	-										
N. Dak.	-	-	U	-	-	U	-	-	U	-	-										
S. Dak.	-	3	U	-	-	U	-	1	U	-	-										
Nebr.	-	1	2	4	-	-	-	-	-	-	-										
Kans.	-	4	U	-	-	U	-	5	U	-	-										
S. ATLANTIC	52	25	1	4	5	2	23	42	-	-	-										
Del.	-	1	-	-	-	-	-	-	-	-	-										
Md.	4	6	-	1	1	1	9	18	-	-	-										
D.C.	-	-	-	-	-	-	-	-	-	-	-										
Va.	9	2	-	-	-	-	1	6	-	-	-										
W. Va.	1	1	-	-	-	-	-	-	-	-	-										
N.C.	11	5	-	-	1	-	4	16	-	-	-										
S.C.	6	6	1	3	2	1	9	2	-	-	-										
Ga.	7	4	-	-	-	-	-	-	-	-	-										
Fla.	14	-	-	-	1	-	-	-	-	-	-										
E.S. CENTRAL	10	23	-	1	-	-	7	12	-	-	-										
Ky.	2	3	-	-	-	-	3	3	-	-	-										
Tenn.	3	8	-	-	-	-	1	4	-	-	-										
Ala.	5	9	-	1	-	-	3	5	-	-	-										
Miss.	-	3	-	-	-	-	-	-	-	-	-										
W.S. CENTRAL	1	17	-	-	9	-	1	16	-	-	-										
Ark.	1	3	-	-	-	-	1	2	-	-	-										
La.	-	5	U	-	-	U	-	-	U	-	-										
Okla.	-	6	-	-	1	-	-	2	-	-	-										
Tex.	-	3	-	-	8	-	-	12	-	-	-										
MOUNTAIN	14	28	-	2	3	9	95	91	-	1	-										
Mont.	-	-	-	-	-	-	-	-	-	-	-										
Idaho	2	4	-	-	-	2	15	44	-	-	-										
Wyo.	-	1	-	-	-	-	-	1	-	-	-										
Colo.	1	8	-	-	1	5	52	14	-	-	-										
N. Mex.	2	4	N	N	N	1	16	7	-	-	-										
Ariz.	6	7	-	-	-	-	8	9	-	-	-										
Utah	3	3	-	-	1	-	3	15	-	1	-										
Nev.	-	1	-	2	1	1	1	1	-	-	-										
PACIFIC	93	37	7	19	15	2	12	109	-	-	-										
Wash.	4	4	-	-	-	-	2	1	-	-	-										
Oreg.	13	8	N	N	N	2	8	3	-	-	-										
Calif.	75	18	7	19	11	-	-	100	-	-	-										
Alaska	-	3	-	-	1	-	2	1	-	-	-										
Hawaii	1	4	-	-	3	-	-	4	-	-	-										
Guam	-	-	U	-	-	U	-	-	U	-	-										
P.R.	-	-	U	-	-	U	-	-	U	-	-										
V.I.	-	U	U	-	U	U	-	U	U	-	U										
Amer. Samoa	-	U	U	-	U	U	-	U	U	-	U										
C.N.M.I.	-	U	U	-	U	U	-	U	U	-	U										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1999 and 2000 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


