
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending August 14, 1999 (WEEK 32)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1999
AIDS § cummulative for 1998
Chlamydia† cummulative for 1999
Chlamydia† cummulative for 1998
Cryptosporidiosis cummulative for 1999
Cryptosporidiosis cummulative for 1998
Escherichia coli O157:H7 NETSS cummulative for 1999
Escherichia coli O157:H7 NETSS cummulative for 1998
Escherichia coli O157:H7 PHLIS cummulative for 1999
Escherichia coli O157:H7 PHLIS cummulative for 1998

tab delimited data:
test
UNITED STATES	26,427	27,571	361,764	355,683	945	1,556	1,378	1,478	761	1,271											
NEW ENGLAND	1,298	1,007	11,964	12,488	55	99	163	193	119	180											
Maine	43	21	193	620	16	21	17	21	-	-											
N.H.	31	23	572	591	7	11	20	29	21	33											
Vt.	6	14	292	258	14	15	18	10	7	7											
Mass.	842	506	5,706	5,122	18	47	91	101	52	103											
R.I.	70	81	1,421	1,447	-	5	17	5	6	1											
Conn.	306	362	3,780	4,450	-	-	U	27	33	36											
MID. ATLANTIC	6,746	7,661	44,376	37,170	204	346	93	162	31	56											
Upstate N.Y.	846	984	N	N	78	202	82	108	-	-											
N.Y. City	3,592	4,054	21,963	16,304	107	130	5	9	8	10											
N.J.	1,278	1,556	6,300	7,165	9	14	6	45	23	34											
Pa.	1,030	1,067	16,113	13,701	10	-	N	N	-	12											
E.N. CENTRAL	1,719	2,157	51,101	60,509	89	415	282	250	152	218											
Ohio	262	459	14,667	16,438	26	48	106	60	53	42											
Ind.	224	376	6,667	6,468	17	30	41	59	22	33											
Ill.	783	818	17,308	16,099	16	46	80	71	33	49											
Mich.	360	389	12,459	13,174	30	22	55	60	17	38											
Wis.	90	115	U	8,330	-	269	N	N	27	56											
W.N. CENTRAL	611	528	19,388	20,987	80	173	275	224	141	208											
Minn.	105	102	3,264	4,272	14	58	81	89	80	99											
Iowa	55	49	1,448	2,410	24	41	60	57	26	36											
Mo.	295	243	8,424	7,643	16	15	27	21	26	38											
N. Dak.	4	4	325	597	12	18	8	6	1	12											
S. Dak.	13	11	832	976	4	19	29	15	4	16											
Nebr.	45	48	2,023	1,757	9	18	56	20	-	-											
Kans.	94	71	3,072	3,332	1	4	14	16	4	7											
S. ATLANTIC	7,281	6,838	85,736	67,484	196	146	173	104	91	105											
Del.	95	90	1,667	1,512	-	1	3	-	1	1											
Md.	793	824	6,679	4,880	10	12	11	19	-	10											
D.C.	274	567	N	N	7	4	-	1	-	-											
Va.	372	526	8,910	7,542	10	2	42	-	29	39											
W. Va.	40	59	1,148	1,486	-	1	7	-	1	3											
N.C.	482	459	14,053	13,025	5	-	32	23	27	34											
S.C.	683	449	15,603	11,396	-	-	17	5	13	3											
Ga.	1,091	727	19,150	13,969	94	56	18	44	-	-											
Fla.	3,451	3,137	18,526	13,674	70	70	43	12	20	15											
E.S. CENTRAL	1,145	1,152	25,411	24,753	15	18	72	78	34	45											
Ky.	176	155	4,628	3,822	5	7	19	25	-	-											
Tenn.	442	397	8,282	8,058	4	6	34	32	18	27											
Ala.	287	329	7,290	6,346	4	-	15	18	13	17											
Miss.	240	271	5,211	6,527	2	5	4	3	3	1											
W.S. CENTRAL	2,858	3,331	50,499	53,417	35	49	44	59	47	67											
Ark.	107	136	3,597	2,226	-	6	8	7	5	8											
La.	541	581	7,726	8,556	21	10	3	3	6	2											
Okla.	74	184	5,109	6,119	4	-	15	11	9	5											
Tex.	2,136	2,430	34,067	36,516	10	33	18	38	27	52											
MOUNTAIN	1,021	990	20,000	19,883	52	68	126	200	63	164											
Mont.	5	18	887	739	8	6	8	10	-	2											
Idaho	16	19	1,020	1,219	3	-	15	24	6	16											
Wyo.	4	1	445	397	-	-	3	49	5	53											
Colo.	197	186	4,295	4,963	5	8	47	38	28	33											
N. Mex.	65	153	2,711	2,235	22	33	5	16	2	13											
Ariz.	518	384	7,829	6,846	9	14	19	21	12	21											
Utah	84	70	1,188	1,415	-	-	22	34	8	16											
Nev.	132	159	1,625	2,069	5	7	7	8	2	10											
PACIFIC	3,748	3,907	53,289	58,992	219	242	150	208	83	228											
Wash.	218	266	7,179	6,823	-	-	41	32	26	66											
Oreg.	118	117	3,632	3,201	79	25	36	63	23	64											
Calif.	3,348	3,411	39,614	46,364	140	217	72	110	28	88											
Alaska	13	17	1,131	1,160	-	-	-	3	-	-											
Hawaii	51	96	1,733	1,444	-	-	1	-	6	10											
Guam	5	-	226	242	-	-	N	N	-	-											
P.R.	821	1,191	U	U	-	-	5	3	U	U											
V.I.	19	18	N	N	-	-	N	N	U	U											
Amer. Samoa	-	-	U	U	-	-	N	N	U	U											
C.N.M.I.	-	-	N	N	-	-	N	N	U	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


