
TABLE II. (Part 3)  Provisional cases of selected notifiable diseases, United States, week ending January 24, 2004 (WEEK 03)*

column labels in same order that data fields appears in each record below:
Reporting Area
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2004
Haemophilus influenzae, Invasive, All Ages, All serotypes cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, non-Serotype B cummulative for 2003
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2004
Haemophilus influenzae, Invasive, Age < 5 years, Unknown Serotype cummulative for 2003
Hepatitis (Viral Acute), Type A cummulative for 2004
Hepatitis (Viral Acute), Type A cummulative for 2003

tab delimited data:
test
UNITED STATES	74	64	-	1	-	1	11	8	180	309											
NEW ENGLAND	5	6	-	-	-	-	-	-	29	7											
Maine	-	-	-	-	-	-	-	-	-	-											
N.H.	-	1	-	-	-	-	-	-	-	-											
Vt.	1	2	-	-	-	-	-	-	1	1											
Mass.	-	1	-	-	-	-	-	-	23	3											
R.I.	-	-	-	-	-	-	-	-	-	-											
Conn.	4	2	-	-	-	-	-	-	5	3											
MID. ATLANTIC	17	14	-	-	-	-	1	2	23	55											
Upstate N.Y.	4	-	-	-	-	-	-	-	3	-											
N.Y. City	2	5	-	-	-	-	1	2	1	29											
N.J.	-	3	-	-	-	-	-	-	3	8											
Pa.	11	6	-	-	-	-	-	-	16	18											
E.N. CENTRAL	14	5	-	-	-	-	6	1	16	26											
Ohio	9	2	-	-	-	-	3	1	2	6											
Ind.	1	-	-	-	-	-	1	-	-	-											
Ill.	-	2	-	-	-	-	-	-	4	4											
Mich.	4	-	-	-	-	-	2	-	10	12											
Wis.	-	1	-	-	-	-	-	-	-	4											
W.N. CENTRAL	1	5	-	-	-	-	-	2	6	9											
Minn.	-	1	-	-	-	-	-	-	-	-											
Iowa	-	-	-	-	-	-	-	-	4	4											
Mo.	-	4	-	-	-	-	-	2	-	2											
N. Dak.	-	-	-	-	-	-	-	-	-	-											
S. Dak.	-	-	-	-	-	-	-	-	-	-											
Nebr.	1	-	-	-	-	-	-	-	-	2											
Kans.	-	-	-	-	-	-	-	-	2	1											
S. ATLANTIC	25	11	-	-	-	-	1	-	49	117											
Del.	-	-	-	-	-	-	-	-	-	1											
Md.	9	6	-	-	-	-	-	-	7	13											
D.C.	-	-	-	-	-	-	-	-	-	-											
Va.	4	-	-	-	-	-	-	-	4	-											
W. Va.	-	-	-	-	-	-	-	-	-	-											
N.C.	-	-	-	-	-	-	-	-	-	2											
S.C.	-	1	-	-	-	-	-	-	-	-											
Ga.	6	4	-	-	-	-	1	-	21	66											
Fla.	6	-	-	-	-	-	-	-	17	35											
E.S. CENTRAL	6	6	-	-	-	-	1	1	1	6											
Ky.	-	-	-	-	-	-	-	-	-	-											
Tenn.	2	1	-	-	-	-	-	-	1	2											
Ala.	4	5	-	-	-	-	1	1	-	3											
Miss.	-	-	-	-	-	-	-	-	-	1											
W.S. CENTRAL	1	4	-	-	-	1	-	-	1	22											
Ark.	-	1	-	-	-	-	-	-	-	-											
La.	-	2	-	-	-	-	-	-	-	3											
Okla.	1	1	-	-	-	1	-	-	-	-											
Tex.	-	-	-	-	-	-	-	-	1	19											
MOUNTAIN	3	10	-	-	-	-	1	1	3	16											
Mont.	-	-	-	-	-	-	-	-	-	-											
Idaho	-	-	-	-	-	-	-	-	1	-											
Wyo.	-	-	-	-	-	-	-	-	1	-											
Colo.	-	2	-	-	-	-	-	-	-	1											
N. Mex.	2	2	-	-	-	-	-	-	-	-											
Ariz.	-	4	-	-	-	-	-	-	-	11											
Utah	1	1	-	-	-	-	1	1	1	1											
Nev.	-	1	-	-	-	-	-	-	-	3											
PACIFIC	2	3	-	1	-	-	1	1	52	51											
Wash.	1	-	-	-	-	-	1	-	-	-											
Oreg.	1	1	-	-	-	-	-	1	1	3											
Calif.	-	1	-	1	-	-	-	-	51	48											
Alaska	-	-	-	-	-	-	-	-	-	-											
Hawaii	-	1	-	-	-	-	-	-	-	-											
Guam	-	-	-	-	-	-	-	-	-	-											
P.R.	-	-	-	-	-	-	-	-	-	-											
V.I.	-	-	-	-	-	-	-	-	-	-											
Amer. Samoa	U	U	U	U	U	U	U	U	U	U											
C.N.M.I.	-	U	-	U	-	U	-	U	-	U											

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 2003 and 2004 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


