
TABLE III. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending July 3, 1999 (WEEK 26)*

column labels in same order that data fields appears in each record below:
Reporting Area
H. influenzae, Invasive cummulative for 1999
H. influenzae, Invasive cummulative for 1998
Hepatitis (Viral), Type A cummulative for 1999
Hepatitis (Viral), Type A cummulative for 1998
Hepatitis (Viral), Type B cummulative for 1999
Hepatitis (Viral), Type B cummulative for 1998
Measles (Rubeola), Indigenous current week 
Measles (Rubeola), Indigenous cummulative for 1999
Measles (Rubeola), Imported current week 
Measles (Rubeola), Imported cummulative for 1999
Measles (Rubeola), Total cummulative for 1999
Measles (Rubeola), Total cummulative for 1998

tab delimited data:
test
UNITED STATES	610	610	7,729	11,282	3,179	4,473	1	30	-	14	44	40									
NEW ENGLAND	42	41	91	152	53	95	-	5	-	4	9	2									
Maine	5	2	4	13	-	2	-	-	-	-	-	-									
N.H.	9	6	7	7	8	10	-	-	-	1	1	-									
Vt.	4	2	3	13	1	4	-	-	-	-	-	-									
Mass.	17	29	30	51	28	36	-	4	-	2	6	2									
R.I.	-	2	9	9	16	24	-	-	-	-	-	-									
Conn.	7	-	38	59	-	19	-	1	-	1	2	-									
MID. ATLANTIC	85	92	510	856	392	640	-	-	-	2	2	11									
Upstate N.Y.	49	29	128	166	103	124	-	-	-	2	2	2									
N.Y. City	13	28	82	313	89	219	-	-	-	-	-	-									
N.J.	23	28	57	160	40	107	-	-	-	-	-	8									
Pa.	-	7	243	217	160	190	-	-	-	-	-	1									
E.N. CENTRAL	83	98	1,499	1,552	304	498	-	1	-	-	1	15									
Ohio	35	34	366	177	45	37	-	-	-	-	-	1									
Ind.	14	23	98	89	27	55	-	1	-	-	1	3									
Ill.	27	37	220	384	-	133	-	-	-	-	-	-									
Mich.	7	-	789	777	231	225	-	-	-	-	-	10									
Wis.	-	4	26	125	1	48	-	-	-	-	-	1									
W.N. CENTRAL	49	51	374	876	244	209	-	-	-	-	-	-									
Minn.	13	37	33	69	19	18	-	-	-	-	-	-									
Iowa	13	1	76	355	103	33	-	-	-	-	-	-									
Mo.	16	8	195	365	94	129	-	-	-	-	-	-									
N. Dak.	-	-	1	3	-	4	U	-	U	-	-	-									
S. Dak.	1	-	8	16	1	1	-	-	-	-	-	-									
Nebr.	3	-	33	14	10	9	-	-	-	-	-	-									
Kans.	3	5	28	54	17	15	U	-	U	-	-	-									
S. ATLANTIC	144	112	954	863	571	466	-	1	-	3	4	6									
Del.	-	-	2	3	-	-	-	-	-	-	-	1									
Md.	33	38	159	175	85	88	-	-	-	-	-	1									
D.C.	4	-	32	30	11	6	-	-	-	-	-	-									
Va.	12	12	79	129	51	53	-	1	-	2	3	2									
W. Va.	4	4	17	1	13	3	-	-	-	-	-	-									
N.C.	22	15	65	51	117	110	-	-	-	-	-	-									
S.C.	2	3	19	17	38	9	-	-	-	-	-	-									
Ga.	38	22	259	247	66	90	-	-	-	-	-	1									
Fla.	29	18	322	210	190	107	-	-	-	1	1	1									
E.S. CENTRAL	46	37	237	225	235	206	-	-	-	-	-	1									
Ky.	6	5	37	14	25	23	-	-	-	-	-	-									
Tenn.	25	23	125	127	118	142	-	-	-	-	-	-									
Ala.	13	7	36	45	47	41	-	-	-	-	-	1									
Miss.	2	2	39	39	45	-	-	-	-	-	-	-									
W.S. CENTRAL	34	30	1,415	1,992	298	1,009	-	1	-	2	3	-									
Ark.	1	-	26	43	25	49	-	-	-	-	-	-									
La.	7	13	59	41	72	47	-	-	-	-	-	-									
Okla.	24	15	258	290	67	31	-	-	-	-	-	-									
Tex.	2	2	1,072	1,618	134	882	-	1	-	2	3	-									
MOUNTAIN	60	77	747	1,725	321	437	-	2	-	-	2	-									
Mont.	1	-	12	56	16	3	-	-	-	-	-	-									
Idaho	1	-	27	140	16	17	U	-	U	-	-	-									
Wyo.	1	-	4	23	5	2	-	-	-	-	-	-									
Colo.	9	14	134	129	45	52	-	-	-	-	-	-									
N. Mex.	13	4	29	86	110	168	-	-	-	-	-	-									
Ariz.	29	39	454	1,059	84	107	-	1	-	-	1	-									
Utah	4	3	25	115	17	39	-	1	-	-	1	-									
Nev.	2	17	62	117	28	49	U	-	U	-	-	-									
PACIFIC	67	72	1,902	3,041	761	913	1	20	-	3	23	5									
Wash.	2	4	164	570	33	53	-	-	-	-	-	1									
Oreg.	26	30	141	240	50	93	-	8	-	-	8	-									
Calif.	32	31	1,585	2,188	661	752	1	11	-	3	14	4									
Alaska	5	1	3	14	10	7	-	-	-	-	-	-									
Hawaii	2	6	9	29	7	8	-	1	-	-	1	-									
Guam	-	-	2	-	2	2	U	1	U	-	1	-									
P.R.	1	2	80	25	76	130	-	-	-	-	-	-									
V.I.	U	U	U	U	U	U	U	U	U	U	U	U									
Amer. Samoa	U	U	U	U	U	U	U	U	U	U	U	U									
C.N.M.I.	-	-	-	1	-	35	U	-	U	-	-	-									

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1998 and 1999 are provisional and cumulative (year-to-date).


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


