
TABLE II. (Part 1)  Provisional cases of selected notifiable diseases, United States, week ending February 10, 1996 (WEEK 06)*

column labels in same order that data fields appears in each record below:
Reporting Area
AIDS § cummulative for 1996
AIDS § cummulative for 1995
Chlamydia† cummulative for 1996
Escherichia coli O157:H7 NETSS cummulative for 1996
Escherichia coli O157:H7 PHLIS cummulative for 1996
Gonorrhea cummulative for 1996
Gonorrhea cummulative for 1995
Hepatitis C/NA,NB cummulative for 1996
Hepatitis C/NA,NB cummulative for 1995
Legionellosis cummulative for 1996
Legionellosis cummulative for 1995

tab delimited data:
test
UNITED STATES	4,357	7,085	15,215	64	13	27,817	45,776	272	353	71	114										
NEW ENGLAND	208	398	1,106	11	2	755	750	5	5	3	-										
Maine	7	15	-	1	-	3	7	-	-	-	-										
N.H.	3	5	69	1	1	13	15	-	-	-	-										
Vt.	-	-	-	2	1	13	2	2	-	-	-										
Mass.	135	282	787	4	-	293	401	3	5	2	-										
R.I.	9	9	250	2	-	61	52	-	-	1	-										
Conn.	54	87	-	1	-	372	273	-	-	N	N										
MID. ATLANTIC	1,235	1,817	870	4	3	690	5,368	17	32	8	13										
Upstate N.Y.	158	227	N	3	3	-	920	15	14	2	2										
N.Y. City	696	922	-	-	-	-	1,923	1	1	-	1										
N.J.	244	439	870	-	-	234	380	-	12	-	4										
Pa.	137	229	-	N	-	456	2,145	1	5	6	6										
E.N. CENTRAL	419	515	4,412	11	1	5,522	9,770	39	37	31	48										
Ohio	143	31	648	8	-	432	3,143	2	1	15	19										
Ind.	50	77	1,027	2	-	941	934	-	-	6	7										
Ill.	156	245	-	1	-	2,226	2,304	-	14	-	10										
Mich.	37	133	2,526	-	1	1,767	2,544	37	22	10	5										
Wis.	33	29	211	N	-	156	845	-	-	-	7										
W.N. CENTRAL	145	165	1,570	8	3	1,442	2,625	29	8	1	11										
Minn.	20	25	-	2	2	-	398	-	-	-	-										
Iowa	17	14	-	2	1	-	184	28	2	1	2										
Mo.	53	97	1,091	-	-	1,081	1,504	1	3	-	9										
N. Dak.	-	-	-	-	-	-	-	-	-	-	-										
S. Dak.	2	-	91	-	-	12	17	-	1	-	-										
Nebr.	15	20	388	-	-	57	124	-	1	-	-										
Kans.	38	9	-	4	-	292	398	-	1	-	-										
S. ATLANTIC	880	1,358	4,758	8	-	12,057	13,836	16	22	10	25										
Del.	32	30	-	-	-	182	260	-	-	-	-										
Md.	69	178	445	N	-	1,458	1,775	-	1	1	6										
D.C.	64	77	N	-	-	566	786	-	-	1	-										
Va.	36	162	1,353	N	-	1,119	1,397	1	-	2	-										
W. Va.	7	4	-	N	-	45	73	3	6	1	3										
N.C.	1	81	-	3	-	2,253	3,046	4	7	3	7										
S.C.	13	73	-	1	-	1,649	1,538	1	1	1	2										
Ga.	215	234	699	1	-	2,778	2,551	-	1	-	4										
Fla.	443	519	2,261	-	-	2,007	2,410	7	6	1	3										
E.S. CENTRAL	152	133	909	3	-	3,174	5,174	-	148	9	4										
Ky.	43	7	-	-	-	506	602	-	2	2	1										
Tenn.	56	73	903	N	-	1,001	1,209	-	145	3	1										
Ala.	35	35	-	1	-	1,607	2,298	-	1	-	1										
Miss.	18	18	6	2	-	60	1,065	-	-	4	1										
W.S. CENTRAL	495	750	-	3	-	1,257	3,626	53	6	-	1										
Ark.	19	20	-	2	-	292	392	-	-	-	-										
La.	113	130	-	N	-	965	1,472	6	-	-	-										
Okla.	1	36	-	1	-	-	58	42	4	-	1										
Tex.	362	564	-	-	-	-	1,704	5	2	-	-										
MOUNTAIN	120	205	470	6	-	707	951	65	33	3	8										
Mont.	2	7	-	-	-	2	15	3	2	-	1										
Idaho	1	5	153	2	-	9	14	26	5	-	1										
Wyo.	-	1	69	-	-	6	6	13	15	-	-										
Colo.	54	75	-	2	-	234	310	4	6	3	1										
N. Mex.	8	7	-	-	-	108	145	11	-	-	-										
Ariz.	37	38	-	N	-	271	275	4	2	-	1										
Utah	17	5	68	1	-	26	23	4	3	-	2										
Nev.	1	67	180	1	-	51	163	-	-	-	2										
PACIFIC	703	1,744	1,120	10	4	2,213	3,676	48	62	6	4										
Wash.	65	91	1,059	1	4	300	306	3	3	-	-										
Oreg.	48	59	-	4	-	9	29	2	4	-	-										
Calif.	580	1,536	-	3	-	1,833	3,155	24	48	6	2										
Alaska	3	18	N	-	-	53	120	1	-	-	-										
Hawaii	7	40	61	N	-	18	66	18	7	-	2										
Guam	-	-	-	N	-	-	11	-	-	-	-										
P.R.	255	62	N	N	U	18	75	3	7	-	-										
V.I.	1	-	N	N	U	-	-	-	-	-	-										
Amer. Samoa	-	-	-	N	U	-	4	-	-	-	-										
C.N.M.I.	-	-	N	N	U	-	4	-	-	-	-										

N: Not notifiable
U: Unavailable
-: No reported cases
C.N.M.I.: Commonwealth of Northern Mariana Islands.

* Incidence data for reporting years 1995 and 1996 are provisional and cumulative (year-to-date).

† Chlamydia refers to genital infections caused by Chlamydia trachomatis.

§ Updated monthly from reports to the Division of HIV/AIDS Prevention, National Center for HIV, STD, and TB Prevention. 


MMWR web application provided by CDC WONDER; http://wonder.cdc.gov


